地域階層,地域コード,項番 Item number,地域,District,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,15歳～19歳 15-19years old／計 Total,15歳～19歳 15-19years old／男 Male,15歳～19歳 15-19years old／女 Female,20歳～29歳 20-29years old／計 Total,20歳～29歳 20-29years old／男 Male,20歳～29歳 20-29years old／女 Female,30歳～39歳 30-39years old／計 Total,30歳～39歳 30-39years old／男 Male,30歳～39歳 30-39years old／女 Female,40歳～49歳 40-49years old／計 Total,40歳～49歳 40-49years old／男 Male,40歳～49歳 40-49years old／女 Female,50歳～59歳 50-59years old／計 Total,50歳～59歳 50-59years old／男 Male,50歳～59歳 50-59years old／女 Female,60歳～64歳 60-64years old／計 Total,60歳～64歳 60-64years old／男 Male,60歳～64歳 60-64years old／女 Female,65歳以上 65years old and over／計 Total,65歳以上 65years old and over／男 Male,65歳以上 65years old and over／女 Female
0,13000,,総数,Tokyo-to,10686,6680,4006,1,1,-,187,156,31,545,425,120,1149,811,338,1915,1220,695,1158,698,460,5731,3369,2362
1,13100,,区部,All ku          　,2002,1219,783,-,-,-,38,33,5,110,82,28,217,152,65,388,250,138,214,123,91,1035,579,456
2,13101,1,千代田区,Chiyoda-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13102,2,中央区,Chuo-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13103,3,港区,Minato-ku,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13104,4,新宿区,Shinjuku-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13105,5,文京区,Bunkyo-ku,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13106,6,台東区,Taito-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13107,7,墨田区,Sumida-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13108,8,江東区,Koto-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13109,9,品川区,Shinagawa-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13110,10,目黒区,Meguro-ku,10,7,3,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,8,5,3
2,13111,11,大田区,Ota-ku,16,10,6,-,-,-,-,-,-,1,-,1,4,3,1,1,1,-,-,-,-,10,6,4
