年度末,End of fiscal year,地域コード,項番 Item number,地域,District,総額 Total value,行政財産 Administrative assets／総額 Total value,行政財産 Administrative assets／土地 Land／面積 Area(m2),行政財産 Administrative assets／土地 Land／価格 Value,行政財産 Administrative assets／建物 Buildings／延面積 Total floor space(m2),行政財産 Administrative assets／建物 Buildings／価格 Value,行政財産 Administrative assets／工作物 Structures,行政財産 Administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／総額 Total value,普通財産 Non-administrative assets／土地 Land／面積 Area(m2),普通財産 Non-administrative assets／土地 Land／価格 Value,普通財産 Non-administrative assets／建物 Buildings／延面積 Total floor space (m2),普通財産 Non-administrative assets／建物 Buildings／価格 Value,普通財産 Non-administrative assets／工作物 Structures,普通財産 Non-administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／不動産の信託の受益権 Real estate trust beneficiary rights
平成21,2009,13100,,区部,All ku,14370058,13738870,29007070,10758962,15900066,2799367,180162,381,631191,1672484,413560,632641,123037,745,68856,24992
平成22,2010,13100,,区部,All ku,13939028,13315003,29032350,10469134,15962398,2666695,173134,6043,624022,1688889,431845,679814,123011,837,68332,-
平成23,2011,13100,,区部,All ku,13584767,12902171,29112977,10074853,15969720,2647061,172895,7367,682596,1764371,463196,695435,126135,854,67405,25007
平成24,2012,13100,,区部,All ku,13161171,12497317,29493582,9629292,16034855,2686705,174218,7102,663854,1833668,440923,712293,130918,941,66080,24993
平成25,2013,13100,,区部,All ku,13205242,12515751,29477862,9670446,16072109,2673590,171724,7096,679613,1884006,478224,730392,130130,1441,64562,25028
平成25,2013,13101,1,千代田区,Chiyoda-ku,368126,323127,198264,252403,310400,70266,458,-,44999,41631,32954,45187,5675,185,6185,-
平成25,2013,13102,2,中央区,Chuo-ku,481955,456644,405044,319476,523736,132709,4236,223,25311,40833,21519,11906,2498,0,1294,-
平成25,2013,13103,3,港区,Minato-ku ,785725,752875,690647,594204,631421,154965,3707,-,32850,94519,30951,10515,372,10,1518,-
平成25,2013,13104,4,新宿区,Shinjuku-ku,590774,530123,967056,444433,562697,84835,854,-,60651,85246,28468,48165,6302,-,854,25028
平成25,2013,13105,5,文京区,Bunkyo-ku,415053,395664,724629,294376,408154,101288,-,-,19389,19210,9200,33253,9941,-,249,-
平成25,2013,13106,6,台東区,Taito-ku,244381,220100,397630,102464,441647,109123,8513,-,24282,42113,11004,26833,2351,60,10867,-
平成25,2013,13107,7,墨田区,Sumida-ku,244445,233974,596722,82354,541354,144515,7105,-,7830,165927,4182,19334,3649,26,2615,-
平成25,2013,13108,8,江東区,Koto-ku,509851,482223,1364222,347435,839472,129581,5196,11,27629,58489,13961,35834,9220,59,4388,-
平成25,2013,13109,9,品川区,Shinagawa-ku,705777,660011,1122910,524243,743653,126235,8199,1334,45766,113443,36558,42751,4947,33,4227,-
平成25,2013,13110,10,目黒区,Meguro-ku,420997,414966,769053,329211,522818,81771,3985,-,6030,56306,4306,8093,927,10,787,-
平成25,2013,13111,11,大田区,Ota-ku,892887,876584,2490683,789126,1232983,78123,9297,39,16303,50406,13593,18402,1716,16,978,-
平成25,2013,13112,12,世田谷区,Setagaya-ku,1238506,1180648,2307413,876125,1207747,274933,29589,-,57858,82237,50823,16912,3536,226,3273,-
平成25,2013,13113,13,渋谷区,Shibuya-ku ,931262,876169,516524,776924,445259,95539,3706,-,55092,25967,27739,65671,22352,7,4995,-
平成25,2013,13114,14,中野区,Nakano-ku,229736,202821,896289,137818,443328,65003,-,-,26915,97203,21298,33801,5455,-,161,-
平成25,2013,13115,15,杉並区,Suginami-ku,605213,580544,1569792,401489,787958,175323,3732,-,24669,293723,17586,48407,5974,5,1104,-
平成25,2013,13116,16,豊島区,Toshima-ku,485179,437214,677283,361221,380204,73367,2626,-,47965,89753,30528,47059,16822,16,600,-
平成25,2013,13117,17,北区,Kita-ku,521045,506286,1124906,415677,687610,90609,-,-,14627,75406,13977,17285,649,-,132,-
平成25,2013,13118,18,荒川区,Arakawa-ku,203502,191633,522716,77842,414775,99200,9102,5490,11869,74373,9172,17491,2697,-,-,-
平成25,2013,13119,19,板橋区,Itabashi-ku,686486,678887,1840795,592670,852278,84767,1451,-,7599,32635,5672,5922,535,2,1389,-
平成25,2013,13120,20,練馬区,Nerima-ku,909285,872365,2817919,716044,1133851,142334,13987,-,36920,89968,28138,47768,8184,49,548,-
平成25,2013,13121,21,足立区,Adachi-ku,844360,786783,3202359,574698,1147455,196440,15644,-,57577,150677,33758,51325,5137,565,18117,-
平成25,2013,13122,22,葛飾区,Katsushika-ku,408761,390042,1664091,313660,769335,62905,13477,-,18718,73462,11797,56623,6746,66,109,-
平成25,2013,13123,23,江戸川区,Edogawa-ku,481936,473172,2610915,346553,1043975,99760,26859,-,8764,30479,4038,21855,4446,107,173,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (2) 区有 (平成21～平成25年度末) 21-9  PUBLIC ASSETS (2) ASSETS OWNED BY KU ( End of Fiscal Years 2009-2013 ) ,,,,,,,,,,,,,,,,,,,,,
資料：公益財団法人特別区協議会事業部調査研究課 Source: Public Interest Foundation of Tokyo Metropolitan Area Cities,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
