年次,Year,区分,Classification,項番 Item number,品種,Item,総数 Total,元町港 (大島町) Motomachi Harbor (Oshima machi) ,岡田港 (大島町) Okada Harbor (Oshima machi),波浮港 (大島町) Habu Harbor   (Oshima machi),利島港 (利島村) Toshima Harbor (Toshima mura),新島港 (新島村) Niijima Harbor (Niijima mura),式根島港 (新島村) Shikinejima Harbor (Niijima mura),神津島港(神津島村) Kozushima Harbor (Kozushima mura),三池港 (三宅村) Miike Harbor (Miyake mura),御蔵島港(御蔵島村) Mikurajima Harbor (Mikurajima mura),神湊港 (八丈町) Kaminato Harbor (Hachijo machi),八重根港 (八丈町) Yaene Harbor (Hachijo machi),青ヶ島港(青ヶ島村) Aogashima Harbor (Aogashima mura) ,二見港(小笠原村)Futami Harbor(Ogasawara mura),沖港(小笠原村) Oki Harbor (Ogasawara mura) 
平成21,2009,移出 ,Leaving,,総数,Total,162928,15403,5473,2491,2244,8512,-,8059,4511,3325,89600,709,1435,15816,5350
平成22,2010,移出 ,Leaving,,総数,Total,125545,18061,10805,5782,2402,14822,2804,3717,5802,3467,27919,1911,1416,17697,8940
平成23,2011,移出 ,Leaving,,総数,Total,135824,15675,11654,6129,2132,12828,11048,8037,5148,3179,28706,1001,1665,15842,12780
平成24,2012,移出 ,Leaving,,総数,Total,157205,16864,37560,11023,1958,16813,900,5387,5500,1414,30457,528,2616,17264,8921
平成25,2013,移出 ,Leaving,,総数,Total,156828,28095,33248,9068,1911,13720,2900,4220,6085,4850,27886,330,2086,15742,6687
平成25,2013,移出 ,Leaving,1,農水産品,Agricultural and aquatic products,8211,333,390,86,299,460,-,1365,452,214,2991,19,88,1130,384
平成25,2013,移出 ,Leaving,2,林産品,Forestry products,9768,770,1188,-,7,2266,-,-,172,40,4643,31,55,485,111
平成25,2013,移出 ,Leaving,3,鉱産品,Mineral products,6516,3240,-,1286,-,1986,-,-,-,-,-,-,2,2,-
平成25,2013,移出 ,Leaving,4,金属機械工業品,Metal and machinery products,22837,6141,864,1427,345,2059,-,706,1321,1528,4003,64,357,3125,897
平成25,2013,移出 ,Leaving,5,化学工業品,Chemical industrial products,38626,10179,22666,3772,52,781,-,-,6,7,862,1,3,206,91
平成25,2013,移出 ,Leaving,6,軽工業品,Light industrial products,"1,411",105,221,-,-,1,-,81,-,157,553,4,15,256,18
平成25,2013,移出 ,Leaving,7,雑工業品,Miscellaneous industrial products,"3,242",667,334,2,-,447,-,139,37,8,1228,17,7,336,20
平成25,2013,移出 ,Leaving,8,特殊品,Special goods,"65,489","6,660","7,585","2,472","1,208","5,652",2900,"1,882","4,097","2,306","13,606",194,"1,559","10,202","5,166"
平成25,2013,移出 ,Leaving,9,分類不能のもの,Unclassifiable goods,728,-,-,23,-,68,-,47,-,590,-,-,-,-,-
平成21,2009,移入,Entering,,総数,Total,837432,148303,54976,58553,48865,110467,1531,39567,60727,59208,160874,15829,24568,43801,10163
平成22,2010,移入,Entering,,総数,Total,818387,115340,39470,100751,11509,117050,-,21753,89446,63778,182636,10829,1656,49683,14486
平成23,2011,移入,Entering,,総数,Total,935320,102009,35707,94807,31303,105386,-,22587,82911,79259,272244,12948,26607,55671,13881
平成24,2012,移入,Entering,,総数,Total,812402,95962,37955,68315,35319,86670,-,22498,83987,87839,187293,14243,24964,53781,13576
平成25,2013,移入,Entering,,総数,Total,643801,131000,36744,29261,23155,109766,-,15932,19223,29773,156598,5601,23894,48931,13923
平成25,2013,移入,Entering,1,農水産品,Agricultural and aquatic products,17229,1863,2395,55,766,2806,-,677,1160,298,4769,30,35,2059,316
平成25,2013,移入,Entering,2,林産品,Forestry products,8772,749,169,354,247,2285,-,39,2336,506,1018,17,500,405,147
平成25,2013,移入,Entering,3,鉱産品,Mineral products,299464,50168,19626,16905,15630,73751,-,36,-,10614,69359,4532,18000,14309,6534
平成25,2013,移入,Entering,4,金属機械工業品,Metal and machinery products,71181,23574,2381,3359,947,5189,-,2140,3823,2374,17182,242,1340,7026,1604
平成25,2013,移入,Entering,5,化学工業品,Chemical industrial products,139405,31820,1558,7687,2783,16538,-,8870,7948,12635,32769,281,2911,10653,2952
平成25,2013,移入,Entering,6,軽工業品,Light industrial products,23461,6521,2757,320,761,1628,-,454,451,390,6828,103,325,2549,374
平成25,2013,移入,Entering,7,雑工業品,Miscellaneous industrial products,14789,3381,873,446,321,1862,-,837,649,589,3325,39,84,1988,395
平成25,2013,移入,Entering,8,特殊品,Special goods,68401,12924,6985,99,1700,4933,-,2642,2856,2321,21348,357,693,9942,1601
平成25,2013,移入,Entering,9,分類不能のもの,Unclassifiable goods,1099,-,-,36,-,774,-,237,-,46,-,-,6,-,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,,,
12-7  品種別出入貨物量 (島しょ港湾) (平成21～25年) 12-7  VOLUME OF ENTERING AND LEAVING CARGOES BY KIND OF GOODS ( HARBORS OF ISLANDS ) ( 2009-2013 ),,,,,,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課  「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　トン）(In tons) ,,,,,,,,,,,,,,,,,,,,,
