年次,Year,月次 ,Month,交換高 Clearings／枚数 (千枚) Number (thousand),交換高 Clearings／金額 (億円) Value (hundred million yen),交換高 Clearings／差額 (億円) Balance (hundred million yen),手形1枚の平均金額 (千円) Average value of a bill (thousand yen),交換日数 Transaction days,1日平均交換高 Daily average clearings／枚数 (千枚) Number (thousand),1日平均交換高 Daily average clearings／金額 (億円)Value (hundred  million yen)
平成21,2009,総数,Total,31167,2602687,996301,8351,243,128,10710
平成22,2010,総数,Total,28512,2734096,1126628,9589,245,116,11159
平成23,2011,総数,Total,26635,2807245,1121807,10540,245,108,11458
平成24,2012,総数,Total,24965,2724093,1131672,10912,248,100,10984
平成25,2013,総数,Total,23475,2697595,1160615,11491,245,95,11010
平成25,2013,1,Jan.,2150,233648,98497,10867,19,113,12297
平成25,2013,2,Feb.,1858,208368,89195,11215,19,97,10966
平成25,2013,3,Mar.,1689,247578,104344,14658,20,84,12378
平成25,2013,4,Apr.,2196,250661,113331,11414,21,104,11936
平成25,2013,5,May,1993,234936,102254,11788,21,94,11187
平成25,2013,6,June,1701,224576,99586,13203,20,85,11228
平成25,2013,7,July,2494,231368,96885,9277,22,113,10516
平成25,2013,8,Aug.,1645,193904,89799,11787,22,74,8813
平成25,2013,9,Sept.,2088,204473,78809,9793,19,109,10761
平成25,2013,10,Oct.,1909,233151,106585,12213,22,86,10597
平成25,2013,11,Nov.,1585,205407,97553,12959,20,79,10270
平成25,2013,12,Dec.,2162,229521,83771,10616,20,108,11476
,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　15  金融 15  FINANCE,,,,,,,,,,
15-8  東京手形交換所扱い手形交換高 (平成21～25年) 15-8  AMOUNT OF BILLS CLEARED AT THE TOKYO CLEARING HOUSE ( 2009-2013 ),,,,,,,,,,
資料：（一社）全国銀行協会 「決済統計年報」 Source: Japanese Bankers Association,,,,,,,,,,
