年次,Year,地域階層,地域コード,地域,District,メーター個数 Number of gas meterｓ,販売量　Gas sold （1000MJ）／総数 Total,販売量　Gas sold （1000MJ）／家庭用 Residential,販売量　Gas sold （1000MJ）／商業用 Commercial,販売量　Gas sold （1000MJ）／ 工業用 Industrial,販売量　Gas sold （1000MJ）／その他 Others
平成23,2011,0,,総数,Total,6609852,243389832,88529064,53860839,77939867,23060062
平成24,2012,0,,総数,Total,6679312,256254988,92452420,55696055,84093457,24013057
平成25,2013,0,,総数,Total,6743788,249329736,87332394,53672718,85011030,23313595
平成25,2013,1,13100,区部,All ku,5200685,205146251,63593571,47738380,76743660,17070641
平成25,2013,2,13101,千代田区,Chiyoda-ku,52773,6816561,382462,5204313,7113,1222672
平成25,2013,2,13102,中央区,Chuo-ku,98765,4581343,904770,3245672,39300,391600
平成25,2013,2,13103,港区,Minato-ku,174082,13738841,1950938,10588805,70130,1128968
平成25,2013,2,13104,新宿区,Shinjuku-ku,245262,8963000,2421133,5007758,118980,1415129
平成25,2013,2,13105,文京区,Bunkyo-ku,136462,3506398,1619943,876823,34036,975597
平成25,2013,2,13106,台東区,Taito-ku,130650,3003075,1260044,1328041,42013,372977
平成25,2013,2,13107,墨田区,Sumida-ku,153795,3912423,1703923,1207928,663687,336884
平成25,2013,2,13108,江東区,Koto-ku,254733,7594469,3235871,2189122,1413176,756300
平成25,2013,2,13109,品川区,Shinagawa-ku,233086,72694559,2673966,1852758,67288330,879505
平成25,2013,2,13110,目黒区,Meguro-ku,169729,3436879,2173559,771073,25044,467203
平成25,2013,2,13111,大田区,Ota-ku,401899,9427890,5048204,2358036,874967,1146684
平成25,2013,2,13112,世田谷区,Setagaya-ku,506378,9715849,7000621,1422550,52821,1239857
平成25,2013,2,13113,渋谷区,Shibuya-ku,171949,5740526,1781850,3311396,19583,627696
平成25,2013,2,13114,中野区,Nakano-ku,214916,3431631,2427410,599751,13316,391155
平成25,2013,2,13115,杉並区,Suginami-ku,339034,5708814,4343460,879635,23555,462165
平成25,2013,2,13116,豊島区,Toshima-ku,194549,4271936,2040774,1861259,19278,350625
平成25,2013,2,13117,北区,Kita-ku,201410,3953266,2316200,619719,508705,508642
平成25,2013,2,13118,荒川区,Arakawa-ku,114014,2049555,1364895,405373,105423,173864
平成25,2013,2,13119,板橋区,Itabashi-ku,302108,7698052,3661273,893744,1791696,1351339
平成25,2013,2,13120,練馬区,Nerima-ku,356216,6634458,5068146,711987,155564,698761
平成25,2013,2,13121,足立区,Adachi-ku,282400,5987635,3742721,942047,712524,590344
平成25,2013,2,13122,葛飾区,Katsushika-ku,198519,4968848,2696937,640411,683280,948220
平成25,2013,2,13123,江戸川区,Edogawa-ku,267956,7310243,3774471,820179,2081139,634454
平成25,2013,1,,市郡部,shi and gun,1543103,44183485,23738823,5934338,8267370,6242954
平成25,2013,2,13201,八王子市,Hachioji-shi,183400,5363141,3042032,794609,657063,869437
平成25,2013,2,13202,立川市,Tachikawa-shi,71392,2051097,1003640,622464,98670,326324
平成25,2013,2,13203,武蔵野市,Musashino-shi,83879,1872960,1124252,505894,37688,205125
平成25,2013,2,13204,三鷹市,Mitaka-shi,89668,1905429,1344872,175078,50149,335329
平成25,2013,2,13205,青梅市,Ome-shi,21222,975868,300537,60029,479704,135598
平成25,2013,2,13206,府中市,Fuchu-shi,107922,3457114,1616415,568127,603533,669039
