年度,Fiscal year,許可，業種1，組織及び資本金階層,Licensor， Contractor classification 1， organization and size of capital,業種2 等,Contractor classification 2 etc，,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
平成20,2008,総数,Total,総数,Total,"19,753","20,316,122","16,220,432","1,982,890",r 11，805，883,"2,431,659","4,095,690","2,474,251","897,063","724,375","8,404,180","2,015,131","5,058,946","1,330,103"
平成21,2009,総数,Total,総数,Total,"20,355","17,203,644","13,115,605","1,748,823","9,199,765","2,167,017","4,088,039","2,410,000","982,613","695,426","7,627,540","1,868,410","4,665,701","1,093,429"
平成22,2010,総数,Total,総数,Total,"20,738","17,279,387","13,206,170","1,696,881","9,557,494","1,951,794","4,073,218","2,258,089","1,159,768","655,360","6,556,873","1,494,584","4,172,409","889,879"
平成23,2011,総数,Total,総数,Total,"21,722","18,394,201","14,605,004","1,809,383","10,641,250","2,154,373","3,789,197","2,015,853","1,189,582","583,762","6,831,194","1,578,959","4,360,232","892,003"
平成24,2012,総数,Total,総数,Total,"20,431","18,500,578","14,476,976","1,779,979","10,606,997","2,089,999","4,023,602","2,225,589","1,156,390","641,623","7,080,756","1,736,684","4,571,304","772,768"
平成24,2012,許可業者,Licensed contractors,総数,Total,"20,431","18,500,578","14,476,976","1,779,979","10,606,997","2,089,999","4,023,602","2,225,589","1,156,390","641,623","7,080,756","1,736,684","4,571,304","772,768"
平成24,2012,許可業者,Licensed contractors,大臣許可,Licensed by minister,"1,777","16,776,873","13,140,424","1,682,042","9,669,961","1,788,421","3,636,449","2,013,575","1,014,493","608,381","4,807,584","1,343,892","2,987,718","475,974"
平成24,2012,許可業者,Licensed contractors,知事許可,Licensed by governor,"18,654","1,723,705","1,336,552","97,937","937,036","301,578","387,153","212,014","141,897","33,242","2,273,172","392,792","1,583,586","296,794"
平成24,2012,総合工事業,General construction work,総数,Total,"6,841","13,076,096","10,055,381","1,098,859","8,680,449","276,073","3,020,715","2,123,130","789,877","107,708","2,316,464","1,337,485","896,538","82,441"
平成24,2012,総合工事業,General construction work,一般土木建築工事業,General civil engineering work and building work,79,"5,382,544","3,945,982","601,461","3,341,725","2,796","1,436,562","1,096,043","340,492",27,"210,459","73,737","135,849",873
