年,Year,項目,Item,総数 Total／頭数 Number（頭 Number）,総数 Total／重量 Weight（kg）,総数 Total／金額 Value（千円 in thousands of yen）
平成23,2011,総数,Total,329483,79068955,87629630
平成24,2012,総数,Total,337321.5,83037593.2,96058885
平成25,2013,総数,Total,375081,84445625,110152208
平成25,2013,牛,Cattle,150090.5,66332312,101961796
平成25,2013,豚,Pig,224837,18083476,8035626
平成25,2013,馬,Horse,-,-,-
平成25,2013,こ牛,Calf,153.5,12007,3214
平成25,2013,山羊・緬羊,Goat and sheep,-,-,-
平成25,2013,その他,Others,…,17830,151570
,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,
10-3  畜産物の畜種別取扱高 （平成23～25年） 10-3 TOTAL TRANSACTIONS IN LIVESTOCK PRODUCTS BY TYPE OF LIVESTOCK （ 2011-2013 ）,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,
（単位　重量　kg，金額　千円） （Weight in kg ， Value in thousands of yen),,,,,,
