年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ・ hotel,飲食店 Eateries／バー・キャバレー Bars ・ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成25,2013,2,13110,10,目黒区,Meguro-ku,3851,8,89,2873,0,115,108,54,120,229,255,60,253,486,249,226,475,132,384,104
平成25,2013,2,13111,11,大田区,Ota-ku,7863,51,208,5489,1,201,249,91,396,396,781,70,1049,1540,737,801,1556,631,986,745
平成25,2013,2,13112,12,世田谷区,Setagaya-ku,8062,6,43,6179,1,210,243,118,354,377,531,102,520,1270,704,689,1349,1166,2084,632
平成25,2013,2,13113,13,渋谷区,Shibuya-ku,9365,93,608,7452,0,161,189,45,215,173,429,160,1107,977,423,413,958,343,1096,290
平成25,2013,2,13114,14,中野区,Nakano-ku,3745,3,116,2927,1,132,121,31,126,117,171,26,258,507,284,283,463,347,704,303
平成25,2013,2,13115,15,杉並区,Suginami-ku,5544,10,83,4281,0,134,170,55,235,272,304,64,277,744,455,419,783,714,756,389
平成25,2013,2,13116,16,豊島区,Toshima-ku,6733,96,403,5072,1,161,199,50,254,248,249,77,540,821,445,417,892,295,761,314
平成25,2013,2,13117,17,北区,Kita-ku,4113,11,104,3110,0,98,120,45,199,231,195,22,352,630,321,300,597,557,640,396
平成25,2013,2,13118,18,荒川区,Arakawa-ku,2461,14,16,1770,3,77,106,30,133,234,78,16,196,373,205,195,342,378,418,225
平成25,2013,2,13119,19,板橋区,Itabashi-ku,4981,5,51,3665,1,124,180,76,266,267,346,33,583,939,502,479,928,759,877,172
平成25,2013,2,13120,20,練馬区,Nerima-ku,4785,4,127,3394,0,173,173,76,252,223,363,65,415,890,590,562,876,596,808,460
平成25,2013,2,13121,21,足立区,Adachi-ku,6501,38,8,4556,0,174,239,74,345,667,400,33,503,1162,678,690,1283,885,1243,214
平成25,2013,2,13122,22,葛飾区,Katsushika-ku,4808,13,132,3247,0,121,199,53,256,506,281,27,275,707,432,403,708,994,756,502
平成25,2013,2,13123,23,江戸川区,Edogawa-ku,6125,33,295,4210,0,169,159,40,308,249,662,37,343,972,604,607,993,780,984,481
平成25,2013,1,13200,,市部,All shi,33397,262,932,22936,0,911,1035,403,1631,1572,3715,433,4273,7004,3367,3295,6562,6767,7224,5199
平成25,2013,2,13201,1,八王子市,Hachioji-shi,4923,50,213,3273,0,141,120,38,185,164,739,48,658,1004,486,497,973,851,1020,677
平成25,2013,2,13202,2,立川市,Tachikawa-shi,2542,34,147,1688,0,44,63,15,117,110,324,27,320,406,193,190,377,370,570,348
平成25,2013,2,13203,3,武蔵野市,Musashino-shi,2382,9,116,1777,0,62,52,19,85,100,162,50,209,318,143,142,322,475,502,225
平成25,2013,2,13204,4,三鷹市,Mitaka-shi,1047,2,18,721,0,43,45,17,55,46,100,19,152,282,139,131,259,317,334,151
平成25,2013,2,13205,5,青梅市,Ome-shi,1496,47,13,750,0,39,47,17,41,69,473,19,176,276,124,124,329,140,203,60
平成25,2013,2,13206,6,府中市,Fuchu-shi,2182,17,49,1399,0,53,71,28,81,100,384,24,455,571,208,227,488,451,412,381
平成25,2013,2,13207,7,昭島市,Akishima-shi,949,10,13,697,0,31,25,18,51,44,60,12,200,215,96,108,209,184,268,175
平成25,2013,2,13208,8,調布市,Chofu-shi,1719,4,29,1279,0,54,69,20,90,64,110,22,177,334,190,179,335,474,236,311
平成25,2013,2,13209,9,町田市,Machida-shi,2975,21,108,1982,0,71,88,30,165,172,338,33,309,741,323,315,617,626,866,663
平成25,2013,2,13210,10,小金井市,Koganei-shi,755,2,8,561,0,23,25,11,29,38,58,16,72,145,91,83,163,214,206,191
平成25,2013,2,13211,11,小平市,Kodaira-shi,1206,4,2,799,0,38,45,15,77,71,155,13,178,335,144,143,265,310,181,450
平成25,2013,2,13212,12,日野市,Hino-shi,1024,1,4,647,0,21,41,18,64,41,187,7,189,247,113,116,220,176,193,92
平成25,2013,2,13213,13,東村山市,Higashimurayama-shi,1109,10,21,768,0,38,44,12,62,55,99,11,101,214,109,108,197,136,179,113
平成25,2013,2,13214,14,国分寺市,Kokubunji-shi,1030,4,28,788,0,24,34,12,48,36,56,16,69,171,85,77,149,189,102,162
平成25,2013,2,13215,15,国立市,Kunitachi-shi,616,5,3,465,0,11,22,7,31,39,33,12,73,115,65,61,100,107,157,107
平成25,2013,2,13218,16,福生市,Fussa-shi,823,2,45,678,0,20,15,4,22,19,18,3,46,101,57,50,95,84,152,42
平成25,2013,2,13219,17,狛江市,Komae-shi,442,1,2,309,0,15,18,18,24,27,28,5,40,95,59,51,87,250,108,131
平成25,2013,2,13220,18,東大和市,Higashiyamato-shi,614,6,13,413,0,16,28,7,51,51,29,4,56,131,68,59,115,80,109,46
平成25,2013,2,13221,19,清瀬市,Kiyose-shi,467,0,5,318,0,15,15,9,30,34,41,5,50,138,60,57,121,73,90,54
平成25,2013,2,13222,20,東久留米市,Higashikurume-shi,634,0,3,407,0,33,29,10,55,54,43,8,99,171,104,103,192,117,148,98
平成25,2013,2,13223,21,武蔵村山市,Musashimurayama-shi,459,4,1,323,0,15,23,14,30,31,18,8,75,126,69,66,123,73,104,71
平成25,2013,2,13224,22,多摩市,Tama-shi,1008,10,22,717,0,23,20,16,64,59,77,24,177,244,106,101,232,169,186,88
平成25,2013,2,13225,23,稲城市,Inagi-shi,381,0,1,269,0,6,18,8,28,22,29,13,54,110,56,54,99,61,69,32
平成25,2013,2,13227,24,羽村市,Hamura-shi,715,1,42,543,0,21,15,8,27,26,32,4,148,126,69,66,104,75,139,40
平成25,2013,2,13228,25,あきる野市,Akiruno-shi,544,15,0,370,0,17,23,12,39,39,29,12,74,131,72,61,141,111,142,28
平成25,2013,2,13229,26,西東京市,Nishitokyo-shi,1355,3,26,995,0,37,40,20,80,61,93,18,116,257,138,126,250,654,548,463
平成25,2013,1,13300,,郡部,All gun,569,46,0,378,0,12,24,8,21,35,45,9,91,158,77,70,206,221,367,71
平成25,2013,1,13500,,島部,All islands,1178,451,11,514,0,20,14,4,51,58,55,15,1,155,98,115,200,171,212,139
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
19-8  食品衛生営業施設数 (平成21～平成25年度末) 19-8  BUSINESS FACILITIES REGULATED BY THE FOOD SANITATION ACT ( End of Fiscal Years 2009-2013 )  ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,,,,
