年次,Year,月次 ,Month,件数 Total,件数 Total／うち法人(業種別) of which corporation (by industry)／計 Total,件数 Total／うち法人(業種別) of which corporation (by industry)／製造 Manufacturing／繊維品 Textile products,件数 Total／うち法人(業種別) of which corporation (by industry)／製造 Manufacturing／出版・印刷 Publishing and printing,件数 Total／うち法人(業種別) of which corporation (by industry)／製造 Manufacturing／金属製品 Metal products,件数 Total／うち法人(業種別) of which corporation (by industry)／製造 Manufacturing／機械 Machinary,件数 Total／うち法人(業種別) of which corporation (by industry)／製造 Manufacturing／その他 Others,件数 Total／うち法人(業種別) of which corporation (by industry)／卸売 Wholesale,件数 Total／うち法人(業種別) of which corporation (by industry)／小売 Retail,件数 Total／うち法人(業種別) of which corporation (by industry)／建設 Construction,件数 Total／うち法人(業種別) of which corporation (by industry)／サービス Services,件数 Total／うち法人(業種別) of which corporation (by industry)／不動産 Real estate,件数 Total／うち法人(業種別) of which corporation (by industry)／運輸・通信 Transportation & communications,件数 Total／うち法人(業種別) of which corporation (by industry)／その他 Others,枚数 Number,金額 Value
平成21,2009,総数,Total,1233,1127,19,82,46,37,174,113,161,254,125,49,50,17,3505,9674286
平成22,2010,総数,Total,882,818,15,61,32,8,108,99,133,214,77,13,48,10,2136,11430934
平成23,2011,総数,Total,665,626,15,59,28,19,89,69,72,164,69,7,27,8,1821,6260431
平成24,2012,総数,Total,569,544,9,48,25,7,84,62,86,126,50,8,33,6,1493,3686400
平成25,2013,総数,Total,460,439,11,35,15,9,76,59,63,97,44,9,20,1,1115,2507145
平成25,2013,1,Jan.,38,36,-,5,4,2,4,2,8,6,4,1,-,-,71,120342
平成25,2013,2,Feb.,42,40,2,3,-,1,5,4,6,10,7,1,1,-,134,134735
平成25,2013,3,Mar.,47,43,-,1,2,2,8,3,5,12,7,1,2,-,114,366298
平成25,2013,4,Apr.,37,36,1,1,-,-,8,6,7,5,5,1,2,-,122,157944
平成25,2013,5,May,43,39,2,2,2,-,9,8,6,6,2,-,2,-,97,211353
平成25,2013,6,June,28,26,-,1,-,-,6,4,3,8,1,2,1,-,65,132517
平成25,2013,7,July,43,41,4,5,-,-,5,8,6,10,1,1,1,-,70,852765
平成25,2013,8,Aug.,43,40,1,2,1,2,10,4,2,12,3,1,2,-,84,71140
平成25,2013,9,Sept.,31,31,-,5,2,-,4,4,4,6,4,-,2,-,69,142024
平成25,2013,10,Oct.,47,47,-,5,2,-,9,8,6,10,3,-,4,-,137,148067
平成25,2013,11,Nov.,31,30,-,3,1,1,2,4,6,7,4,-,1,1,84,58159
平成25,2013,12,Dec.,30,30,1,2,1,1,6,4,4,5,3,1,2,-,68,111801
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,
15-9  東京手形交換所扱い銀行取引停止処分数 (平成21～25年) 15-9  SUSPENSION OF TRANSACTIONS WITH THE TOKYO CLEARING HOUSE MEMBER BANKS ( 2009-2013)  ,,,,,,,,,,,,,,,,,,,
資料：全国銀行協会 「決済統計年報」，「全国手形交換高・不渡手形実数・取引停止処分数調」 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,
（単位  金額  千円）(Value in thousands of yen),,,,,,,,,,,,,,,,,,,
