年次,Year,区分階層,項番 Item number,裁判所,Court,総数 Total／新受 Newly received,総数 Total／既済 Disposed,総数 Total／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／人事訴訟 Personal litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／人事訴訟 Personal litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／人事訴訟 Personal litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／未済 Pending,控訴審通常訴訟 Ordinary appeal to court of second instance／新受 Newly received,控訴審通常訴訟 Ordinary appeal to court of second instance／既済 Disposed,控訴審通常訴訟 Ordinary appeal to court of second instance／未済 Pending,再審 Retrial procedure／新受 Newly received,再審 Retrial procedure／既済 Disposed,再審 Retrial procedure／未済 Pending,調停事件 Conciliation cases／新受 Newly received,調停事件 Conciliation cases／既済 Disposed,調停事件 Conciliation cases／未済 Pending,和解 Settlement／新受 Newly received,和解 Settlement／既済 Disposed,和解 Settlement／未済 Pending,督促 Demand for payment／新受 Newly received,督促 Demand for payment／既済 Disposed,督促 Demand for payment／未済 Pending,保全命令 Temporary restraining order／新受 Newly received,保全命令 Temporary restraining order／既済 Disposed,保全命令 Temporary restraining order／未済 Pending,その他の事件 Other cases／新受 Newly received／労働審判 Labor tribunal decisions,その他の事件 Other cases／新受 Newly received／借地非訟 Non-contentious tenancy cases,その他の事件 Other cases／新受 Newly received／強制執行 Compulsory execution,その他の事件 Other cases／新受 Newly received／担保権実行 Exercise of security rights,その他の事件 Other cases／新受 Newly received／破産 Bankruptcy,その他の事件 Other cases／新受 Newly received／会社更生 Company rehabilitation,その他の事件 Other cases／新受 Newly received／公示催告 Public notification,その他の事件 Other cases／新受 Newly received／過料 Noncriminal fines,その他の事件 Other cases／新受 Newly received／その他 Others,その他の事件 Other cases／既済 Disposed,その他の事件 Other cases／未済 Pending
平成24,2012,0,,総数,Total,433279,437540,91452,166258,167625,46922, -, -, -,3717,3763,536,64,63,10,70,72,18,881,912,774,1654,1702,553,70,71,22,8798,9200,1956,503,527,43,97404,99360,566,5691,5625,293,1053,164,14758,3685,17379,21,266,25305,85538,148620,39759
平成25,2013,0,,総数,Total,377422,379873,88938,150633,153903,43652, -, -, -,3101,3145,492,56,57,9,53,49,22,837,724,887,1192,1241,504,53,61,14,7198,7084,2070,528,500,71,80756,79079,2243,5238,5282,249,1046,160,14595,3174,15486,2,259,26047,67008,128748,38725
平成25,2013,1,,地方裁判所, District courts,110689,113441,59471,37756,39057,23304, -, -, -, -, -, -, -, -, -,47,44,20,837,724,887,1192,1241,504,43,50,14,342,346,284, -, -, -, -, -, -,4809,4855,238,1046,160,14167,3174,15486,2, -,4460,27168,67124,34220
平成25,2013,2,1,東京, Tokyo,98211,100597,52653,34667,35925,21424, -, -, -, -, -, -, -, -, -,46,43,19,837,724,887,1192,1241,504,43,49,12,331,337,274, -, -, -, -, -, -,4558,4609,215,973,154,11396,2393,14293,2, -,3572,23754,57669,29318
平成25,2013,2,2,立川支部, Tachikawa Branch,12478,12844,6818,3089,3132,1880, -, -, -, -, -, -, -, -, -,1,1,1, -, -, -, -, -, -, -,1,2,11,9,10, -, -, -, -, -, -,251,246,23,73,6,2771,781,1193, -, -,888,3414,9455,4902
平成25,2013,1,,簡易裁判所, Summary courts,266733,266432,29467,112877,114846,20348, -, -, -,3101,3145,492,56,57,9,6,5,2, -, -, -, -, -, -,10,11, -,6856,6738,1786,528,500,71,80756,79079,2243,429,427,11, -, -,428, -, -, -,259,21587,39840,61624,4505
平成25,2013,2,1,東京, Tokyo,247102,246885,27843,108426,110412,19268, -, -, -,2746,2779,411,50,50,9,5,4,2, -, -, -, -, -, -,10,11, -,6131,6020,1569,484,455,64,75264,73612,2195,404,404,9, -, -,411, -, -, -,244,16012,36915,53138,4316
平成25,2013,2,2,八丈島, Hachijojima ,68,68,2,5,4,1, -, -, -,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2,4, -, -, -, -,12,12, -, -, -, -, -, -, -, -, -, -, -,42,6,47,1
平成25,2013,2,3,伊豆大島, Izu-oshima ,57,59, -,9,9, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,9,10, -, -, -, -, -, -, -, -, -, -, -,33,6,40, -
平成25,2013,2,4,新島, Niijima,7,11, -,2,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2, -, -, -, -,2,2, -, -, -, -, -, -, -, -, -, -, -,3, -,5, -
平成25,2013,2,5,八王子, Hachioji ,4268,4325,391,1182,1222,306, -, -, -,59,62,18,1,1, -,1,1, -, -, -, -, -, -, -, -, -, -,156,172,45,10,10, -,1037,1032,12,6,6, -, -, -, -, -, -, -,1,1260,555,1819,10
平成25,2013,2,6,立川, Tachikawa,4978,4924,427,1142,1107,270, -, -, -,122,123,31,4,4, -, -, -, -, -, -, -, -, -, -, -, -, -,218,206,67,20,22,2,1618,1619,10,6,5,1, -, -,5, -, -, -,3,982,858,1838,46
