"地域","備蓄倉庫 設置箇所[か所]","備蓄倉庫 面積[平方メートル]","消火器設置本数[本]"
"芝",37,4701,376
"麻布",23,1765,294
"赤坂",20,1672,279
"高輪",18,1335,365
"芝浦港南",23,3427,189

"平成30年度港区行政資料集　備蓄倉庫・消火器設置状況","Ver201804",,
