区分,幼稚園,小学校,中学校,高等学校,その他,計
2017年第3週（警報）(2017年1月16日～1月22日),24,185,77,29,4,319
2016-2017年シーズン累計2016年9月5日～2017年1月22日,44,372,139,49,6,610
2015-2016年シーズン累計（同時期）2015年8月31日～2016年1月24日,10,138,14,3,2,167
