区分,A型AH1pdm09,A型AH1pdm09（％）,A型AH1（Aソ連型）,A型AH1（Aソ連型）（％）,A型AH3（A香港型）,A型AH3（A香港型）（％）,B型,B型（％）
2016-2017年シーズン累計,4,3.8,0,0.0,99,93.4,3,2.8
2015-2016年シーズン累計,176,44.8,0,0.0,30,7.6,187,47.6
