年度(平成),Fiscal Year,区分,Classification,総数 Total,設置者保有 Owned／屋外運動場 Sports grounds,設置者保有 Owned／実験実習地 Land for laboratories and workshops,設置者保有 Owned／建物敷地・その他 Land for buildings and others,借用土地 Rented land,,,,,,,
26,2014,総数,Total,31513362,13513262,1839558,14601489,1559053,,,,,,,
27,2015,総数,Total,31284486,13465907,1840743,14692779,1285057,,,,,,,
28,2016,総数,Total,31127533,13386663,1865960,14556698,1318212,,,,,,,
29,2017,総数,Total,30924526,13290468,1848208,14475106,1310744,,,,,,,
30,2018,総数,Total,31583069,13259152,2220906,15076050,1026961,,,,,,,
30,2018,幼稚園,Kindergartens,221996,64924,36857,79603,40612,,,,,,,
30,2018,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),21376,7822,-,5408,8146,,,,,,,
30,2018,小学校,Elementary schools,14988407,6307725,676213,7328256,676213,,,,,,,
30,2018,中学校,Junior high schools,9334641,4453132,271951,4337607,271951,,,,,,,
30,2018,義務教育学校,Compulsory education schools ,118708,44653,-,74055,-,,,,,,,
30,2018,高等学校,Senior high schools,5953349,2152519,1179593,2615595,5642,,,,,,,
30,2018,特別支援学校 1),Special needs schools 1),805407,191631,56292,535660,21824,,,,,,,
30,2018,専修学校,Specialized training schools,53681,5208,-,45900,2573,,,,,,,
30,2018,高等専門学校,Colleges of technology,85504,31538,-,53966,-,,,,,,,
,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,17051a
17-5  学校施設の面積 (1) 用途別学校土地面積 (平成26～30年度) a 公立 17-5  LAND AREA OF SCHOOL FACILITIES (1) SCHOOL LAND AREA BY USE ( Fiscal Years 2014-2018 ) a PUBLIC,,,,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,,,,
注 1) 区立特別支援学校は除く。     ,,,,,,,,,,,,,,,
Note: 1) Except those established by ward.,,,,,,,,,,,,,,,
資料：都総務局総務部企画計理課，教育庁都立学校教育部高等学校教育課・特別支援教育課，地域教育支援部義務教育課 Source: Bureau of General Affairs， TMG;Office of Education， TMG 　　   ,,,,,,,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,,,,,,,
