年度末(平成),End of Fiscal Year,分類,Classification,総数／Total,中央／Central,多摩／Tama
28,2016,総数,Total,2536959,2019601,517358
29,2017,総数,Total,2587717,2059640,528077
30,2018,総数,Total,2633901,2102623,531278
30,2018,総記,General works,85276,75576,9700
30,2018,哲学,Philosophy,93035,84686,8349
30,2018,歴史,History,232792,216457,16335
30,2018,社会科学,Social science,441480,408226,33254
30,2018,自然科学,Natural science,153060,140825,12235
30,2018,技術,Technology,174506,159182,15324
30,2018,産業,Industry,115115,108530,6585
30,2018,芸術,The arts,164882,144339,20543
30,2018,言語,Language,39212,33966,5246
30,2018,文学,Literature,291436,146587,144849
30,2018,児童,Children's books,204129,-,204129
30,2018,その他,Others,638978,584249,54729
,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (2) 都立図書館蔵書数 (平成28～30年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (2) NUMBER OF BOOKS STOCKED AT METROPOLITAN LIBRARIES ( End of Fiscal Years 2016-2018 ),,,,,,
資料：国立国会図書館，都立中央図書館 Source: National Diet Library， Tokyo Metropolitan Central Library,,,,,,
（単位　冊）(In volumes),,,,,,
