1,"東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION, CULTURE, AND SPORTS ",,,,,,,,,,
2,,,"17-11  国立博物館及び美術館 (5) 国立新美術館  (平成28～30年度) 17-11  NATIONAL MUSEUM (5) THE NATIONAL ART CENTER, TOKYO ( Fiscal Years 2016-2018 )",,,,,,,,
3,,,a) Special exhibition  b) Public exhibition  c) Number of collection items (end of fiscal year),,,,,,,,
4,,,注 1) 「雑誌」数はタイトル数であり，「紀要・年報」を含む。　,,,,,,,,
5,,,"Note: 1) The number of periodical titles, including bulletins and annual reports.",,,,,,,,
6,,,"資料：国立新美術館 Source: The National Art Center, Tokyo  ",,,,,,,,
7,年度(平成),Fiscal Year,開館日数 Number of open days,企画展 a)／展覧会数 Number of exhibitions,企画展 a)／観覧人員 Visitors,公募展 b)／展覧会数 Number of exhibitions,公募展 b)／観覧人員 Visitors,収蔵品数(年度末) c)／総数 Total,収蔵品数(年度末) c)／図書 Books,収蔵品数(年度末) c)／カタログ Catalogs,収蔵品数(年度末) c)／雑誌 Periodicals 1)
8,28,2016,297,8,1652287,69,1200190,150015,43528,103377,3110
9,29,2017,302,8,1630814,74,1198009,150835,44999,105836,3133
10,30,2018,303,11,1400879,75,1212730,158030,46268,108609,3153
