年度(平成),Fiscal Year,貸切利用回数 Group use (number of times)／陸上競技場 Athletic field,貸切利用回数 Group use (number of times)／体育館 Gymnasium,貸切利用回数 Group use (number of times)／屋内球技場 Indoor Ball Sports field,貸切利用回数 Group use (number of times)／第1球技場 No.1 ball sports ground,貸切利用回数 Group use (number of times)／第2球技場 No.2 ball sports ground,貸切利用回数 Group use (number of times)／補助競技場 Supported sports ground,貸切利用回数 Group use (number of times)／硬式野球場 Baseball field 1),貸切利用回数 Group use (number of times)／弓道場 Japanese archery range,貸切利用回数 Group use (number of times)／軟式野球場 rubber baseball field (時間 hours) 2),貸切利用回数 Group use (number of times)／テニスコート Tennis Courts (時間 hours) 2),一般公開利用者数 Individual users／弓道場 Japanese archery range,一般公開利用者数 Individual users／トレーニングルーム Training room ,一般公開利用者数 Individual users／水泳場 Swimming pool 3),一般公開利用者数 Individual users／東京オリンピックメモリアルギャラリー Tokyo Olympic memorial gallery ,ｽﾎﾟｰﾂ教室 Sports programs／回数 Times held,ｽﾎﾟｰﾂ教室 Sports programs／人数 Participants
28,2016,281,1005,-,-,1948,1957,1277,-,1397,10601,1944,197617,-,66571,248,82648
29,2017,314,968,642,309,1962,1999,1119,531,1157,10523,3106,217972,-,61143,242,79016
30,2018,317,971,956,551,1964,2002,-,580,1220,10578,4071,222701,-,56403,273,68447
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (2) 駒沢オリンピック公園総合運動場 (平成28～30年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (2) METROPOLITAN KOMAZAWA OLYMPIC PARK GENERAL SPORTS GROUND ( Fiscal Years 2016-2018 ) ,,,,,,,,,,,,,,,,,
注 1) 平成30年3月から改修工事に伴い硬式野球場を休館した。　　,,,,,,,,,,,,,,,,,
2) 軟式野球場及びテニスコートは1回が2時間である。 ,,,,,,,,,,,,,,,,,
3) 平成23年度より水泳場は営業を休止している。　,,,,,,,,,,,,,,,,,
Note: 1) The baseball field has been closed for renovations from March 2018.  ,,,,,,,,,,,,,,,,,
2) The use of the Rubber baseball field and Tennis courts is limited to 2 hours at a time.    ,,,,,,,,,,,,,,,,,
3) The Swimming pool has been closed since fiscal 2011.  ,,,,,,,,,,,,,,,,,
資料：都オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,,,,,,,,,,
