年度(平成),Fiscal Year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned／屋外運動場 Sports grounds,設置者保有 Owned／実験実習地 Land for laboratories and workshops,設置者保有 Owned／建物敷地・その他 Land for buildings and others,借用土地 Rented land,,,
26,2014,総数,Total,,12934918,11735774,･･･,･･･,1199144,,,
27,2015,総数,Total,,12458937,11277919,･･･,･･･,1181018,,,
28,2016,総数,Total,,12420969,11244216,･･･,･･･,1176753,,,
29,2017,総数,Total,,12745515,11580456,･･･,･･･,1165059,,,
30,2018,総数,Total,,12744103,11589213,･･･,･･･,1154890,,,
30,2018,幼稚園,Kindergartens,,1868186,634022,39273,819887,375004,,,
30,2018,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,48694,12517,-,12192,23985,,,
30,2018,小学校,Elementary schools,,537812,162133,17751,316577,41351,,,
30,2018,中学校,Junior high schools,,1084050,249239,17234,740863,76714,,,
30,2018,義務教育学校,Compulsory education schools ,,-,-,-,-,-,,,
30,2018,高等学校,Senior high schools,,7385182,2118390,953157,3825043,488592,,,
30,2018,特別支援学校,Special needs schools,,34175,7850,-,14626,11699,,,
30,2018,専修学校,Specialized training schools,,1302379,92642,15474,1132131,62132,,,
30,2018,各種学校,Miscellaneous schools,,440428,365015,･･･,･･･,75413,,,
30,2018,高等専門学校,Colleges of technology,※,43197,43197,･･･,･･･,-,,,
,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,17051b
17-5  学校施設の面積 (1) 用途別学校土地面積 (平成26～30年度) b 私立 17-5  LAND AREA OF SCHOOL FACILITIES (1) SCHOOL LAND AREA BY USE ( Fiscal Years 2014-2018 ) b PRIVATE,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,
平成26年度から30年度までの設置者保有面積は，屋外運動場，実験実習地，建物敷地・その他3項目の合算値。,,,,,,,,,,,,
各種学校及び高等専門学校の設置者保有面積は，屋外運動場，実験実習地，建物敷地・その他3項目の合算値。,,,,,,,,,,,,
The area owned by the installer from 2014 to 2018 is the total value of the sports ground， land for laboratories and workshops ， land for buildings and others 3 items.,,,,,,,,,,,,
The area occupied by the installers of  Miscellaneous schools and colleges of technology  is the total value of the sports ground， land for laboratories and workshops ， land for buildings and others 3 items.,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」，※サレジオ工業高等専門学校 Source: Bureau of General Affairs， TMG， ※Salesian Polytechnic　,,,,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,,,,
