年度末(平成),End of Fiscal Year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average
28,2016,311,685368,493723,478526,146,15048,3,191645,2204
29,2017,314,676491,478510,462831,185,15494,-,197981,2154
30,2018,315,649633,459223,444797,196,14230,-,190410,2062
,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-18  東京都立動物園等の状況 (5) 神代植物公園 (平成28～30年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (5) JINDAI BOTANICAL PARK ( Fiscal Years 2016-2018 ),,,,,,,,,,
資料：公益財団法人東京都公園協会神代植物公園 Source: Tokyo Zoological Jindai Botanical Park,,,,,,,,,,
