地域階層,地域コード,項番 Item number,地域,district,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by  target)／計 Total,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by  target)／高齢者 Seniors,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by  target)／女性 Women,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by target)／家庭教育 Home education,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by target)／青年 Youth,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by target)／少年 Children,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and Courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and Programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and Programs／分野別事業数 Programs by category／行事・大会 Events/Meets,学級・事業数 Classes and Programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection/promotion,学級・事業数 Classes and Programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and Programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study/promotion,学級・事業数 Classes and Programs／分野別事業数 Programs by category／その他の事業 Others programs
0,13000,,総数,Tokyo-to,844,9913,6109,288,718,1674,161,550,2718,201,655,331,104,185,53,1163,876,37,199
1,13100,,区部,All ku,423,4989,3312,91,578,1250,86,181,1126,114,267,174,58,156,19,381,396,28,84
2,13101,1,千代田区,Chiyoda-ku,10,34,10,-,-,1,-,2,7,-,12,9,2,-,-,-,-,-,1
2,13102,2,中央区,Chuo-ku,9,179,162,12,-,69,-,-,81,3,5,1,1,2,-,2,2,-,1
2,13103,3,港区,Minato-ku,11,99,81,-,9,19,1,-,52,-,7,4,-,-,-,3,2,-,2
2,13104,4,新宿区,Shinjuku-ku,24,101,88,-,-,88,-,-,-,2,1,6,2,-,-,-,-,-,2
2,13105,5,文京区,Bunkyo-ku,19,214,134,1,-,2,-,14,117,-,9,3,13,4,13,5,24,1,8
2,13106,6,台東区,Taito-ku,20,213,156,7,3,61,-,9,76,13,6,4,1,4,-,25,-,1,3
2,13107,7,墨田区,Sumida-ku,9,79,35,-,1,26,-,2,6,2,3,5,1,2,-,12,9,5,5
2,13108,8,江東区,Koto-ku,16,106,43,-,9,5,8,8,13,10,30,11,1,-,-,3,-,3,5
2,13109,9,品川区,Shinagawa-ku,18,1075,1031,60,417,516,-,11,27,3,1,5,3,3,-,13,8,1,7
2,13110,10,目黒区,Meguro-ku,19,70,34,1,1,9,3,8,12,4,8,1,3,2,-,1,11,-,6
2,13111,11,大田区,Ota-ku,19,169,82,-,11,37,1,-,33,7,18,4,2,18,-,2,29,3,4
2,13112,12,世田谷区,Setagaya-ku,26,299,187,5,-,102,1,10,69,21,67,11,3,-,-,3,4,-,3
2,13113,13,渋谷区,Shibuya-ku,22,81,27,-,-,-,-,14,13,7,1,6,2,-,-,5,32,-,1
2,13114,14,中野区,Nakano-ku,12,170,9,3,6,-,-,-,-,-,-,1,1,-,-,150,5,-,4
2,13115,15,杉並区,Suginami-ku,21,178,97,-,-,35,3,12,47,-,32,1,1,-,-,9,34,-,4
