年度(平成),Fiscal Year,開館日数 Number of open days,備付品数 (年度末) Number of works (End of fiscal year)／総数 Total,備付品数 (年度末) Number of works (End of fiscal year)／絵画 Paintings,備付品数 (年度末) Number of works (End of fiscal year)／版画 Prints,備付品数 (年度末) Number of works (End of fiscal year)／彫刻 Sculptures,備付品数 (年度末) Number of works (End of fiscal year)／工芸 Crafts,備付品数 (年度末) Number of works (End of fiscal year)／その他 Others,観覧人員 Visitors
28,2016,302,6091,497,3987,103,819,685,1318899
29,2017,289,6179,501,4068,104,821,685,1528070
30,2018,290,6429,504,4153,105,824,843,1339165
,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-11  国立博物館及び美術館 (2) 国立西洋美術館 (平成28～30年度) 17-11  NATIONAL MUSEUM (2) THE NATIONAL MUSEUM OF WESTERN ART ( Fiscal Years 2016-2018 ),,,,,,,,,
資料：国立西洋美術館 Source: The National Museum of Western Art　　,,,,,,,,,
