年度(平成),Fiscal Year,卒業後の状況,status after graduation,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,総数 Total／国立 National,総数 Total／公立 Public,総数 Total／私立 Private
28,2016,総数,Total,104543,52841,51702,911,78808,24824
29,2017,総数,Total,103274,52252,51022,922,77989,24363
30,2018,総数,Total,102257,51862,50395,918,77147,24192
30,2018,(A) 高等学校等進学者,(A) Enrollment in senior high schools and others,100962,51200,49762,917,76040,24005
30,2018,高等学校等進学者／高等学校本科 全日制,Enrollment in senior high schools and others／Senior high schools， regular course， full-time,94405,47389,47016,913,69701,23791
30,2018,高等学校等進学者／高等学校本科 定時制,Enrollment in senior high schools and others／Senior high schools， regular course， part-time,2510,1366,1144,-,2479,31
30,2018,高等学校等進学者／高等学校本科 通信制,Enrollment in senior high schools and others／Senior high schools， regular course， correspondence course,2510,1375,1135,4,2340,166
30,2018,高等学校等進学者／中等教育学校後期課程本科 全日制,Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， full-time,3,2,1,-,-,3
30,2018,高等学校等進学者／中等教育学校後期課程本科 定時制,Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， part-time,-,-,-,-,-,-
30,2018,高等学校等進学者／高等学校別科,Enrollment in senior high schools and others／Senior high schools， special course,-,-,-,-,-,-
30,2018,高等学校等進学者／中等教育学校後期課程別科,Enrollment in senior high schools and others／Secondary education schools， upper secondary course， special course,-,-,-,-,-,-
30,2018,高等学校等進学者／高等専門学校,Enrollment in senior high schools and others／Colleges of technology,462,375,87,-,450,12
30,2018,高等学校等進学者／特別支援学校高等部本科,Enrollment in senior high schools and others／Special needs education schools， upper secondary course， regular course,1072,693,379,-,1070,2
30,2018,高等学校等進学者／特別支援学校高等部別科,Enrollment in senior high schools and others／Special needs education schools， upper secondary course， special course,-,-,-,-,-,-
30,2018,(B)専修学校(高等課程)進学者,(B)Enrollment in specialized training schools (upper secondary course),378,165,213,-,343,35
30,2018,(C)専修学校(一般課程)等入学者,(C)Enrollment in Specialized training schools (general course) and others,143,55,88,-,137,6
30,2018,(D)公共職業能力開発施設等入学者,(D)Enrollment in public vocational training facilities and others,15,15,-,-,14,1
30,2018,(E)就職者等 1),(E)Employed and others 1),148,106,42,-,146,2
30,2018,就職者等 1)／自営業主等,Employed and others 1)／Self-employed persons and others,62,52,10,-,62,-
30,2018,就職者等 1)／常用労働者,Employed and others 1)／Regular worker,69,48,21,-,68,1
30,2018,就職者等 1)／常用労働者／無期雇用労働者,Employed and others 1)／Regular worker／ Indefinite-term employment,43,33,10,-,43,-
30,2018,就職者等 1)／常用労働者／有期雇用労働者,Employed and others 1)／Regular worker／Fixed-term employment,26,15,11,-,25,1
30,2018,就職者等 1)／臨時労働者,Employed and others 1)／Contingent worker,17,6,11,-,16,1
30,2018,(F)上記以外の者,(F)Persons other than the above,604,314,290,1,464,139
30,2018,(G)不詳・死亡,(G)Unknown or deceased,7,7,-,-,3,4
30,2018,(再掲)上記(ABCD)のうち就職している者,(Relisted)(A， B， C， D) above and employed,17,16,1,-,17,-
30,2018,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,15,14,1,-,15,-
30,2018,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,2,2,-,-,2,-
30,2018,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,-,-,-,-,-,-
30,2018,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,-,-,-,-,-,-
30,2018,(再掲)上記(A)のうち他県への進学者,(Relisted)(A) above and enrolled in schools in other prefectures,5070,3289,1781,56,4526,488
,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-6  中学校卒業後の状況  (平成28～30年度) 17-6  STATUS OF GRADUATES OF JUNIOR HIGH SCHOOLS  ( Fiscal Years 2016ｰ2018 ),,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
注 1) 「就職者等」は，平成30年度からの調査項目である。　　　,,,,,,,,,
"Note: 1)  ""Employed and others"" section was added in FY2018.",,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Bureau of General Affairs， TMG  　　,,,,,,,,,
