年度末(平成),End of Fiscal Year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average
28,2016,316,867851,479578,463299,668,15430,181,388273,2746
29,2017,316,864373,462636,442504,739,19183,210,401737,2735
30,2018,316,847261,445127,421792,646,22481,208,402134,2681
,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-18  東京都立動物園等の状況 (3) 井の頭自然文化園 (平成28～30年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (3) INOKASHIRA PARK ZOO ( Fiscal Years 2016-2018 ),,,,,,,,,,
資料：公益財団法人東京動物園協会井の頭自然文化園  Source: Tokyo Zoological Park Society INOKASHIRA PARK ZOO,,,,,,,,,,
