年次(平成),Year,総数 Total／出願件数 Number of applications,総数 Total／登録件数 Number of registrations,特許 Patents／出願件数 Number of applications,特許 Patents／登録件数 Number of registrations,実用新案 Utility models／出願件数 Number of applications,実用新案 Utility models／登録件数 Number of registrations,意匠 Designs／出願件数 Number of applications,意匠 Designs／登録件数 Number of registrations,商標Trademarks／出願件数 Number of applications,商標Trademarks／登録件数 Number of registrations
28,2016,190554,128802,130455,82002,1245,1216,9195,8020,49659,37564
29,2017,195372,128537,129667,80020,1218,1179,9043,8309,55444,39029
30,2018,193476,126374,127577,77208,938,953,8967,7877,55994,40336
,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-15  産業財産権 (平成28～30年) 17-15  INDUSTRIAL PROPERTY RIGHTS ( 2016ｰ2018 ),,,,,,,,,,,
資料：特許庁「特許行政年次報告書」 Source: Japan Patent Office.,,,,,,,,,,,
