年度(平成),Fiscal Year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned／校舎 School buildings,設置者保有 Owned／講堂，屋内運動場 Auditoriums， gymnasiums ,設置者保有 Owned／寄宿舎 Dormitories,借用建物 Rented buildings,,
26,2014,総数,Total,,15013117,12852664,2064232,37582,58639,,
27,2015,総数,Total,,15061113,12913130,2064662,39387,43934,,
28,2016,総数,Total,,15075301,12906252,2066791,39387,62871,,
29,2017,総数,Total,,15070283,12886159,2071292,26938,85894,,
30,2018,総数,Total,,15249197,13041662,2096081,31905,79549,,
30,2018,幼稚園,Kindergartens,,137510,126002,-,-,11508,,
30,2018,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,10044,8391,664,-,989,,
30,2018,小学校,Elementary schools,,7469360,6459121,983662,1508,25069,,
30,2018,中学校,Junior high schools,,4285175,3627187,652999,-,4989,,
30,2018,義務教育学校,Compulsory education schools ,,114965,98942,16023,-,-,,
30,2018,高等学校,Senior high schools,,2555558,2121073,384742,12749,36994,,
30,2018,特別支援学校 ,Special needs schools,1),556528,496176,46690,13662,-,,
30,2018,専修学校,Specialized training schools,,55340,46893,4461,3986,-,,
30,2018,高等専門学校,Colleges of technology,,64717,57877,6840,-,-,,
,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,17052a
17-5  学校施設の面積 (2) 用途別学校建物面積 (平成26～30年度) a 公立 17-5  LAND AREA OF SCHOOL FACILITIES (2) SCHOOL BUILDING AREA BY USE  ( Fiscal Years 2014-2018 ) a PUBLIC,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
注 1) 区立特別支援学校は除く。     ,,,,,,,,,,,
Note: 1) Except those established by ward.,,,,,,,,,,,
資料：都総務局総務部企画計理課，教育庁都立学校教育部高等学校教育課・特別支援教育課，地域教育支援部義務教育課 Source: Bureau of General Affairs， TMG;Office of Education， TMG 　   ,,,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,,,
