1,"東京都統計年鑑（平成30年）STATUS OF TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION, CULTURE, AND SPORTS ",,,,,,,,,,
2,,,"17-18  東京都立動物園等の状況 (4) 葛西臨海水族園 (平成28～30年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS, ETC. (4) TOKYO SEA LIFE PARK ( Fiscal Years 2016-2018 )",,,,,,,,
3,,,資料：公益財団法人東京動物園協会葛西臨海水族園 Source: Tokyo Zoological Park Society Tokyo Sea Life Park,,,,,,,,
4,年度末(平成),End of Fiscal Year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average
5,28,2016,294,1372337,643760,558059,9892,75081,728,728577,4668
6,29,2017,316,1484724,701622,613372,11306,76358,586,783102,4698
7,30,2018,317,1397081,657846,578791,10981,67155,919,739235,4407
