年度(平成),Fiscal year,区分,Classification,開館日数 Number of open days,観覧人員 Visitors／総数 Total,観覧人員 Visitors／大人 Adults,観覧人員 Visitors／学生 Students,観覧人員 Visitors／小人 Children,観覧人員 Visitors／その他 Others,(再掲) relisted／団体 Groups,備付品数 number of works／映画フィルム Movie films
30,2018,上映,Screenings,212,66245,29609,5360,24,31252,-,80835
30,2018,展示,Exhibitions,209,14823,5988,2088,149,6598,124,…
,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-11  国立博物館及び美術館 (4) 国立映画アーカイブ (平成30年度)  17-11  NATIONAL MUSEUM (4) NATIONAL FILM ARCHIVE OF JAPAN ( Fiscal Year 2018 ),,,,,,,,,,,
注 ) 平成30年4月1日より，東京国立近代美術館から独立し，国立映画アーカイブとなった。,,,,,,,,,,,
Note: From April 1， 2018， the National Film Center was split off from the National Museum of Modern Art， Tokyo， to become the National Film Archive of Japan.,,,,,,,,,,,
資料：国立映画アーカイブ Source: National Film Archive of Japan,,,,,,,,,,,
