年度(平成),Fiscal Year,開館日数 Number of open days,主催展 Exhibitions／展覧会数 Number of exhibitions,主催展 Exhibitions／観覧人員 Visitors,収蔵品数(年度末) Number of collection items (end of fiscal year )／総数 Total,収蔵品数(年度末) Number of collection items (end of fiscal year )／絵画 Paintings,収蔵品数(年度末) Number of collection items (end of fiscal year )／彫刻 Sculptures,収蔵品数(年度末) Number of collection items (end of fiscal year )／版画 Prints,収蔵品数(年度末) Number of collection items (end of fiscal year )／その他 Others,美術団体展 Exhibitions by art groups／展覧会数 Number of exhibitions,美術団体展 Exhibitions by art groups／観覧人員 Visitors
26,2014,316,12,866721,48,-,11,-,37,270,1283318
27,2015,324,11,1523380,48,-,11,-,37,267,1371143
28,2016,330,11,1360213,48,-,11,-,37,269,1333136
29,2017,325,9,1384799,48,-,11,-,37,247,1263756
30,2018,330,9,1663186,48,-,11,-,37,265,1295016
,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-12  東京都立美術館及び博物館 (1) 東京都美術館 (平成26～30年度) 17-12 TOKYO METROPOLITAN MUSEUMS (1) TOKYO METROPOLITAN ART MUSEUM ( Fiscal Years 2014-2018 ),,,,,,,,,,,
資料：公益財団法人東京都歴史文化財団 Source: Tokyo Metropolitan Foundation for History and Culture,,,,,,,,,,,
