国公立図書館階層,区分,Classification,館数 Number of libraries,資料費(平成30年度予算) Materials expenditure (FY2018 budget)(千円 thousand yen),蔵書数 Number of books,館外貸出図書点数 (年度中) Number of books lent out (during the fiscal year)
0,総数,Total,392,6943825,61314552,111551088
1,国立国会図書館,National Diet Library,1,2335940,11354294,44374
2,東京本館,Tokyo Main Library,1,…,6969428,15371
2,国会分館,Detached Library in the Diet,1,…,-,16960
2,関西館,Kansai-kan,1,…,3917158,2307
2,国際子ども図書館,International Library of  Children's Literature,1,…,421735,9736
1,都立,Metropolitan,2,321883,2633901,-
2,中央,Central,1,…,2102623,-
2,多摩,Tama,1,…,531278,-
1,区市町村立,Municipal,389,4286002,47326357,111506714
2,千代田区,Chiyoda-ku,5,73544,545246,935095
2,中央区,Chuo-ku,3,63268,616944,1634682
2,港区,Minato-ku,7,155125,1083820,2156280
2,新宿区,Shinjuku-ku,11,145306,1012538,2821327
2,文京区,Bunkyo-ku,10,110666,1153443,3954171
2,台東区,Taito-ku,5,69403,604811,1646342
2,墨田区,Sumida-ku,4,70499,565093,1426076
2,江東区,Koto-ku,10,179695,1537332,5201324
2,品川区,Shinagawa-ku,11,58723,1119244,2947956
2,目黒区,Meguro-ku,8,81105,1195070,4082730
2,大田区,Ota-ku,16,231310,1824757,5597001
2,世田谷区,Setagaya-ku,16,188616,1896821,6537173
2,渋谷区,Shibuya-ku,10,68199,914323,2005971
2,中野区,Nakano-ku,8,78534,982176,1977553
2,杉並区,Suginami-ku,13,154399,2045985,4551100
2,豊島区,Toshima-ku,7,95554,776260,2241479
2,北区,Kita-ku,14,192915,1363692,3851325
2,荒川区,Arakawa-ku,5,97905,820480,2087466
2,板橋区,Itabashi-ku,12,92686,1487399,3095871
2,練馬区,Nerima-ku,13,225933,1809523,6641306
2,足立区,Adachi-ku,15,143219,1599991,3146503
2,葛飾区,Katsushika-ku,13,128058,1260042,3252938
2,江戸川区,Edogawa-ku,12,199087,1548518,5326750
2,八王子市,Hachioji-shi,7,82029,1658069,2455356
2,立川市,Tachikawa-shi,9,74433,911259,1679820
2,武蔵野市,Musashino-shi,3,93866,921590,2567810
2,三鷹市,Mitaka-shi,5,70581,788666,1656103
2,青梅市,Ome-shi,10,43625,578380,926784
2,府中市,Fuchu-shi,13,107540,1497296,2096069
2,昭島市,Akishima-shi,5,96340,419731,655494
2,調布市,Chofu-shi,11,92307,1378521,2560006
2,町田市,Machida-shi,8,46547,1170302,3697166
2,小金井市,Koganei-shi,4,54273,478149,930785
2,小平市,Kodaira-shi,11,48889,1190121,1464967
2,日野市,Hino-shi,7,64742,835633,1624753
2,東村山市,Higashimurayama-shi,5,38727,708184,1052635
2,国分寺市,Kokubunji-shi,6,27313,607722,865544
2,国立市,Kunitachi-shi,2,23125,257784,447534
2,福生市,Fussa-shi,4,25591,450849,598884
2,狛江市,Komae-shi,1,21829,293272,533931
2,東大和市,Higashiyamato-shi,3,34583,476167,686174
2,清瀬市,Kiyose-shi,6,23220,406812,541012
2,東久留米市,Higashikurume-shi,4,36981,469236,818066
2,武蔵村山市,Musashimurayama-shi,2,21973,315596,319176
2,多摩市,Tama-shi,8,57215,740582,1625772
2,稲城市,Inagi-shi,6,37486,644199,1188531
2,羽村市,Hamura-shi,1,18907,410961,308031
2,あきる野市,Akiruno-shi,4,37126,600052,656673
2,西東京市,Nishitokyo-shi,6,71550,795075,2178283
2,瑞穂町,Mizuho-machi,1,15324,221981,109247
2,日の出町,Hinode-machi,1,3696,109412,49840
2,奥多摩町,Okutama-machi,2,3499,77726,28888
2,檜原村,Hinohara-mura,1,2698,41923,16037
2,大島町,Oshima-machi,1,499,38850,5783
2,神津島村,kouzushima-mura,1,1878,16926,7671
2,三宅村,Miyake-mura,1,814,14060,4849
2,八丈町,Hachijo-machi,1,2687,34763,30571
2,青ヶ島村,Aogashima-mura,1,360,3000,50
,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (1) 設立及び地域別施設状況 (平成30年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (1) STATE OF FACILITIES BY ESTABLISHMENT AND DISTRICT ( End of Fiscal Year 2018),,,,,,
注 1) 国立国会図書館の蔵書，館外貸出図書冊数には関西館の数を含む。　,,,,,,
2) 国立国会図書館東京本館の蔵書数は国会分館の蔵書数を含む。,,,,,,
3) 国立国会図書館の蔵書数と各施設の蔵書数の合計については一致しない。　 ,,,,,,
4) 都立及び区市町村立の館外貸出図書数は個人への貸出のみ。,,,,,,
Note: 1) The numbers of books stocked and loaned at the Kansai-kan (in brackets) are included in figures for the National Diet Library. ,,,,,,
2) The number of books stocked at the Detached Library in the Diet is included in figures for the Tokyo Main Library of the National Diet Library.,,,,,,
3) The number of books stocked at the National Diet Library does not match the combined total of books at the National Diet Library facilities. ,,,,,,
4) The numbers of books loaned at metropolitan and municipal libraries are for loans to individuals only. ,,,,,,
資料：国立国会図書館，都立中央図書館 Source: National Diet Library， Tokyo Metropolitan Central Library,,,,,,
国公立図書館階層(0:総数　1:国立国会図書館・都立・区市町村立　2:東京本館・国会分館・関西館・国際子ども図書館・中央・多摩・区市町村),,,,,,
