年度(平成),Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校 Branch schools,学校数 Number of schools／総数 Total／うち小中一貫教育校 Combined elementary / junior high schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high / senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
28,2016,0,総数 ,total,総数 ,total,4447,1,22,269,2336967,1201449,1135518,…,152065,…
29,2017,0,総数 ,total,総数 ,total,4441,1,…,…,2344615,1203126,1141489,…,153122,…
30,2018,0,総数 ,total,総数 ,total,4437,1,…,…,2350661,1203551,1147110,…,154297,…
30,2018,0,総数 ,total,幼稚園,Kindergartens,991,-,…,…,154423,77918,76505,12702,10713,1989
30,2018,0,総数 ,total,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),30,-,…,…,5812,2949,2863,905,744,161
30,2018,0,総数 ,total,小学校,Elementary schools,1332,-,25,…,609512,312216,297296,40560,34568,5992
30,2018,0,総数 ,total,中学校,Junior high schools,804,1,17,137,300085,152361,147724,28302,19301,9001
30,2018,0,総数 ,total,義務教育学校,Compulsory education schools,7,-,7,…,5977,3104,2873,428,373,55
30,2018,0,総数 ,total,高等学校,Senior high schools,429,-,…,134,314305,154529,159776,29984,19333,10651
30,2018,0,総数 ,total,中等教育学校,Secondary education schools,8,-,…,8,7046,3344,3702,696,546,150
30,2018,0,総数 ,total,大学,Colleges and universities,153,-,-,-,740358,397211,343147,119223,51931,67292
30,2018,0,総数 ,total,短期大学,Junior colleges,37,-,-,-,12657,899,11758,3084,788,2296
30,2018,0,総数 ,total,高等専門学校,Colleges of technology,3,-,-,-,3484,3010,474,…,249,…
30,2018,0,総数 ,total,特別支援学校,Special needs schools,70,-,…,…,13386,8695,4691,6624,6042,582
30,2018,0,総数 ,total,高等学校通信制,d),12,-,…,…,10647,5956,4691,1086,229,857
30,2018,0,総数 ,total,専修学校,Specialized training schools,405,-,…,…,146364,68136,78228,24196,7418,16778
30,2018,0,総数 ,total,各種学校,Miscellaneous schools,156,-,…,…,26605,13223,13382,3442,2062,1380
30,2018,1,国立 ,National,総数,Total,42,-,…,…,88216,56961,31255,…,9202,…
30,2018,1,国立 ,National,幼稚園,Kindergartens,2,-,…,…,355,183,172,34,22,12
30,2018,1,国立 ,National,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),-,-,…,…,-,-,-,-,-,-
30,2018,1,国立 ,National,小学校,Elementary schools,6,-,-,…,3634,1812,1822,220,181,39
30,2018,1,国立 ,National,中学校,Junior high schools,6,-,-,-,2705,1465,1240,291,139,152
30,2018,1,国立 ,National,義務教育学校,Compulsory education schools,-,-,-,…,-,-,-,-,-,-
30,2018,1,国立 ,National,高等学校,Senior high schools,6,-,…,-,3262,1834,1428,410,211,199
30,2018,1,国立 ,National,中等教育学校,Secondary education schools,2,-,…,2,1433,632,801,148,103,45
30,2018,1,国立 ,National,大学,Colleges and universities,14,-,-,-,75320,49923,25397,…,8238,…
30,2018,1,国立 ,National,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-,-
30,2018,1,国立 ,National,高等専門学校,Colleges of technology,1,-,-,-,1028,849,179,…,71,…
30,2018,1,国立 ,National,特別支援学校,Special needs schools,4,-,…,…,435,253,182,280,230,50
30,2018,1,国立 ,National,高等学校通信制,Senior high school correspondence course,-,-,…,…,-,-,-,-,-,-
30,2018,1,国立 ,National,専修学校,Specialized training schools,1,-,…,…,44,10,34,73,7,66
30,2018,1,国立 ,National,各種学校,Miscellaneous schools,-,-,…,…,-,-,-,-,-,-
30,2018,1,公立 ,Public,総数,Total,2339,1,…,…,991491,513650,477841,…,65925,…
30,2018,1,公立 ,Public,幼稚園,Kindergartens,171,-,…,…,12268,6464,5804,1089,840,249
