年度(平成),Fiscal Year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned／校舎 School buildings,設置者保有 Owned／講堂，屋内運動場 Auditoriumsgymnasiums ,設置者保有 Owned／寄宿舎 Dormitories,借用建物 Rented buildings
26,2014,総数,Total,,7123103,7013512,･･･,･･･,109591
27,2015,総数,Total,,7150086,7051188,･･･,･･･,98898
28,2016,総数,Total,,7169574,7067001,･･･,･･･,102573
29,2017,総数,Total,,7243627,7124716,･･･,･･･,118911
30,2018,総数,Total,,7247877,7141454,･･･,･･･,106423
30,2018,幼稚園,Kindergartens,,872002,822814,34933,-,14255
30,2018,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,35043,29658,735,-,4650
30,2018,小学校,Elementary schools,,359108,304755,54353,-,-
30,2018,中学校,Junior high schools,,813347,680544,113985,14325,4493
30,2018,義務教育学校,Compulsory education schools ,,-,-,-,-,-
30,2018,高等学校,Senior high schools,,3161301,2454872,641724,57703,7002
30,2018,特別支援学校,Special needs schools,,13103,7486,782,999,3836
30,2018,専修学校,Specialized training schools,,1636822,1439630,19088,116775,61329
30,2018,各種学校,Miscellaneous schools,,335247,324389,･･･,･･･,10858
30,2018,高等専門学校,Colleges of technology,※,21904,21904,･･･,･･･,-
,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-5  学校施設の面積 (2) 用途別学校建物面積 (平成26～30年度) b 私立 17-5  LAND AREA OF SCHOOL FACILITIES (2) SCHOOL BUILDING AREA BY USE  ( Fiscal Years 2014-2018 ) b PRIVATE,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
平成26年度から30年度までの設置者保有面積は，校舎，講堂・屋内運動場，寄宿舎3項目の合算値。,,,,,,,,,
各種学校及び高等専門学校の設置者保有面積は，校舎，講堂・屋内運動場，寄宿舎3項目の合算値。,,,,,,,,,
The area owned by the installer from 2014 to 2018 is the total value of the School buildings， Auditoriumsgymnasiums Dormitories 3 items.,,,,,,,,,
The area occupied by the installers of  Miscellaneous schools and colleges of technology  is the total value of the School buildings， Auditoriumsgymnasiums， Dormitories 3 items.,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」，※サレジオ工業高等専門学校 Source: Bureau of General Affairs， TMG， ※Salesian Polytechnic　,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,
