年度(平成),Fiscal Year,開館日数 Number of open days,観覧人員 Visitors／総数 Total,観覧人員 Visitors／収蔵映像展 Exhibitions from permanent collection,観覧人員 Visitors／自主企画展 Special exhibitions,観覧人員 Visitors／共催展等 Joint exhibitions,収蔵品数(年度末) Number of collection items (end of fiscal year)／総数 Total,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真作品 Photo works,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真作品 Photo works／海外作品 Overseas works,収蔵品数(年度末) Number of collection items (end of fiscal year)／映像作品資料 Video materials,収蔵品数(年度末) Number of collection items (end of fiscal year)／図書資料 Library books,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真資料 Photo materials
26,2014,152,238844,55073,83170,100601,127228,25882,5565,2359,95640,3347
27,2015,-,38497,-,38497,-,132194,27304,5633,2367,98801,3722
28,2016,164,270066,53047,141799,75220,135581,27907,5634,2376,101573,3725
29,2017,298,384093,108093,164175,111825,139706,28505,5695,2443,105033,3725
30,2018,299,334799,116065,110251,108483,144174,28986,5747,2470,108843,3875
,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,
17-12  東京都立美術館及び博物館 (3) 東京都写真美術館 (平成26～30年度) 17-12 TOKYO METROPOLITAN MUSEUMS (3) TOKYO PHOTOGRAPHIC ART MUSEUM ( Fiscal Years 2014-2018 ),,,,,,,,,,,,
注) 平成26年9月24日から平成28年9月2日まで，改修工事に伴い全面休館したが，休館中も恵比寿映像祭は恵比寿ガーデンプレイス等で開催した。,,,,,,,,,,,,
Note: The museum was closed from Sept. 24， 2014 to Sept. 2， 2016， due to renovations， but the Yebisu International Festival for Art & Alternative Visions was held at Yebisu Garden Place and other locations during this period.,,,,,,,,,,,,
資料： 公益財団法人東京都歴史文化財団 Source: Tokyo Metropolitan Foundation for History and Culture,,,,,,,,,,,,
