年度(平成),Fiscal Year,男女区分 ,male female classification,区分 ,classification,幼稚園 Kindergarten／5歳 5 years old,小学校 Elementary school／6歳 6 years old,小学校 Elementary school／7歳 7 years old,小学校 Elementary school／8歳 8 years old,小学校 Elementary school／9歳 9 years old,小学校 Elementary school／10歳 10 years old,小学校 Elementary school／11歳 11 years old,中学校 Junior high schoo／12歳 12 years old,中学校 Junior high schoo／13歳 13 years old,中学校 Junior high schoo／14歳 14 years old,高等学校 Senior high school／15歳 15 years old,高等学校 Senior high school／16歳 16 years old,高等学校 Senior high school／17歳 17 years old
10,1998,男 ,male,身長 (cm),Height (cm),111.2,117.2,122.8,128.8,133.4,139.7,145.5,153.4,160.4,165.9,169.1,170.6,171.1
15,2003,男 ,male,身長 (cm),Height (cm),111.3,117.3,123.1,128.5,134.4,139.5,145.6,152.7,160.4,165.7,168.7,170.9,170.9
20,2008,男 ,male,身長 (cm),Height (cm),111.1,117,123,128.7,133.8,139.1,146.4,153.6,160.6,166.5,168.4,170,170.6
25,2013,男 ,male,身長 (cm),Height (cm),110.8,117.1,123.2,128.8,133.9,139.9,145.7,152.5,159.9,165.6,169.1,170.5,170.8
30,2018,男 ,male,身長 (cm),Height (cm),110.8,116.7,123,128.3,134.4,139,145.5,153,160.5,166,168.9,170.4,171.1
10,1998,男 ,male,体重 (kg)  ,Weight (kg),19.4,21.9,24.5,28,31.1,35.1,39.6,45.6,50.6,55.8,59.4,60.9,62.9
15,2003,男 ,male,体重 (kg)  ,Weight (kg),19.3,21.9,24.5,28.3,31.6,34.7,39.6,44.8,50.4,55.7,60.4,62.8,63.5
20,2008,男 ,male,体重 (kg)  ,Weight (kg),19.1,21.6,24.3,27.2,30.5,34.1,39.9,45.3,50.6,55.7,59.7,62.1,64.4
25,2013,男 ,male,体重 (kg)  ,Weight (kg),19,21.5,24,27.4,30.6,34.8,38.9,43.9,49.1,54.3,59.1,61.1,62.2
30,2018,男 ,male,体重 (kg)  ,Weight (kg),19.1,21.3,24.6,27.4,30.6,33.9,38.4,43.8,48.9,54.2,57.9,60.8,62
10,1998,男 ,male,座高 (㎝),Sitting height (㎝),62.2,65.3,67.9,70.6,72.7,75.4,78,81.8,85.3,88.2,90.1,91.2,91.6
15,2003,男 ,male,座高 (㎝),Sitting height (㎝),62.5,65,67.8,70.5,73.2,75.1,77.9,81.3,85.2,88.3,90.2,91.3,91.5
20,2008,男 ,male,座高 (㎝),Sitting height (㎝),62.5,65.2,67.9,70.4,72.6,74.8,78.3,81.7,85.2,88.6,90.2,91.1,91.7
25,2013,男 ,male,座高 (㎝),Sitting height (㎝),62.2,65.1,67.9,70.6,72.7,75.3,77.9,81.3,85,88.2,90.8,91.7,92.2
30,2018,男 ,male,座高 (㎝),Sitting height (㎝),…,…,…,…,…,…,…,…,…,…,…,…,…
10,1998,女 ,female,身長 (cm),Height (cm),110.3,116.5,122.2,127.9,133.6,140.2,147.6,152.8,155.5,157.5,157.4,158.1,158.2
15,2003,女 ,female,身長 (cm),Height (cm),110.2,116,122.1,128,133.2,140.8,147.7,152.7,155.7,157,157.7,158,157.9
20,2008,女 ,female,身長 (cm),Height (cm),109.8,116,122,127.3,133.8,140,146.8,152.7,155.7,156.9,157.6,158.4,158.7
25,2013,女 ,female,身長 (cm),Height (cm),109.8,115.9,121.9,127.6,134.3,140.4,147.3,152,155.3,156.7,157.7,158.3,158.6
30,2018,女 ,female,身長 (cm),Height (cm),109.7,115.9,121.9,127.7,133.8,140.4,147.7,152.5,155.5,157.5,157.8,157.7,158.2
10,1998,女 ,female,体重 (kg) ,Weight (kg),19,21.6,24,27,30.4,34.7,39.8,45.1,48.8,50,51.2,52.5,51.9
15,2003,女 ,female,体重 (kg) ,Weight (kg),18.9,21.2,24.1,26.9,30.2,35,39.9,44.8,47.9,50.4,52.1,53.1,53.2
