"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]"
"年度","2020",,
"期間（自）","20200401",,
"期間（至）","20210331",,
"前年度末純資産残高","3539720","3547555","-7835"
"本年度純資産変動額 本年度差額 純行政コスト","-148449",,"-148449"
"本年度純資産変動額 本年度差額 財源","158682",,"158682"
"本年度純資産変動額 本年度差額 財源 税収等","104042",,"104042"
"本年度純資産変動額 本年度差額 財源 国都等補助金","54640",,"54640"
"本年度純資産変動額 本年度差額","10233",,"10233"
"本年度純資産変動額 固定資産等の変動（内部変動）",,"4807","-4807"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,"14521","-14521"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,"-16545","16545"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,"15902","-15902"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,"-9072","9072"
"本年度純資産変動額 資産評価差額","-","-",
"本年度純資産変動額 無償所管換等","17820","17820",
"本年度純資産変動額 その他","-","-","-"
"本年度純資産変動額","28053","22626","5427"
"本年度末純資産残高","3567773","3570182","-2409"

"一般会計財務書類（純資産変動計算書）(令和2年4月1日から令和3年3月31日)","Ver202103",,
