一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
482,昭島市田中町2-16-14,35.702545,139.352905,JGD2011,都道29号立川青梅線(奥多摩街道),a,2012-10-30,2012-11-02,4,2,1.9,1.2,67,63
483,昭島市昭和町3-6-3,35.708111,139.368393,JGD2011,都道162号三ツ木八王子線(諏訪松中通り),a,2012-09-25,2012-09-28,4,2,3.5,1.2,69,66
484,昭島市朝日町4-23-28,35.708935,139.369827,JGD2011,市道昭島17号(江戸街道),c,2012-09-25,2012-09-28,6,2,4.5,1.2,62,57
485,昭島市福島町3-24-20,35.695034,139.374939,JGD2011,都道59号八王子村山線,a,2013-03-12,2012-03-15,4,3,4.6,1.2,70,68
486,昭島市福島町2-25-23,35.696262,139.378708,JGD2011,都道29号立川青梅線(新奥多摩街道),b,2013-03-12,2012-03-15,4,4,3.8,1.2,64,61
487,昭島市緑町5-19-2,35.714973,139.338669,JGD2011,国道16号,b,2012-07-28,2012-07-31,3,4,12,1.2,61,60
488,昭島市緑町4-25-11,35.710136,139.341843,JGD2011,国道16号,b,2012-07-24,2012-07-27,3,5,5.2,1.2,72,72
489,昭島市田中町2-28-31,35.705593,139.349838,JGD2011,国道16号,b,2012-10-30,2012-11-02,3,5,8.5,1.2,71,71
490,昭島市緑町5-15-15,35.715660,139.339539,JGD2011,国道16号,b,2013-02-19,2013-02-22,3,4,11.5,1.2,61,61
491,昭島市松原町5-21-6,35.718502,139.339783,JGD2011,国道16号,c,2013-02-19,2013-02-22,3,4,10.5,1.2,63,61
492,昭島市拝島町4丁目7,35.702877,139.347549,JGD2011,国道16号,B,2012-11-29,2012-11-30,3,4,6.4,1.2,70,69
493,昭島市拝島町2丁目2,35.709324,139.341980,JGD2011,国道16号,B,2012-11-29,2012-11-30,3,5,5.3,1.2,73,72
494,昭島市玉川町5丁目15,35.701534,139.374878,JGD2011,都道中神停車場線,A,2012-11-29,2012-11-30,4,2,2.1,1.2,61,55
495,昭島市中神町2丁目37,35.698757,139.370483,JGD2011,都道立川青梅線,B,2012-11-29,2012-11-30,4,4,3.5,1.2,73,71
496,昭島市東町4丁目8,35.700394,139.389801,JGD2011,都道立川昭島線,A,2012-11-29,2012-11-30,4,2,2.4,1.2,68,64
