一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
418,立川市幸町5-83-1,35.725777,139.418456,JGD2011,都道立川東大和線(芋窪街道),c,2012-10-09,2012-10-10,4,4,2,1.5,70,65
419,立川市泉町786-11,35.719000,139.418720,JGD2011,都道立川東大和線(芋窪街道),a,2012-10-29,2012-10-30,4,4,4,1.5,66,61
420,立川市西砂町6-12-10,35.729572,139.372147,JGD2011,都道杉並あきる野線(五日市街道),a,2012-10-16,2012-10-17,4,2,0,1.5,71,68
421,立川市柴崎町1-17-7,35.692390,139.406006,JGD2011,都道立川青梅線(旧奥多摩街道),a,2012-10-11,2012-10-12,4,2,0,1.5,66,58
422,立川市若葉町4-11-19,35.725261,139.433991,JGD2011,都道立川所沢線(立川通り),b,2012-10-30,2012-10-31,4,2,2,1.5,67,62
423,立川市若葉町3-34-1,35.720204,139.439199,JGD2011,都道杉並あきる野線 (五日市街道),b,2012-11-01,2012-11-02,4,2,0,1.5,70,68
424,立川市高松町2-26-3,35.705067,139.418915,JGD2011,都道立川所沢線(高松大通り),c,2012-10-15,2012-10-16,4,2,2,1.5,69,66
425,立川市錦町5-20-25,35.685375,139.413849,JGD2011,都道256号線(甲州街道),b,2012-10-22,2012-10-23,4,2,4,1.5,69,65
426,立川市錦町5-20-25,35.685375,139.413849,JGD2011,都道立川青梅線(新奥多摩街道),b,2012-10-23,2012-10-24,4,4,2,1.5,72,68
427,立川市一番町1-40,35.725170,139.382370,JGD2011,都道八王子・武蔵村山線(東文化通り),a,2012-10-25,2012-10-26,4,2,2,1.5,68,66
428,立川市若葉町3-34-1,35.720204,139.439199,JGD2011,都道杉並あきる野線,B,2012-12-19,2012-12-20,4,2,2,1.2,69,68
429,立川市幸町2-52-6,35.722382,139.426361,JGD2011,都道杉並あきる野線,B,2012-12-19,2012-12-20,4,2,3,1.2,69,66
430,立川市砂川町5丁目,35.725258,139.407196,JGD2011,都道杉並あきる野線,B,2012-12-19,2012-12-20,4,2,2,1.2,69,67
431,立川市西砂町6-12-10,35.729572,139.372147,JGD2011,都道杉並あきる野線,A,2012-12-20,2012-12-21,4,2,2,1.2,70,68
