一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
123,墨田区東向島3-17-13,35.724815,139.815765,JGD2011,都道王子千住南砂線(明治通り),c,2012-09-10,2012-09-14,4,4,4,1.2,70,68
126,墨田区横網2-3 横網町公園,35.699745,139.796921,JGD2011,都道御徒町小岩線(蔵前橋通り),b,2012-10-01,2012-10-05,4,4,3,1.2,70,66
127,墨田区太平1-17 法恩寺橋児童遊園,35.701801,139.808640,JGD2011,都道御徒町小岩線(蔵前橋通り),c,2012-10-01,2012-10-05,4,4,3,1.2,70,67
128,墨田区菊川3-16-5,35.688911,139.806351,JGD2011,都道環状3号線(三ツ目通り),c,2012-10-15,2012-10-19,4,4,3,1.2,70,68
129,墨田区本所4-1-4,35.702820,139.804916,JGD2011,都道環状3号線(三ツ目通り),c,2012-10-15,2012-10-19,4,4,3,1.2,68,66
130,墨田区吾妻橋2丁目3,35.708782,139.803726,JGD2011,都道本郷亀戸線,C,2012-11-12,2012-11-13,4,4,6,1.2,65,62
131,墨田区立花1丁目10,35.706398,139.826889,JGD2011,都道王子千住南砂町線,C,2012-11-12,2012-11-13,4,4,4,1.2,68,65
132,墨田区業平3丁目4,35.706112,139.813980,JGD2011,都道深川吾嬬線,C,2012-11-12,2012-11-13,4,4,3.3,1.2,69,65
137,江東区住吉2-28-36,35.689022,139.819382,JGD2011,都道放射31号線(新大橋通り),b,2012-09-18,2012-09-19,4,4,4,2,66,64
138,江東区大島3-16-2,35.689594,139.829697,JGD2011,都道放射31号線(新大橋通り),c,2012-11-08,2012-11-09,4,4,3,2,67,61
139,江東区北砂4-13-23,35.676956,139.829224,JGD2011,都道補助111号線(清洲橋通り),c,2012-10-15,2012-10-16,4,4,3,1.5,68,64
140,江東区南砂4-4-1,35.674496,139.830322,JGD2011,都道放射29号線(葛西橋通り),c,2012-06-18,2012-06-19,4,4,3,2.5,72,71
141,江東区永代2-31,35.673653,139.792633,JGD2011,都道放射16号線(永代通り),c,2012-06-13,2012-06-14,4,6,5,1.5,68,67
142,江東区東陽3-27,35.670174,139.815643,JGD2011,都道放射16号線(永代通り),c,2012-07-02,2012-07-03,4,6,6,1.7,69,67
143,江東区豊洲4-11-18,35.653324,139.799072,JGD2011,都道放射34号線(晴海通り),c,2012-08-27,2012-08-28,4,7,6,1.2,68,63
144,江東区平野1-2-3,35.678619,139.798462,JGD2011,都道補助110号線(清澄通り),c,2012-07-23,2012-07-24,4,4,4,1.5,69,66
146,江東区森下4-9-22,35.685215,139.806168,JGD2011,都道環状3号線(三ツ目通り),c,2012-06-11,2012-06-12,4,4,3,2,70,66
147,江東区枝川3-3,35.658913,139.808472,JGD2011,都道環状3号線(三ツ目通り),c,2012-11-01,2012-11-02,4,6,4,1.5,72,70
148,江東区枝川1-8-15,35.657299,139.802383,JGD2011,都道環状3号線(三ツ目通り),c,2013-01-30,2013-01-31,4,6,2.7,1.2,66,62
149,江東区大島3-4-5,35.692406,139.826218,JGD2011,都道補助116号線(明治通り),c,2012-10-17,2012-10-18,4,4,5,1.2,68,68
150,江東区東砂2-12-14,35.683292,139.843781,JGD2011,都道補助144号線(番所橋通り),b,2012-07-05,2012-07-06,4,4,4.5,2.1,68,63
154,江東区永代2丁目30,35.673168,139.792572,JGD2011,都道東京浦安線(永代通り),C,2012-12-04,2012-12-05,4,6,6.3,1.2,68,65
155,江東区新砂3丁目4,35.664612,139.835602,JGD2011,都道東京浦安線(永代通り),C,2012-12-04,2012-12-04,4,4,4.4,1.2,70,68
156,江東区東陽6丁目5,35.675953,139.813400,JGD2011,都道永代葛西橋線(葛西橋通り),C,2012-12-04,2012-12-05,4,4,1.8,1.2,73,71
161,品川区旗の台1-11-17,35.607116,139.702392,JGD2011,都道東京丸子横浜線(中原街道),c,2013-02-12,2013-02-15,4,4,4.3,1.2,68,66
162,品川区東品川1-2-5,35.622890,139.744667,JGD2011,都道日本橋芝浦大森線(海岸通り),c,2013-02-12,2013-02-15,4,6,3.0,1.2,70,68
