一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
366,葛飾区白鳥4丁目5,35.751743,139.849228,JGD2011,国道6号(水戸街道),C,2012-11-27,2012-11-28,3,4,5.3,1.2,71,71
377,八王子市片倉町2475,35.638874,139.337418,JGD2011,国道16号(東京環状),b,2012-12-10,2012-12-11,3,2,1.8,1.2,70,71
378,八王子市中野山王1-8-2,35.671291,139.331528,JGD2011,国道16号(東京環状),c,2012-12-10,2012-12-11,3,2,2.6,1.2,67,65
379,八王子市北野町549-5,35.646137,139.353210,JGD2011,国道16号八王子バイパス,c,2012-12-10,2012-12-11,3,6,8.3,1.2,69,69
380,八王子市大谷町355-1,35.677241,139.354245,JGD2011,国道16号八王子バイパス,b,2012-12-10,2012-12-11,3,6,0,1.2,71,71
381,八王子市明神町4-21-1,35.660000,139.345459,JGD2011,国道20号(甲州街道),c,2012-12-10,2012-12-11,3,4,3.7,1.2,69,66
382,八王子市八日町6-2,35.660316,139.329941,JGD2011,国道20号(甲州街道),c,2012-12-10,2012-12-11,3,4,5,1.2,68,66
383,八王子市並木町15-15,35.651310,139.300201,JGD2011,国道20号(甲州街道),b,2012-12-12,2012-12-13,3,4,4.4,1.2,69,66
384,八王子市加住町1-170-2,35.700542,139.316833,JGD2011,国道411号(滝山街道),a,2012-12-10,2012-12-11,3,2,1.5,1.2,71,68
401,八王子市北野町562付近,35.647545,139.352676,JGD2011,国道16号,C,2012-12-10,2012-12-11,3,4,4.8,1.2,74,74
402,八王子市鑓水1406付近,35.613468,139.342499,JGD2011,国道16号,B,2012-12-10,2012-12-11,3,2,7.7,1.2,66,65
403,八王子市大横町8付近,35.665413,139.329575,JGD2011,国道16号,C,2012-12-05,2012-12-06,3,4,4.6,1.2,70,66
404,八王子市鑓水1356付近,35.618423,139.346283,JGD2011,国道16号,A,2012-12-10,2012-12-11,3,4,6.8,1.2,69,69
405,八王子市高倉町36付近,35.665897,139.370651,JGD2011,国道20号,C,2012-12-10,2012-12-11,3,4,4.4,1.2,69,66
406,八王子市明神町1-25付近,35.659435,139.346283,JGD2011,国道20号,C,2012-12-05,2012-12-06,3,4,4.5,1.2,68,65
407,八王子市高尾町2539付近,35.628479,139.265259,JGD2011,国道20号,A,2012-12-05,2012-12-06,3,2,3.4,1.2,67,63
408,八王子市丹木町2-204付近,35.695923,139.327133,JGD2011,国道411号,A,2012-12-05,2012-12-06,3,2,1.3,1.2,71,68
454,青梅市日向和田3-706,35.786888,139.230652,JGD2011,国道411号(青梅街道),a,2012-09-24,2012-09-27,3,2,2,1.6,68,63
456,青梅市友田町1-817付近,35.766273,139.290848,JGD2011,国道411号,A,2012-11-07,2012-11-08,3,2,2.1,1.2,73,69
466,府中市美好町2-4,35.672638,139.466782,JGD2011,国道20号線(甲州街道),c,2013-02-18,2013-02-19,3,4,3,1.5,73,69
476,府中市白糸台1-37-5,35.669884,139.506317,JGD2011,国道20号,B,2012-12-06,2012-12-07,3,4,2.5,1.2,68,66
477,府中市美好町2-8-20,35.672425,139.465573,JGD2011,国道20号,C,2012-12-06,2012-12-07,3,4,2.4,1.2,69,67
487,昭島市緑町5-19-2,35.714973,139.338669,JGD2011,国道16号,b,2012-07-28,2012-07-31,3,4,12,1.2,61,60
488,昭島市緑町4-25-11,35.710136,139.341843,JGD2011,国道16号,b,2012-07-24,2012-07-27,3,5,5.2,1.2,72,72
489,昭島市田中町2-28-31,35.705593,139.349838,JGD2011,国道16号,b,2012-10-30,2012-11-02,3,5,8.5,1.2,71,71
490,昭島市緑町5-15-15,35.715660,139.339539,JGD2011,国道16号,b,2013-02-19,2013-02-22,3,4,11.5,1.2,61,61
491,昭島市松原町5-21-6,35.718502,139.339783,JGD2011,国道16号,c,2013-02-19,2013-02-22,3,4,10.5,1.2,63,61
