一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
42,港区白金台1-2,35.636738,139.730743,JGD2011,国道1号(桜田通り),c,2013-01-31,2013-02-01,3,8,3.2,1.2,66,63
43,港区東麻布3-7,35.656284,139.738449,JGD2011,都道環状3号線(外苑東通り),c,2013-01-28,2013-01-29,4,4,5.9,1.2,72,71
44,港区白金台5-10,35.641472,139.719849,JGD2011,都道北品川四谷線(外苑通り),c,2013-01-31,2013-02-01,4,4,4,1.2,74,72
45,港区南麻布5-1,35.654465,139.722473,JGD2011,都道418号線(外苑西通り),b,2013-01-28,2013-01-29,4,6,3,1.2,65,63
46,港区港南3-9,35.632515,139.751373,JGD2011,都道316号線(海岸通り),c,2013-01-31,2013-02-01,4,6,3.6,1.2,70,69
47,港区高輪2-13,35.634586,139.737762,JGD2011,国道15号(第一京浜),c,2013-01-31,2013-02-01,3,8,3.2,1.2,69,67
48,港区北青山3-3,35.668293,139.714828,JGD2011,国道246号(青山通り),c,2013-01-28,2013-01-29,3,8,6,1.2,71,71
49,港区西麻布3-20,35.660187,139.725876,JGD2011,都道412号線(六本木通り),c,2013-01-28,2013-01-29,4,8,3.1,1.2,69,67
50,港区虎ノ門3丁目4,35.666035,139.746826,JGD2011,国道1号,C,2013-01-28,2013-01-29,3,4,4.6,1.2,70,67
51,港区高輪2丁目13,35.634586,139.737762,JGD2011,国道15号,C,2013-01-28,2013-01-29,3,7,4.9,1.2,69,67
52,港区北青山1丁目1,35.673969,139.722565,JGD2011,都道環状3号線,A,2013-01-28,2013-01-29,4,6,4.5,1.2,65,63
53,港区南青山4丁目28,35.663540,139.718872,JGD2011,都道赤坂杉並線,B,2013-01-28,2013-01-29,4,2,3.3,1.2,67,67
54,港区三田4丁目9,35.641411,139.737885,JGD2011,都道高輪麻布線,C,2013-01-31,2013-02-01,4,4,3.3,1.2,70,66
55,港区港南4丁目3,35.629349,139.749710,JGD2011,都道品川埠頭線,B,2013-01-31,2013-02-01,4,8,6.4,1.2,65,59
56,港区西新橋3丁目25,35.662537,139.750290,JGD2011,区道1018号,C,2013-02-19,2013-02-19,5,4,3.5,1.2,68,66
57,港区芝浦1丁目12,35.646950,139.754028,JGD2011,区道1026号,C,2013-01-31,2013-02-01,5,4,3.6,1.2,65,60
58,港区台場2丁目6,35.625099,139.771500,JGD2011,国道357号,C,2013-01-31,2013-02-01,3,4,5.5,1.2,67,66
