一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
492,昭島市拝島町4丁目7,35.702877,139.347549,JGD2011,国道16号,B,2012-11-29,2012-11-30,3,4,6.4,1.2,70,69
493,昭島市拝島町2丁目2,35.709324,139.341980,JGD2011,国道16号,B,2012-11-29,2012-11-30,3,5,5.3,1.2,73,72
497,調布市仙川町2-5,35.661297,139.580093,JGD2011,国道20号(甲州街道),c,2013-02-01,2013-02-07,3,5,4.1,1.2,72,70
501,調布市西つつじヶ丘3-19-1,35.657822,139.571388,JGD2011,国道20号(甲州街道),b,2013-02-05,2013-02-06,3,4,8.8,3.5,69,65
503,調布市調布ヶ丘1-24,35.654896,139.546432,JGD2011,国道20号,C,2012-12-18,2012-12-19,3,4,3.1,1.2,69,67
511,町田市相原町316,35.607899,139.344955,JGD2011,国道16号,B,2012-12-05,2012-12-06,3,2,3.2,1.2,69,68
533,日野市多摩平4-3-1,35.667109,139.378379,JGD2011,国道20号 (日野バイパス),a,2013-01-07,2013-01-11,3,4,3,1.3,66,63
534,日野市多摩平7-23-23,35.669273,139.389725,JGD2011,国道20号 (日野バイパス),a,2013-01-11,2013-01-18,3,4,2,1.3,66,63
535,日野市万願寺6-35-13,35.669601,139.410080,JGD2011,国道20号 (日野バイパス),b,2013-01-18,2013-01-25,3,4,3,1.3,66,64
540,日野市万願寺6丁目36,35.669605,139.411499,JGD2011,国道20号,B,2012-11-15,2012-11-16,3,4,4.0,1.2,67,62
541,日野市多摩平7丁目11,35.668419,139.387497,JGD2011,国道20号,A,2012-11-15,2012-11-16,3,4,3.9,1.2,66,61
557,国立市谷保1253,35.675354,139.439987,JGD2011,国道20号,c,2012-11-13,2012-11-14,3,5,3.6,1.2,67,64
558,国立市谷保1253,35.675354,139.439987,JGD2011,国道20号,C,2012-11-13,2012-11-14,3,5,3.6,1.2,67,64
564,福生市福生2300-4,35.740550,139.337811,JGD2011,国道16号,c,2013-03-21,2013-03-22,3,4,3,1.5,73,74
567,福生市熊川1148-3,35.730469,139.341995,JGD2011,国道16号,C,2012-06-04,2012-06-05,3,4,3.7,1.2,72,72
568,福生市福生2034-3,35.746702,139.337031,JGD2011,国道16号,C,2012-06-04,2012-06-05,3,4,5.4,1.2,73,72
628,あきる野市菅生725,35.747017,139.289734,JGD2011,国道411号(滝山街道),b,2012-10-15,2012-10-16,3,2,2,1.2,70,66
651,瑞穂町むさし野3-11-3,35.756568,139.342018,JGD2011,国道16号,B,2012-10-22,2012-10-23,3,4,3.5,1.2,73,73
652,瑞穂町駒形富士山401,35.784142,139.355057,JGD2011,国道16号,B,2012-10-22,2012-10-23,3,4,2.7,1.2,68,65
656,奥多摩町氷川1377,35.805815,139.094891,JGD2011,国道411号,B,2012-10-24,2012-10-25,3,2,1.8,1.2,63,56
657,奥多摩町河内378,35.781754,139.021033,JGD2011,国道411号,B,2012-10-24,2012-10-25,3,2,1,1.2,63,58
