一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
618,稲城市東長沼1362,35.643494,139.506638,JGD2011,都道川崎府中線(川崎街道),b,2012-08-16,2012-08-17,4,4,6,1.2,64,62
619,稲城市大丸1173,35.649818,139.481720,JGD2011,都道稲城日野線(川崎街道),c,2012-08-16,2012-08-17,4,4,6,1.2,69,66
620,稲城市坂浜2824,35.627380,139.485031,JGD2011,都道町田調布線,A,2012-12-18,2012-12-19,4,2,1.3,1.2,70,66
621,稲城市東長沼1715,35.640297,139.508987,JGD2011,都道町田調布線,A,2012-12-18,2012-12-19,4,2,0.8,1.2,64,59
622,羽村市羽加美4-2-9,35.765480,139.300278,JGD2011,都道立川青梅線(奥多摩街道),a,2012-05-19,2012-05-20,4,2,1.5,1.2,70,64
623,羽村市羽加美1-29-5,35.768400,139.307700,JGD2011,都道立川青梅線(新奥多摩街道),b,2012-05-19,2012-05-20,4,2,3.5,1.2,65,60
624,羽村市羽加美4-2-9,35.765480,139.300278,JGD2011,都道立川青梅線(奥多摩街道),a,2012-11-08,2012-11-09,4,2,1.5,1.2,69,64
625,羽村市羽加美1-29-5,35.768400,139.307700,JGD2011,都道立川青梅線(新奥多摩街道),b,2012-11-08,2012-11-09,4,2,3.5,1.2,65,60
626,羽村市羽東2丁目1-10,35.760971,139.309937,JGD2011,都道立川青梅線,A,2012-12-20,2012-12-21,4,2,3.5,1.2,67,64
627,あきる野市小川638,35.721107,139.317123,JGD2011,都道166号線(瑞穂あきる野八王子線),a,2012-10-15,2012-10-16,4,2,1,1.2,68,63
629,あきる野市舘谷230,35.731209,139.230316,JGD2011,都道杉並あきる野線(五日市街道),c,2012-10-15,2012-10-16,4,4,3,1.2,65,57
630,あきる野市小川836,35.720715,139.319839,JGD2011,都道杉並あきる野線(睦橋通り),b,2012-10-15,2012-10-16,4,4,3,1.2,66,61
631,あきる野市留原,35.723358,139.230881,JGD2011,都道八王子五日市線,A,2012-11-27,2012-11-28,4,2,1.6,1.2,62,51
632,あきる野市小川728,35.722214,139.318878,JGD2011,都道瑞穂あきる野八王子線,A,2012-11-27,2012-11-28,4,2,1.5,1.2,70,67
633,あきる野市渕上243,35.723473,139.275452,JGD2011,都道淵上日野線,A,2012-11-27,2012-11-28,4,2,2.6,1.2,60,54
634,西東京市住吉町6-1-5,35.743546,139.550903,JGD2011,都道保谷志木線,a,2012-10-29,2012-11-01,4,2,1.2,1.2,69,66
635,西東京市泉町3-12-35,35.741112,139.557114,JGD2011,都道東大泉田無線,a,2012-10-29,2012-11-01,4,2,2.8,1.2,68,65
636,西東京市谷戸町1-17-2,35.741058,139.543610,JGD2011,都道ひばりヶ丘停車場線,a,2012-10-29,2012-11-01,4,2,4.2,1.2,66,62
637,西東京市柳沢2-18-46,35.725296,139.553818,JGD2011,都道東京所沢線(青梅街道),c,2012-10-22,2012-10-26,4,6,3.0,1.2,68,66
639,西東京市下保谷2-9,35.751015,139.558899,JGD2011,都道飯田橋石神井新座線,a,2012-10-29,2012-11-01,4,2,3.4,1.2,61,56
640,西東京市保谷町1-19-11,35.732121,139.554703,JGD2011,都道杉並田無線(新青梅街道),b,2012-10-29,2012-11-01,4,2,2.7,1.2,67,65
641,西東京市向台町2-5,35.720837,139.542542,JGD2011,都道調布田無線(武蔵境通り),b,2012-10-22,2012-10-26,4,2,4.4,1.2,66,62
642,西東京市田無町7-18-8,35.732952,139.532471,JGD2011,都道新宿青梅線(新青梅街道),b,2012-10-22,2012-10-26,4,4,3.1,1.2,73,70
643,西東京市緑町1-3-6,35.733753,139.538284,JGD2011,都道東京所沢線(所沢街道),a,2012-10-22,2012-10-26,4,2,1.8,1.2,67,66
644,西東京市芝久保町3-19-54,35.730320,139.518951,JGD2011,都道新宿青梅線(青梅街道),b,2012-10-22,2012-10-26,4,2,1.4,1.2,68,65
645,西東京市富士町3-7-4,35.733498,139.567444,JGD2011,都道千代田練馬田無線(富士街道),a,2012-10-29,2012-11-01,4,2,2.8,1.2,64,62
646,西東京市芝久保町3-8-5,35.727453,139.522846,JGD2011,都道小川山田無線,a,2012-10-22,2012-10-26,4,2,2.1,1.2,64,60
647,西東京市東町1-4,35.744274,139.561554,JGD2011,都道前沢保谷線,a,2012-10-29,2012-11-01,4,2,6.5,1.2,63,59
648,西東京市緑町1丁目5,35.735073,139.537689,JGD2011,都道東京所沢線(所沢街道),A,2012-11-27,2012-11-28,4,2,2.5,1.2,69,67
649,西東京市西原町4丁目1,35.735031,139.527542,JGD2011,都道新宿青梅線(新青梅街道),B,2012-11-27,2012-11-28,4,4,2.6,1.2,73,70
650,西東京市保谷町5丁目4,35.734043,139.549545,JGD2011,都道東大泉田無線,A,2012-11-27,2012-11-28,4,2,2.3,1.2,66,64
653,瑞穂町南平2-6-5,35.766777,139.336166,JGD2011,都道羽村瑞穂線,A,2012-10-22,2012-10-23,4,2,3.6,1.2,65,61
654,瑞穂町駒形富士山576,35.788399,139.353943,JGD2011,都道狭山下宮寺線,B,2012-10-22,2012-10-23,4,2,1.5,1.2,66,61
655,日の出町大久野2433,35.749889,139.231094,JGD2011,都道奥多摩あきる野線,A,2012-10-22,2012-10-23,4,2,2.6,1.2,64,53
658,奥多摩町氷川695,35.805549,139.100359,JGD2011,都道奥多摩あきる野線,B,2012-10-24,2012-10-25,4,2,1.6,1.2,57,49
