一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
163,品川区上大崎3-14-23,35.630382,139.720228,JGD2011,都道北品川四谷線,b,2013-02-12,2013-02-15,4,7,5.9,1.2,69,66
164,品川区小山4-5-4,35.617992,139.704890,JGD2011,都道鮫洲大山線(26号線通り),c,2013-02-12,2013-02-15,4,2,3.1,1.2,65,63
168,品川区北品川3丁目9-27,35.617096,139.738852,JGD2011,都道環状6号線,C,2013-02-19,2013-02-20,4,4,3.6,1.2,70,68
169,品川区西五反田7丁目6-1,35.624197,139.719653,JGD2011,都道環状6号線,C,2013-02-19,2013-02-20,4,4,5.0,1.2,68,64
170,品川区大井4丁目17-16,35.601664,139.731440,JGD2011,都道東品川下丸子線,C,2013-02-19,2013-02-20,4,2,3.0,1.2,66,65
171,目黒区碑文谷4-16-18,35.621521,139.682281,JGD2011,都道白金台町等々力線(目黒通り),b,2012-11-27,2012-12-06,4,5,4.3,1.2,67,65
172,目黒区八雲2-9-12,35.615448,139.669601,JGD2011,都道白金台町等々力線(目黒通り),b,2012-11-27,2012-12-06,4,5,4.3,1.2,71,68
173,目黒区目黒2-9-3,35.633469,139.709595,JGD2011,都道白金台町等々力線(目黒通り),c,2012-11-27,2012-12-06,4,5,3.5,1.2,74,73
174,目黒区中目黒4-1-2,35.638931,139.703644,JGD2011,都道環状6号線(山手通り),c,2012-11-27,2012-12-06,4,4,6.7,1.2,67,64
175,目黒区南2-9-7,35.614174,139.685974,JGD2011,都道環状7号線(環七通り),b,2012-11-27,2012-12-06,4,4,7.8,1.2,67,64
176,目黒区八雲5-14,35.621277,139.667801,JGD2011,都道上馬奥沢線(自由通り),a,2012-11-27,2012-12-06,4,2,2.4,1.2,66,64
178,目黒区八雲3丁目25-8,35.613941,139.664948,JGD2011,都道白金台町等々力線,B,2013-02-14,2013-02-15,4,5,4.7,1.2,71,68
179,目黒区青葉台4丁目1-11,35.655991,139.690704,JGD2011,都道環状6号線,B,2013-02-14,2013-02-15,4,4,6,1.2,69,67
180,目黒区柿の木坂2丁目4-3,35.625031,139.678329,JGD2011,都道環状7号線,B,2013-02-14,2013-02-15,4,6,3.9,1.2,72,70
181,目黒区上目黒1丁目3-9,35.644508,139.701218,JGD2011,都道環状6号線,C,2013-02-14,2013-02-15,4,4,6.3,1.2,70,68
182,目黒区大橋2丁目18-1,35.655499,139.685806,JGD2011,都道渋谷経堂線,B,2013-02-14,2013-02-15,4,2,3.9,1.2,66,66
183,大田区西嶺町13,35.581436,139.681732,JGD2011,都道環状8号線(環八通り),b,2013-01-28,2013-01-31,4,6,3.1,3.1,70,67
184,大田区羽田4-1,35.551327,139.746017,JGD2011,都道環状8号線(環八通り),c,2013-01-28,2013-01-31,4,6,4.5,2.5,67,64
185,大田区南千束1-12,35.602612,139.695297,JGD2011,都道東京丸子横浜線(中原街道),c,2013-01-28,2013-01-31,4,5,4.4,2.7,71,68
186,大田区田園調布本町41,35.586536,139.673248,JGD2011,都道東京丸子横浜線(中原街道),c,2013-02-04,2013-02-07,4,4,4.2,2.5,69,67
190,大田区南馬込2丁目31,35.588638,139.718979,JGD2011,都道環状7号線,B,2013-01-23,2013-01-24,4,4,3.5,2.4,72,72
191,大田区新蒲田1丁目14,35.559662,139.709015,JGD2011,都道環状8号線,C,2013-01-21,2013-01-22,4,4,4.8,2.5,69,66
192,大田区南千束3丁目32,35.599949,139.687881,JGD2011,都道東京丸子横浜線,B,2013-01-23,2013-01-24,4,4,4.2,2.5,72,72
194,大田区田園調布本町41,35.586536,139.673248,JGD2011,都道東京丸子横浜線,C,2013-01-21,2013-01-22,4,4,4.2,2.5,67,66
195,大田区下丸子2丁目11,35.565666,139.684326,JGD2011,都道大田神奈川線,C,2013-01-21,2013-01-22,4,2,3.0,2.2,67,65
196,大田区羽田1丁目15,35.550411,139.741074,JGD2011,都道東京大師横浜線,C,2013-01-17,2013-01-18,4,6,5.0,2,71,70
