一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
312,足立区新田2-4,35.773075,139.740738,JGD2011,都道318号線(環七通り),c,2012-11-19,2012-11-20,4,4,3,1.5,69,67
313,足立区大谷田4-1,35.777340,139.837265,JGD2011,都道318号線(環七通り),c,2012-11-27,2012-11-28,4,4,4,1.5,68,66
314,足立区千住河原町10,35.743710,139.797867,JGD2011,国道4号(日光街道),c,2012-11-13,2012-11-14,3,7,4,1.5,68,66
315,足立区中央本町1-5-3,35.771118,139.803574,JGD2011,国道4号(日光街道),c,2012-11-27,2012-11-28,3,4,4,1.5,67,65
316,足立区西保木間1-15,35.796452,139.801788,JGD2011,国道4号(日光街道),c,2012-11-15,2012-11-16,3,4,4.8,1.5,72,71
317,足立区西新井本町2-3-1,35.777260,139.775710,JGD2011,都道307号王子金町江戸川線,c,2012-11-15,2012-11-16,4,2,1,1.5,66,62
318,足立区本木南町2,35.760323,139.781052,JGD2011,都道450号新荒川葛西堤防線,c,2012-11-07,2012-11-08,4,4,7.1,1.5,67,65
319,足立区綾瀬3-12-15,35.764210,139.828583,JGD2011,都道314号言問大谷田線,b,2012-11-29,2012-11-30,4,2,6,1.5,66,63
320,足立区綾瀬1-11,35.756969,139.821121,JGD2011,都道308号千住小松川葛西沖線,b,2012-11-29,2012-11-30,4,2,3,1.5,64,63
321,足立区中央本町1丁目17,35.775124,139.805023,JGD2011,国道4号(日光街道),C,2012-10-16,2012-10-17,3,6,4.5,1.2,71,69
322,足立区谷中2丁目23,35.776302,139.835541,JGD2011,都道307号王子金町江戸川線(環七通り),C,2012-10-16,2012-10-17,4,4,5,1.2,66,63
323,足立区綾瀬4丁目21,35.766140,139.821793,JGD2011,首都高速6号三郷線,B,2012-10-16,2012-10-17,2,4,8.8,1.2,68,67
324,足立区鹿浜2丁目14,35.781342,139.745728,JGD2011,首都高速川口線,B,2012-10-16,2012-10-17,2,4,12,1.2,70,66
325,足立区扇2丁目27,35.766590,139.770355,JGD2011,都道58号台東鳩ヶ谷線,C,2012-10-16,2012-10-17,4,4,7.9,1.2,66,62
326,足立区入谷1丁目16,35.805164,139.767410,JGD2011,都道104号川口草加線,B,2012-10-16,2012-10-17,4,2,3.3,1.2,60,55
327,足立区青井4丁目37,35.774300,139.822098,JGD2011,都道102号平方東京線,A,2012-10-16,2012-10-17,4,2,1.5,1.2,64,60
