一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
241,杉並区下高井戸3-3,35.670132,139.631882,JGD2011,国道20号(甲州街道),c,2012-09-11,2012-09-14,3,8,4.9,1.3,70,68
272,北区岩淵町26-6,35.785576,139.721802,JGD2011,国道122号(北本通り),c,2012-11-27,2012-11-30,3,5,4,1.2,69,67
273,北区志茂3-46-8,35.775665,139.734360,JGD2011,国道122号(北本通り),c,2012-11-27,2012-11-30,3,7,3,1.2,71,68
274,北区王子5-29,35.766922,139.735992,JGD2011,国道122号(北本通り),c,2012-11-27,2012-11-30,3,6,3.2,1.2,69,66
276,北区滝野川1-90-8,35.746017,139.730728,JGD2011,国道122号(明治通り),c,2012-10-29,2012-11-01,3,4,4,1.2,72,70
281,荒川区南千住1-59,35.734081,139.793381,JGD2011,国道4号(日光街道),c,2012-05-07,2012-05-11,3,4,4.1,1.4,73,71
290,板橋区板橋2-67-7,35.751736,139.709290,JGD2011,国道17号(中山道),c,2012-07-09,2012-07-12,3,7,4,1.2,68,65
294,板橋区南常盤台2-8-9,35.756570,139.686306,JGD2011,国道254号(川越街道),c,2012-09-10,2012-09-13,3,4,4,1.2,69,68
296,板橋区大山町13-1,35.747094,139.700047,JGD2011,国道254号(川越街道),c,2012-09-24,2012-09-25,3,4,4,1.2,72,71
297,板橋区本町41-3,35.757792,139.707237,JGD2011,国道17号(中山道),c,2012-09-04,2012-09-05,3,6,4,1.2,76,73
299,板橋区大原町6-5,35.770150,139.700783,JGD2011,国道17号(中山道),c,2012-09-18,2012-09-19,3,4,4,1.2,72,71
300,板橋区東坂下2-20-9,35.787846,139.685287,JGD2011,国道17号(中山道),c,2012-10-15,2012-10-16,3,4,4,1.2,71,69
304,板橋区高島平6-1-1,35.792306,139.646469,JGD2011,国道17号(新大宮バイパス),c,2012-11-19,2012-11-20,3,9,4,1.2,72,70
305,板橋区赤塚7-25,35.779480,139.649689,JGD2011,国道17号(新大宮バイパス),b,2012-11-29,2012-11-30,3,2,4,1.2,66,64
306,板橋区赤塚新町3-3-9,35.770729,139.641541,JGD2011,国道254号(川越街道),c,2012-11-07,2012-11-08,3,4,4,1.2,72,71
314,足立区千住河原町10,35.743710,139.797867,JGD2011,国道4号(日光街道),c,2012-11-13,2012-11-14,3,7,4,1.5,68,66
315,足立区中央本町1-5-3,35.771118,139.803574,JGD2011,国道4号(日光街道),c,2012-11-27,2012-11-28,3,4,4,1.5,67,65
316,足立区西保木間1-15,35.796452,139.801788,JGD2011,国道4号(日光街道),c,2012-11-15,2012-11-16,3,4,4.8,1.5,72,71
321,足立区中央本町1丁目17,35.775124,139.805023,JGD2011,国道4号(日光街道),C,2012-10-16,2012-10-17,3,6,4.5,1.2,71,69
334,葛飾区金町5-24,35.765957,139.868622,JGD2011,国道6号(水戸街道),c,2012-07-03,2012-07-10,3,8,3.8,1.2,67,65
335,葛飾区四つ木5-15,35.742584,139.841217,JGD2011,国道6号(水戸街道),c,2012-07-24,2012-07-31,3,4,4.7,1.2,68,67
352,葛飾区東金町8-10,35.779598,139.885056,JGD2011,国道298号,c,2012-07-03,2012-07-10,3,6,4.7,1.2,62,56
353,葛飾区東金町8-16,35.779942,139.886841,JGD2011,国道298号,a,2012-07-03,2012-07-10,3,6,5.3,1.2,56,52
354,葛飾区東金町8-33,35.782219,139.884689,JGD2011,国道298号,a,2012-07-03,2012-07-10,3,6,5.8,1.2,62,58
355,葛飾区金町3-19,35.767693,139.872955,JGD2011,国道6号,c,2012-07-03,2012-07-10,3,8,4.6,1.8,70,68
356,葛飾区金町3-19,35.767693,139.872955,JGD2011,国道6号,c,2012-07-03,2012-07-10,3,8,4.6,11.8,70,68
357,葛飾区金町3-19,35.767693,139.872955,JGD2011,国道6号,c,2012-07-03,2012-07-10,3,8,4.6,17.3,74,73
