一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
16,千代田区神田岩本町15,35.696655,139.775024,JGD2011,首都高速1号上野線,c,2012-10-02,2012-10-04,2,4,11.0,13.6,71,69
18,千代田区九段南1丁目3,35.694386,139.752792,JGD2011,首都高速5号池袋線,C,2012-11-27,2012-11-28,2,4,6,1.2,66,65
133,墨田区本所1丁目1,35.702091,139.795654,JGD2011,首都高速6号向島線,C,2012-11-12,2012-11-13,2,4,11,1.2,69,67
134,墨田区向島2丁目1,35.713566,139.805069,JGD2011,首都高速6号向島線,C,2012-11-12,2012-11-13,2,4,5.5,1.2,66,62
135,墨田区堤通1丁目14,35.725262,139.810791,JGD2011,首都高速6号向島線,C,2012-11-12,2012-11-13,2,4,0.5,1.2,64,63
151,江東区枝川2-1,35.659821,139.805649,JGD2011,首都高速9号深川線,c,2012-11-28,2012-11-29,2,4,28,27,72,70
265,豊島区南池袋4-18-9,35.724720,139.720322,JGD2011,首都高速5号池袋線,c,2012-12-18,2012-12-21,2,4,3.5,16.5,72,72
323,足立区綾瀬4丁目21,35.766140,139.821793,JGD2011,首都高速6号三郷線,B,2012-10-16,2012-10-17,2,4,8.8,1.2,68,67
324,足立区鹿浜2丁目14,35.781342,139.745728,JGD2011,首都高速川口線,B,2012-10-16,2012-10-17,2,4,12,1.2,70,66
345,葛飾区小菅1-2,35.752621,139.818939,JGD2011,首都高速道路中央環状線,c,2012-08-01,2012-08-08,2,4,23.2,13.6,63,62
346,葛飾区小菅1-36,35.758541,139.819077,JGD2011,首都高速道路三郷線,b,2012-08-01,2012-08-08,2,4,52,1.2,60,59
349,葛飾区堀切2-4,35.742863,139.825012,JGD2011,首都高速道路中央環状線,b,2012-08-01,2012-08-08,2,4,17.2,19.7,64,63
