一連番号,測定地点住所,緯度,経度,座標系,道路名,環境基準類型,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離,地上からの高さ,昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
340,葛飾区東立石2-1,35.733753,139.843430,JGD2011,都道千住小松川葛西沖線(平和橋通り),c,2012-07-24,2012-07-31,4,3,4,1.2,66,62
341,葛飾区奥戸2-37,35.734699,139.861832,JGD2011,都道市川四つ木線(奥戸街道),c,2012-07-24,2012-07-31,4,2,3.2,1.8,64,61
342,葛飾区新小岩1-53,35.714451,139.861130,JGD2011,都道千住小松川葛西沖線(平和橋通り),c,2012-07-24,2012-07-31,4,3,3.7,1.2,67,63
343,葛飾区東新小岩3-12,35.722919,139.861862,JGD2011,都道御徒町小岩線(蔵前橋通り),c,2012-07-25,2012-08-01,4,4,4.6,1.4,67,63
344,葛飾区小菅1-35,35.756767,139.818176,JGD2011,都道千住小松川葛西沖線,b,2012-08-01,2012-08-08,4,4,4.6,1.8,68,66
347,葛飾区堀切2-4,35.742863,139.825012,JGD2011,都道新荒川葛西堤防線,b,2012-08-01,2012-08-08,4,2,13,1.2,67,64
348,葛飾区堀切2-4,35.742863,139.825012,JGD2011,都道新荒川葛西堤防線,b,2012-08-01,2012-08-08,4,2,17.2,7.5,66,64
350,葛飾区東四つ木1-3,35.725761,139.841141,JGD2011,都道新荒川葛西堤防線,c,2012-07-24,2012-07-31,4,3,10,1.2,65,62
351,葛飾区東四つ木1-3,35.725761,139.841141,JGD2011,都道新荒川葛西堤防線,c,2012-07-24,2012-07-31,4,3,25.5,9.4,61,59
358,葛飾区東金町7丁目31,35.778564,139.884460,JGD2011,都道 松戸草加線,A,2012-11-27,2012-11-28,4,4,4.4,1.2,63,58
359,葛飾区水元5丁目14,35.790455,139.861740,JGD2011,都道 王子金町江戸川線,B,2012-11-27,2012-11-28,4,2,0.5,1.2,67,63
360,葛飾区東新小岩5丁目14,35.722816,139.854050,JGD2011,都道 千住小松川葛西沖線,C,2012-11-27,2012-11-28,4,2,3.4,1.2,69,64
361,葛飾区亀有2丁目75,35.761169,139.853012,JGD2011,都道 環状七号線(環七通り),C,2012-11-27,2012-11-28,4,4,4.1,1.2,73,71
362,葛飾区小菅1丁目33,35.756416,139.814575,JGD2011,都道 千住小松川葛西沖線,B,2012-11-27,2012-11-28,4,4,3.0,1.2,72,68
363,葛飾区堀切7丁目32,35.755867,139.828140,JGD2011,都道 千住小松川葛西沖線,C,2012-11-27,2012-11-28,4,4,3.4,1.2,70,66
364,葛飾区堀切8丁目26,35.757244,139.829163,JGD2011,都道 言問大谷田線,A,2012-11-27,2012-11-28,4,4,4.0,1.2,69,65
365,葛飾区立石2丁目3,35.736767,139.840363,JGD2011,都道 市川四つ木線(奥戸街道),C,2012-11-27,2012-11-28,4,2,3.2,1.2,69,66
367,江戸川区南小岩8-20,35.732651,139.885925,JGD2011,都道王子金町江戸川線,c,2012-12-04,2012-12-05,4,2,2.4,1.2,64,59
368,江戸川区南小岩3-27,35.726662,139.888016,JGD2011,都道王子金町江戸川線,c,2012-12-04,2012-12-05,4,2,1.3,1.2,67,64
369,江戸川区大杉5-33,35.710335,139.879303,JGD2011,都道環状7号線,c,2012-12-04,2012-12-05,4,6,4.4,1.2,76,74
370,江戸川区一之江3-20,35.691460,139.882980,JGD2011,都道環状7号線,c,2012-12-04,2012-12-05,4,6,3.5,1.2,68,65
371,江戸川区南葛西3-23,35.650539,139.871368,JGD2011,都道環状7号線,c,2012-12-04,2012-12-05,4,6,5.5,1.2,70,67
372,江戸川区南小岩8-20,35.732651,139.885925,JGD2011,都道王子金町江戸川線,C,2012-12-04,2012-12-05,4,2,2.4,1.2,64,59
373,江戸川区南小岩3-27,35.726662,139.888016,JGD2011,都道王子金町江戸川線,C,2012-12-04,2012-12-05,4,2,1.3,1.2,67,64
374,江戸川区大杉5-33,35.710335,139.879303,JGD2011,都道環状7号線,C,2012-12-04,2012-12-05,4,6,4.4,1.2,76,74
375,江戸川区一之江3-20,35.691460,139.882980,JGD2011,都道環状7号線,C,2012-12-04,2012-12-05,4,6,3.5,1.2,68,65
