"年度","総搬入量[t]","日平均搬入量[t]","焼却量[t]","日平均焼却量[t]"
"2013","231328","730","229818","672"
"2014","239638","756","238125","696"
"2015","224894","719","224035","636"
"2016","209742","674","209200","601"
"2017","245493","787","241488","690"

"平成30年度港区行政資料集　港清掃工場取扱量","Ver201803",,,
