 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"278,293","112,916","1,951,810","784,850","79,320","110,575","572,106","765,377","198,973","2,341","1,379,704","19,473"
,86.6%,92.6%,94.1%,96.4%,82.8%,92.5%,94.0%,96.2%,88.2%,100.7%,94.2%,103.1%
外航計,"255,402","100,240","1,798,478","685,947","67,138","99,804","490,173","678,943","188,264",436,"1,308,305","7,004"
,86.7%,95.7%,94.1%,99.6%,80.8%,95.7%,91.9%,99.3%,88.9%,86.2%,94.9%,143.2%
外航定期計,"255,402","100,240","1,798,478","685,947","67,138","99,804","490,173","678,943","188,264",436,"1,308,305","7,004"
,86.7%,95.7%,94.1%,99.6%,80.8%,95.7%,91.9%,99.3%,88.9%,86.2%,94.9%,143.2%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"25,897","12,484","182,883","98,672","4,073","12,458","30,338","95,849","21,824",26,"152,545","2,823"
,72.0%,93.3%,72.5%,104.7%,39.3%,93.5%,37.9%,103.3%,85.2%,43.3%,88.7%,193.1%
北米東岸(カリビア海含む),"7,827","3,409","56,861","16,291","2,816","3,386","24,507","16,033","5,011",23,"32,354",258
,74.4%,142.0%,85.6%,96.3%,58.7%,141.5%,80.9%,95.4%,87.6%,287.5%,89.6%,234.5%
北欧・地中海,"22,955","1,330","211,839","23,991","15,898","1,329","114,919","22,773","7,057",1,"96,920","1,218"
,78.0%,41.0%,134.6%,136.5%,89.2%,41.5%,134.5%,131.3%,60.8%,2.1%,134.8%,536.6%
南米西岸,-,-,"12,093","7,611",-,-,"1,513","7,267",-,-,"10,580",344
,-,-,59.5%,51.5%,-,-,52.2%,50.2%,-,-,60.7%,109.6%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
