 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"6,526,255","2,085,908","4,440,347","46,376,027","14,886,619","31,489,408","4,533,842","1,408,650","3,125,192","32,151,235","10,070,382","22,080,853"
外航計,"3,728,906","885,207","2,843,699","26,888,378","6,697,079","20,191,299","3,601,325","828,149","2,773,176","26,013,469","6,330,008","19,683,461"
外航定期計,"3,616,358","828,451","2,787,907","26,106,649","6,336,510","19,770,139","3,601,325","828,149","2,773,176","26,013,469","6,330,008","19,683,461"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"380,700","53,923","326,777","2,776,365","386,299","2,390,066","380,700","53,923","326,777","2,737,603","386,015","2,351,588"
北米東岸(カリビア海含む),"104,334","31,722","72,612","776,494","301,304","475,190","104,334","31,722","72,612","776,494","301,304","475,190"
北欧・地中海,"279,867","179,106","100,761","2,937,420","1,501,745","1,435,675","279,867","179,106","100,761","2,936,989","1,501,314","1,435,675"
南米西岸,-,-,-,"168,792","13,801","154,991",-,-,-,"168,792","13,801","154,991"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"27,173","5,285","21,888","173,488","19,285","154,203","27,173","5,285","21,888","153,421","19,285","134,136"
印パ･ペルシャ･ベンガル,-,-,-,"5,250","5,250",-,-,-,-,-,-,-
東南アジア,"1,645,641","378,825","1,266,816","11,486,600","2,908,575","8,578,025","1,630,608","378,523","1,252,085","11,471,567","2,908,273","8,563,294"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"111,959","26,871","85,088","913,132","202,816","710,316","111,959","26,871","85,088","913,132","202,816","710,316"
中国(香港含む),"1,066,684","152,719","913,965","6,869,108","997,435","5,871,673","1,066,684","152,719","913,965","6,855,471","997,200","5,858,271"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"112,548","56,756","55,792","781,729","360,569","421,160",-,-,-,-,-,-
内航計,"2,797,349","1,200,701","1,596,648","19,487,649","8,189,540","11,298,109","932,517","580,501","352,016","6,137,766","3,740,374","2,397,392"
内航定期計,"1,797,332","1,006,121","791,211","11,949,297","6,681,102","5,268,195","906,016","557,331","348,685","6,034,684","3,652,935","2,381,749"
北海道,"287,349","157,129","130,220","1,918,315","1,071,716","846,599","287,349","157,129","130,220","1,918,315","1,071,716","846,599"
東北,"41,643","23,522","18,121","284,037","160,999","123,038","41,643","23,522","18,121","284,037","160,999","123,038"
関東,"43,761","21,238","22,523","309,253","132,715","176,538",282,282,-,"2,464","2,464",-
伊豆諸島,"3,902","2,654","1,248","42,504","28,726","13,778",-,-,-,-,-,-
中部,"13,616","2,634","10,982","89,814","19,132","70,682","13,616","2,634","10,982","89,814","19,132","70,682"
近畿,"6,453","2,620","3,833","87,853","48,697","39,156","6,453","2,620","3,833","87,853","48,697","39,156"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,279,919","708,861","571,058","8,410,823","4,631,120","3,779,703","435,984","283,681","152,303","2,845,503","1,761,930","1,083,573"
沖縄,"120,689","87,463","33,226","806,698","587,997","218,701","120,689","87,463","33,226","806,698","587,997","218,701"
内航不定期,"1,000,017","194,580","805,437","7,538,352","1,508,438","6,029,914","26,501","23,170","3,331","103,082","87,439","15,643"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
