 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,526,255 ","46,376,027 ","3,728,906 ","885,207 ","2,843,699 ","26,888,378 ","6,697,079 ","20,191,299 ","2,797,349 ","1,200,701 ","1,596,648 ","19,487,649 ","8,189,540 ","11,298,109 "
公共計,"3,091,315 ","21,345,564 ","1,010,276 ","187,023 ","823,253 ","7,223,251 ","1,259,873 ","5,963,378 ","2,081,039 ","1,108,540 ","972,499 ","14,122,313 ","7,553,012 ","6,569,301 "
ドルフィン,"7,506 ","50,370 ",-,-,-,-,-,-,"7,506 ","7,506 ",-,"50,370 ","50,370 ",-
芝浦ふ頭,"55,158 ","385,039 ",-,-,-,-,-,-,"55,158 ","1,673 ","53,485 ","385,039 ","10,084 ","374,955 "
芝浦物揚場,"7,439 ","52,972 ",-,-,-,-,-,-,"7,439 ","4,806 ","2,633 ","52,972 ","34,850 ","18,122 "
日の出ふ頭,"3,135 ","20,685 ",-,-,-,-,-,-,"3,135 ",-,"3,135 ","20,685 ",-,"20,685 "
竹芝ふ頭,"8,106 ","46,996 ",-,-,-,-,-,-,"8,106 ","5,562 ","2,544 ","46,996 ","31,634 ","15,362 "
品川岸壁,"481,846 ","3,528,763 ","299,358 ","56,314 ","243,044 ","2,232,653 ","400,008 ","1,832,645 ","182,488 ","106,694 ","75,794 ","1,296,110 ","769,596 ","526,514 "
 品川コンテナ,"289,781 ","2,179,947 ","289,781 ","53,586 ","236,195 ","2,174,961 ","392,079 ","1,782,882 ",-,-,-,"4,986 ","2,466 ","2,520 "
 品川外貿,"9,577 ","57,692 ","9,577 ","2,728 ","6,849 ","57,692 ","7,929 ","49,763 ",-,-,-,-,-,-
 品川内貿,"182,488 ","1,291,124 ",-,-,-,-,-,-,"182,488 ","106,694 ","75,794 ","1,291,124 ","767,130 ","523,994 "
月島ふ頭,"1,709 ","13,302 ",-,-,-,-,-,-,"1,709 ",714 ,995 ,"13,302 ","5,964 ","7,338 "
10号西岸壁,"503,587 ","3,233,701 ",-,-,-,-,-,-,"503,587 ","333,690 ","169,897 ","3,233,701 ","2,064,729 ","1,168,972 "
10号東岸壁,"26,649 ","196,239 ",-,-,-,-,-,-,"26,649 ",166 ,"26,483 ","196,239 ",903 ,"195,336 "
東京港フェリーふ頭,"843,935 ","5,565,320 ",-,-,-,-,-,-,"843,935 ","425,180 ","418,755 ","5,565,320 ","2,869,190 ","2,696,130 "
辰巳ふ頭,"28,946 ","208,449 ",-,-,-,-,-,-,"28,946 ","11,757 ","17,189 ","208,449 ","91,033 ","117,416 "
青海コンテナふ頭（公共）,"677,600 ","4,723,554 ","661,208 ","130,709 ","530,499 ","4,605,148 ","859,865 ","3,745,283 ","16,392 ","14,498 ","1,894 ","118,406 ","89,695 ","28,711 "
大井水産物ふ頭,-,146 ,-,-,-,-,-,-,-,-,-,146 ,50 ,96 
大井食品ふ頭（OL）,"14,523 ","188,608 ","10,522 ",-,"10,522 ","142,576 ",-,"142,576 ","4,001 ",-,"4,001 ","46,032 ",-,"46,032 "
大井食品ふ頭（OM）,"10,497 ","62,725 ","10,497 ",-,"10,497 ","62,725 ",-,"62,725 ",-,-,-,-,-,-
大井食品ふ頭（ON）,"4,949 ","11,493 ","4,949 ",-,"4,949 ","10,843 ",-,"10,843 ",-,-,-,650 ,650 ,-
若洲内貿ふ頭,"49,286 ","368,549 ",-,-,-,-,-,-,"49,286 ","35,626 ","13,660 ","368,549 ","269,358 ","99,191 "
15号地木材ふ頭,"13,939 ","31,503 ","13,939 ",-,"13,939 ","26,963 ",-,"26,963 ",-,-,-,"4,540 ","3,518 ","1,022 "
若洲建材ふ頭,"49,619 ","349,833 ",-,-,-,-,-,-,"49,619 ","5,450 ","44,169 ","349,833 ","33,035 ","316,798 "
大井建材ふ頭,"95,098 ","655,246 ",-,-,-,-,-,-,"95,098 ",-,"95,098 ","655,246 ",600 ,"654,646 "
城南島建設発生土ふ頭,"82,890 ","818,540 ",-,-,-,-,-,-,"82,890 ","82,890 ",-,"818,540 ","818,540 ",-
中央防波堤内側ばら物ふ頭,"11,369 ","172,986 ","9,803 ",-,"9,803 ","142,343 ",-,"142,343 ","1,566 ",-,"1,566 ","30,643 ","13,886 ","16,757 "
中央防波堤内側建設発生土ふ頭,"27,405 ","105,913 ",-,-,-,-,-,-,"27,405 ","27,405 ",-,"105,913 ","105,913 ",-
中央防波堤内側内貿ふ頭,"86,124 ","554,632 ",-,-,-,-,-,-,"86,124 ","44,923 ","41,201 ","554,632 ","289,414 ","265,218 "
東京港埠頭㈱計,"2,242,574 ","17,625,304 ","2,143,066 ","614,597 ","1,528,469 ","16,970,820 ","4,990,812 ","11,980,008 ","99,508 ","47,271 ","52,237 ","654,484 ","314,655 ","339,829 "
青海コンテナふ頭(埠頭㈱),"225,020 ","2,764,184 ","221,531 ","39,942 ","181,589 ","2,687,026 ","590,770 ","2,096,256 ","3,489 ","3,489 ",-,"77,158 ","76,738 ",420 
お台場ライナーふ頭,"64,433 ","446,133 ","59,366 ","56,756 ","2,610 ","413,503 ","366,485 ","47,018 ","5,067 ","2,157 ","2,910 ","32,630 ","11,322 ","21,308 "
大井コンテナふ頭,"1,953,121 ","14,414,987 ","1,862,169 ","517,899 ","1,344,270 ","13,870,291 ","4,033,557 ","9,836,734 ","90,952 ","41,625 ","49,327 ","544,696 ","226,595 ","318,101 "
民間計,"1,192,366 ","7,405,159 ","575,564 ","83,587 ","491,977 ","2,694,307 ","446,394 ","2,247,913 ","616,802 ","44,890 ","571,912 ","4,710,852 ","321,873 ","4,388,979 "
,,,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
