 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"6,526,255","46,376,027","885,207","6,697,079","825,473","6,320,956","2,843,699","20,191,299","2,749,494","19,446,955","1,200,701","8,189,540","1,596,648","11,298,109"
農水産品,,"421,574","3,267,235","28,376","193,496","28,376","193,489","371,469","2,885,372","304,442","2,363,799","11,853","90,231","9,876","98,136"
1,麦,"15,958","207,782",-,-,-,-,"11,482","157,641",960,"15,065",290,"3,109","4,186","47,032"
2,米,"7,784","53,299",269,"2,734",269,"2,734","2,490","17,010","2,490","17,010","3,040","23,890","1,985","9,665"
3,とうもろこし,285,"5,771",-,75,-,75,285,"5,696",285,"5,696",-,-,-,-
4,豆類,"10,296","92,592",6,63,6,63,"8,760","83,109","8,760","83,109","1,195","7,115",335,"2,305"
5,その他雑穀,190,"4,075",-,-,-,-,105,"3,050",105,"3,050",65,880,20,145
6,野菜・果物,"144,825","1,079,126","1,216","14,664","1,216","14,657","138,834","1,010,709","82,329","631,717","2,880","30,642","1,895","23,111"
7,綿花,30,545,-,63,-,63,30,482,30,482,-,-,-,-
8,その他農産品,"25,545","163,317",817,"5,927",817,"5,927","24,008","153,487","24,008","153,482",720,"3,803",-,100
9,羊毛,30,321,-,-,-,-,30,321,30,321,-,-,-,-
10,その他畜産品,"131,215","1,040,749","2,864","20,338","2,864","20,338","127,087","1,011,465","127,087","1,011,465",959,"6,081",305,"2,865"
11,水産品,"85,416","619,658","23,204","149,632","23,204","149,632","58,358","442,402","58,358","442,402","2,704","14,711","1,150","12,913"
林産品,,"92,307","683,401","1,721","10,849","1,721","10,849","82,695","614,617","68,756","585,704","5,422","46,535","2,469","11,400"
12,原木,263,"3,778",-,"1,093",-,"1,093",57,"1,861",57,"1,861",206,734,-,90
13,製材,"81,158","584,757","1,696","9,382","1,696","9,382","73,414","532,652","59,475","503,739","4,061","36,270","1,987","6,453"
14,樹脂類,"5,114","49,078",15,225,15,225,"4,314","42,948","4,314","42,948",450,"3,995",335,"1,910"
15,木材チップ,591,"7,509",7,63,7,63,510,"6,566",510,"6,566",-,-,74,880
16,その他林産品,913,"8,366",-,3,-,3,135,855,135,855,705,"5,471",73,"2,037"
17,薪炭,"4,268","29,913",3,83,3,83,"4,265","29,735","4,265","29,735",-,65,-,30
鉱産品,,"352,921","2,494,225","3,118","18,364","3,118","18,364","22,968","272,173","22,968","166,616","7,400","51,397","319,435","2,152,291"
18,石炭,"4,338","102,076",-,-,-,-,"2,802","87,512","2,802","28,360",-,"4,996","1,536","9,568"
19,鉄鉱石,150,770,-,30,-,30,150,740,150,740,-,-,-,-
20,金属鉱,100,"2,965",-,-,-,-,90,"2,625",90,"2,625",10,340,-,-
21,砂利・砂,"240,201","1,622,008",105,373,105,373,"1,854","12,077","1,854","12,077","3,190","9,352","235,052","1,600,206"
22,石材,"64,352","430,416",331,"2,448",331,"2,448","7,551","49,258","7,551","49,258",205,"6,700","56,265","372,010"
23,原油,105,"1,454",-,3,-,3,105,"1,451",105,"1,451",-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"18,418","113,164",-,-,-,-,-,96,-,96,70,325,"18,348","112,743"
26,原塩,818,"6,984",-,13,-,13,778,"6,831",778,"6,831",-,-,40,140
27,非金属鉱物,"24,439","214,388","2,682","15,497","2,682","15,497","9,638","111,583","9,638","65,178","3,925","29,684","8,194","57,624"
金属機械工業品,,"2,213,030","15,316,730","299,518","2,470,762","294,010","2,454,057","691,732","4,685,839","688,435","4,643,762","648,242","4,355,439","573,538","3,804,690"
28,鉄鋼,"3,980","44,010",780,"15,563",780,"9,458","2,260","26,342","2,260","17,342",255,985,685,"1,120"
29,鋼材,"85,252","704,352","18,333","124,102","15,316","121,075","10,492","72,280","7,747","59,654","1,814","13,854","54,613","494,116"
