 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,30,197,30,197,
,総トン数,,"379,080","2,489,292","379,080","2,489,292",
取扱貨物,計,計,"843,935","5,565,320","843,935","5,565,320",
,,出荷,"425,180","2,869,190","425,180","2,869,190",
,,入荷,"418,755","2,696,130","418,755","2,696,130",
取　扱　台　数,バ　ス,計,4,40,4,40,
,,出荷,1,7,1,7,
,,入荷,3,33,3,33,
,トラック,計,"7,690","50,662","7,690","50,662",
,,出荷,"3,885","26,392","3,885","26,392",
,,入荷,"3,805","24,270","3,805","24,270",
,乗用車,計,"3,803","25,058","3,803","25,058",
,,出荷,"2,069","13,828","2,069","13,828",
,,入荷,"1,734","11,230","1,734","11,230",
乗降人員,計,,"1,655","9,741","1,655","9,741",
,乗船,,948,"5,205",948,"5,205",
,降船,,707,"4,536",707,"4,536",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
