分類,市場,水産市場ID,日付,種別,品名,販売方法,卸売数量(kg)
水産,豊洲,Sui_K1,2024-04-01,大物,まぐろ（生鮮）,せり・入札,22076.0
水産,豊洲,Sui_K1,2024-04-01,大物,まぐろ（冷凍）,せり・入札,16723.0
水産,豊洲,Sui_K1,2024-04-01,大物,きわだ（生鮮）,せり・入札,2208.0
水産,豊洲,Sui_K1,2024-04-01,大物,きわだ（冷凍）,せり・入札,1949.0
水産,豊洲,Sui_K1,2024-04-01,大物,めばち（生鮮）,せり・入札,592.0
水産,豊洲,Sui_K1,2024-04-01,大物,めばち（冷凍）,せり・入札,54617.0
水産,豊洲,Sui_K1,2024-04-01,大物,いんど（冷凍）,せり・入札,17150.0
水産,豊洲,Sui_K1,2024-04-01,大物,まかじき（生鮮）,せり・入札,598.0
水産,豊洲,Sui_K1,2024-04-01,大物,めかじき（生鮮）,せり・入札,5393.0
水産,豊洲,Sui_K1,2024-04-01,大物,めかじき（冷凍）,せり・入札,6227.0
水産,豊洲,Sui_K1,2024-04-01,大物,その他（大物生）,せり・入札,12.0
水産,豊洲,Sui_K1,2024-04-01,大物,その他（大物冷）,せり・入札,2755.0
水産,豊洲,Sui_K1,2024-04-01,鮮魚,しばえび,せり・入札,6.0
水産,豊洲,Sui_K1,2024-04-01,鮮魚,くるまえび,せり・入札,1828.0
水産,豊洲,Sui_K1,2024-04-01,鮮魚,めじ,相対,955.0
水産,豊洲,Sui_K1,2024-04-01,鮮魚,まだい,相対,28218.0
水産,豊洲,Sui_K1,2024-04-01,鮮魚,きんめだい,相対,4674.0
水産,豊洲,Sui_K1,2024-04-01,鮮魚,あまだい,相対,680.0
水産,豊洲,Sui_K1,2024-04-01,鮮魚,ぶり・わらさ,相対,89652.0
水産,豊洲,Sui_K1,2024-04-01,鮮魚,いなだ・わかし,相対,645.0
水産,豊洲,Sui_K1,2024-04-01,鮮魚,はまち,相対,23441.0
水産,豊洲,Sui_K1,2024-04-01,鮮魚,ひらめ,相対,1683.0
