日付,種別,種類,区分,頭数(頭)
2024-04-01,牛,和牛,本日と畜,307.0
2024-04-01,牛,和牛,上場頭数(生体),288.0
2024-04-01,牛,和牛,上場頭数(搬入),43.0
2024-04-01,牛,交雑種,本日と畜,92.0
2024-04-01,牛,交雑種,上場頭数(生体),84.0
2024-04-01,牛,交雑種,上場頭数(搬入),66.0
2024-04-01,牛,乳牛,本日と畜,0.0
2024-04-01,牛,乳牛,上場頭数(生体),0.0
2024-04-01,牛,乳牛,上場頭数(搬入),38.5
2024-04-01,牛,計,本日と畜,399.0
2024-04-01,牛,計,上場頭数(生体),372.0
2024-04-01,牛,計,上場頭数(搬入),147.5
2024-04-01,馬,,本日と畜,0.0
2024-04-01,馬,,上場頭数(生体),0.0
2024-04-01,馬,,上場頭数(搬入),0.0
2024-04-01,豚,,本日と畜,872.0
2024-04-01,豚,,上場頭数(生体),946.0
2024-04-01,豚,,上場頭数(搬入),19.0
2024-04-01,こ牛,,本日と畜,0.0
2024-04-01,こ牛,,上場頭数(生体),0.0
2024-04-01,こ牛,,上場頭数(搬入),1.0
2024-04-02,牛,和牛,本日と畜,325.0
2024-04-02,牛,和牛,上場頭数(生体),307.0
2024-04-02,牛,和牛,上場頭数(搬入),27.0
2024-04-02,牛,交雑種,本日と畜,73.0
2024-04-02,牛,交雑種,上場頭数(生体),92.0
2024-04-02,牛,交雑種,上場頭数(搬入),0.0
2024-04-02,牛,乳牛,本日と畜,0.0
2024-04-02,牛,乳牛,上場頭数(生体),0.0
2024-04-02,牛,乳牛,上場頭数(搬入),35.0
2024-04-02,牛,計,本日と畜,398.0
2024-04-02,牛,計,上場頭数(生体),399.0
2024-04-02,牛,計,上場頭数(搬入),62.0
2024-04-02,馬,,本日と畜,0.0
2024-04-02,馬,,上場頭数(生体),0.0
2024-04-02,馬,,上場頭数(搬入),0.0
2024-04-02,豚,,本日と畜,722.0
2024-04-02,豚,,上場頭数(生体),916.0
2024-04-02,豚,,上場頭数(搬入),0.0
2024-04-02,こ牛,,本日と畜,0.0
2024-04-02,こ牛,,上場頭数(生体),0.0
2024-04-02,こ牛,,上場頭数(搬入),0.0
2024-04-03,牛,和牛,本日と畜,285.0
2024-04-03,牛,和牛,上場頭数(生体),325.0
2024-04-03,牛,和牛,上場頭数(搬入),85.0
2024-04-03,牛,交雑種,本日と畜,111.0
2024-04-03,牛,交雑種,上場頭数(生体),73.0
2024-04-03,牛,交雑種,上場頭数(搬入),137.0
2024-04-03,牛,乳牛,本日と畜,0.0
2024-04-03,牛,乳牛,上場頭数(生体),0.0
2024-04-03,牛,乳牛,上場頭数(搬入),49.0
2024-04-03,牛,計,本日と畜,396.0
2024-04-03,牛,計,上場頭数(生体),398.0
2024-04-03,牛,計,上場頭数(搬入),271.0
2024-04-03,馬,,本日と畜,0.0
2024-04-03,馬,,上場頭数(生体),0.0
2024-04-03,馬,,上場頭数(搬入),0.0
2024-04-03,豚,,本日と畜,610.0
2024-04-03,豚,,上場頭数(生体),758.0
2024-04-03,豚,,上場頭数(搬入),1.0
2024-04-03,こ牛,,本日と畜,0.0
2024-04-03,こ牛,,上場頭数(生体),0.0
2024-04-03,こ牛,,上場頭数(搬入),2.0
2024-04-04,牛,和牛,本日と畜,344.0
2024-04-04,牛,和牛,上場頭数(生体),284.0
2024-04-04,牛,和牛,上場頭数(搬入),68.0
2024-04-04,牛,交雑種,本日と畜,56.0
2024-04-04,牛,交雑種,上場頭数(生体),111.0
2024-04-04,牛,交雑種,上場頭数(搬入),95.0
2024-04-04,牛,乳牛,本日と畜,0.0
2024-04-04,牛,乳牛,上場頭数(生体),0.0
2024-04-04,牛,乳牛,上場頭数(搬入),57.0
2024-04-04,牛,計,本日と畜,400.0
2024-04-04,牛,計,上場頭数(生体),395.0
2024-04-04,牛,計,上場頭数(搬入),220.0
2024-04-04,馬,,本日と畜,0.0
2024-04-04,馬,,上場頭数(生体),0.0
2024-04-04,馬,,上場頭数(搬入),0.0
2024-04-04,豚,,本日と畜,998.0
2024-04-04,豚,,上場頭数(生体),610.0
2024-04-04,豚,,上場頭数(搬入),5.0
2024-04-04,こ牛,,本日と畜,0.0
2024-04-04,こ牛,,上場頭数(生体),0.0
2024-04-04,こ牛,,上場頭数(搬入),0.0
2024-04-05,牛,和牛,本日と畜,333.0
2024-04-05,牛,和牛,上場頭数(生体),344.0
2024-04-05,牛,和牛,上場頭数(搬入),54.0
2024-04-05,牛,交雑種,本日と畜,63.0
2024-04-05,牛,交雑種,上場頭数(生体),56.0
2024-04-05,牛,交雑種,上場頭数(搬入),38.5
2024-04-05,牛,乳牛,本日と畜,0.0
2024-04-05,牛,乳牛,上場頭数(生体),0.0
2024-04-05,牛,乳牛,上場頭数(搬入),73.0
2024-04-05,牛,計,本日と畜,396.0
2024-04-05,牛,計,上場頭数(生体),400.0
2024-04-05,牛,計,上場頭数(搬入),165.5
