分類,市場,水産市場ID,日付,種別,品名,販売方法,産地,銘柄,高値(円),中値(円),安値(円)
水産,豊洲,Sui_K1,2024-04-01,大物,まぐろ（生鮮）,せり・入札,千葉,,6480,,4860
水産,豊洲,Sui_K1,2024-04-01,大物,まぐろ（生鮮）,せり・入札,各地,,7020,,4320
水産,豊洲,Sui_K1,2024-04-01,大物,まぐろ（生鮮）,せり・入札,海外,,9180,,3240
水産,豊洲,Sui_K1,2024-04-01,大物,まぐろ（冷凍）,せり・入札,各地海外込,,5940,2938,1944
水産,豊洲,Sui_K1,2024-04-01,大物,きわだ（生鮮）,せり・入札,東京,,2160,1577,1080
水産,豊洲,Sui_K1,2024-04-01,大物,きわだ（生鮮）,せり・入札,各地,,,2160,
水産,豊洲,Sui_K1,2024-04-01,大物,きわだ（生鮮）,せり・入札,海外,,,,
水産,豊洲,Sui_K1,2024-04-01,大物,きわだ（冷凍）,せり・入札,各地海外込,,1728,1004,864
水産,豊洲,Sui_K1,2024-04-01,大物,めばち（生鮮）,せり・入札,和歌山,,3780,2862,1944
水産,豊洲,Sui_K1,2024-04-01,大物,めばち（生鮮）,せり・入札,各地,,,,
水産,豊洲,Sui_K1,2024-04-01,大物,めばち（生鮮）,せり・入札,海外,,4860,3286,2700
水産,豊洲,Sui_K1,2024-04-01,大物,めばち（冷凍）,せり・入札,各地海外込,,2700,1104,810
水産,豊洲,Sui_K1,2024-04-01,大物,いんど（冷凍）,せり・入札,各地海外込,,4320,1927,702
水産,豊洲,Sui_K1,2024-04-01,大物,まかじき（生鮮）,せり・入札,各地,,2052,1755,1620
水産,豊洲,Sui_K1,2024-04-01,大物,まかじき（生鮮）,せり・入札,海外,,,,
水産,豊洲,Sui_K1,2024-04-01,大物,めかじき（生鮮）,せり・入札,各地,,,,
水産,豊洲,Sui_K1,2024-04-01,大物,めかじき（生鮮）,せり・入札,海外,,,,
水産,豊洲,Sui_K1,2024-04-01,大物,めかじき（冷凍）,せり・入札,各地海外込,フィーレ,1944,1318,1080
水産,豊洲,Sui_K1,2024-04-01,大物,その他（大物生）,せり・入札,,,,,
水産,豊洲,Sui_K1,2024-04-01,大物,その他（大物冷）,せり・入札,,,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,しばえび,せり・入札,各地,,,5832,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,くるまえび,せり・入札,各地,天然,27000,,17280
水産,豊洲,Sui_K1,2024-04-01,鮮魚,くるまえび,せり・入札,各地,養殖,10800,,3240
水産,豊洲,Sui_K1,2024-04-01,鮮魚,くるまえび,せり・入札,海外,養殖,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,めじ,相対,各地,,,1080,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,まだい,相対,各地,,3240,,864
水産,豊洲,Sui_K1,2024-04-01,鮮魚,きんめだい,相対,各地,,2700,2376,1944
水産,豊洲,Sui_K1,2024-04-01,鮮魚,あまだい,相対,各地海外込,,8640,,3240
水産,豊洲,Sui_K1,2024-04-01,鮮魚,ぶり・わらさ,相対,各地,ブリ,1080,756,648
水産,豊洲,Sui_K1,2024-04-01,鮮魚,ぶり・わらさ,相対,各地,ワラサ,594,540,324
水産,豊洲,Sui_K1,2024-04-01,鮮魚,いなだ・わかし,相対,各地,イナダ,702,670,648
水産,豊洲,Sui_K1,2024-04-01,鮮魚,はまち,相対,愛媛・鹿児島,,1026,999,972
水産,豊洲,Sui_K1,2024-04-01,鮮魚,はまち,相対,各地,,1026,999,972
水産,豊洲,Sui_K1,2024-04-01,鮮魚,はまち,相対,各地,活〆,1512,1485,1458
水産,豊洲,Sui_K1,2024-04-01,鮮魚,ひらめ,相対,各地海外込,,4320,,1080
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かれい,相対,各地,無頭,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かれい,相対,北海道,アカガレイ,648,540,432
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かれい,相対,北海道,クロガレイ,648,432,216
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かれい,相対,各地,マカレイ,648,594,540
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かれい,相対,各地,マコガレイ,864,810,756
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かれい,相対,各地,アサバ,,324,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,あじ,相対,長崎,中,864,648,540
水産,豊洲,Sui_K1,2024-04-01,鮮魚,あじ,相対,各地,中,972,,432
水産,豊洲,Sui_K1,2024-04-01,鮮魚,あじ,相対,各地,中小,432,378,324
水産,豊洲,Sui_K1,2024-04-01,鮮魚,あじ,相対,各地,小・豆,378,324,270
水産,豊洲,Sui_K1,2024-04-01,鮮魚,さば,相対,各地,,1080,540,216
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かつお,相対,鹿児島,,1728,1404,540
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かつお,相対,各地,,3240,,540
水産,豊洲,Sui_K1,2024-04-01,鮮魚,いわし,相対,各地,,1080,594,540
水産,豊洲,Sui_K1,2024-04-01,鮮魚,にしん,相対,各地海外込,生,540,,432
水産,豊洲,Sui_K1,2024-04-01,鮮魚,にしん,相対,各地海外込,解凍,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,さんま,相対,各地,生,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,さんま,相対,各地,解凍,1620,,864
水産,豊洲,Sui_K1,2024-04-01,鮮魚,するめいか,相対,各地,,1512,1188,1080
水産,豊洲,Sui_K1,2024-04-01,鮮魚,やりいか,相対,各地,,2268,,1404
水産,豊洲,Sui_K1,2024-04-01,鮮魚,煮だこ,相対,海外,,3024,,1944
水産,豊洲,Sui_K1,2024-04-01,鮮魚,たら類,相対,各地,生,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,たら類,相対,各地,ぶわ,,1512,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,たら類,相対,各地,フィーレ,1242,,918
水産,豊洲,Sui_K1,2024-04-01,鮮魚,さけます類,相対,,シロサケ,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,さけます類,相対,,アキサケ,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,さけます類,相対,宮城,ギンＦ,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,さけます類,相対,各地,マス,3240,,1296
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かます,相対,各地,,2160,,324
水産,豊洲,Sui_K1,2024-04-01,鮮魚,めばる,相対,各地,,,972,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,さわら・さごち,相対,各地海外込,サワラ,2700,,1620
水産,豊洲,Sui_K1,2024-04-01,鮮魚,さわら・さごち,相対,各地海外込,サゴチ,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,きんき,相対,各地,,14040,,2592
水産,豊洲,Sui_K1,2024-04-01,鮮魚,めぬけ,相対,各地,,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,すずき,相対,各地,,756,,540
水産,豊洲,Sui_K1,2024-04-01,鮮魚,きす,相対,各地,,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,いさき,相対,各地,,2700,,864
水産,豊洲,Sui_K1,2024-04-01,鮮魚,こはだ,相対,各地,,1080,,432
水産,豊洲,Sui_K1,2024-04-01,鮮魚,まながつお,せり・入札,各地,,7020,,4644
水産,豊洲,Sui_K1,2024-04-01,鮮魚,まながつお,相対,各地海外込,,7560,,5400
水産,豊洲,Sui_K1,2024-04-01,鮮魚,たちうお,相対,各地海外込,,3780,,1620
水産,豊洲,Sui_K1,2024-04-01,鮮魚,あんこう,相対,各地海外込,まる,,540,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,あんこう,相対,各地海外込,きも,7560,,4860
水産,豊洲,Sui_K1,2024-04-01,鮮魚,あゆ,相対,各地,養殖,2160,,1944
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かき,せり・入札,各地,むき,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かき,せり・入札,岩手・宮城,むき,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かき,相対,各地,むき,2160,1512,1188
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かき,相対,海外,むき,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かき,相対,岩手・宮城,むき,3564,2394,1404
水産,豊洲,Sui_K1,2024-04-01,鮮魚,かき,相対,各地,パック,346,,259
水産,豊洲,Sui_K1,2024-04-01,鮮魚,ほたて,相対,各地,煮,,,
水産,豊洲,Sui_K1,2024-04-01,鮮魚,あかがい,相対,海外,,1296,,1080
