分類,市場,青果市場ID,日付,種別,品名,販売方法,卸売数量(kg)
青果,豊洲,Sei_K1,2024-04-01,野菜,だいこん,相対,47566
青果,豊洲,Sei_K1,2024-04-01,野菜,かぶ,相対,4487
青果,豊洲,Sei_K1,2024-04-01,野菜,にんじん,相対,57828
青果,豊洲,Sei_K1,2024-04-01,野菜,ごぼう,相対,990
青果,豊洲,Sei_K1,2024-04-01,野菜,たけのこ,相対,21426
青果,豊洲,Sei_K1,2024-04-01,野菜,キャベツ,せり・入札,6010
青果,豊洲,Sei_K1,2024-04-01,野菜,キャベツ,相対,96989
青果,豊洲,Sei_K1,2024-04-01,野菜,レタス,相対,22097
青果,豊洲,Sei_K1,2024-04-01,野菜,はくさい,相対,19320
青果,豊洲,Sei_K1,2024-04-01,野菜,こまつな,せり・入札,361
青果,豊洲,Sei_K1,2024-04-01,野菜,こまつな,相対,8208
青果,豊洲,Sei_K1,2024-04-01,野菜,ほうれんそう,せり・入札,405
青果,豊洲,Sei_K1,2024-04-01,野菜,ほうれんそう,相対,14057
青果,豊洲,Sei_K1,2024-04-01,野菜,ねぎ,せり・入札,653
青果,豊洲,Sei_K1,2024-04-01,野菜,ねぎ,相対,23835
青果,豊洲,Sei_K1,2024-04-01,野菜,ふき,相対,232
青果,豊洲,Sei_K1,2024-04-01,野菜,セルリー,相対,2775
青果,豊洲,Sei_K1,2024-04-01,野菜,きゅうり,相対,45187
青果,豊洲,Sei_K1,2024-04-01,野菜,きゅうり,第三者販売,100
青果,豊洲,Sei_K1,2024-04-01,野菜,かぼちゃ,相対,7820
青果,豊洲,Sei_K1,2024-04-01,野菜,なす,相対,27321
青果,豊洲,Sei_K1,2024-04-01,野菜,トマト,せり・入札,212
青果,豊洲,Sei_K1,2024-04-01,野菜,トマト,相対,36604
青果,豊洲,Sei_K1,2024-04-01,野菜,ミニトマト,相対,7738
青果,豊洲,Sei_K1,2024-04-01,野菜,ピーマン,相対,12812
青果,豊洲,Sei_K1,2024-04-01,野菜,そらまめ,相対,5258
青果,豊洲,Sei_K1,2024-04-01,野菜,じゃがいも,相対,20585
青果,豊洲,Sei_K1,2024-04-01,野菜,さつまいも,相対,15471
青果,豊洲,Sei_K1,2024-04-01,野菜,たまねぎ,相対,24663
青果,豊洲,Sei_K1,2024-04-01,野菜,なましいたけ,せり・入札,74
青果,豊洲,Sei_K1,2024-04-01,野菜,なましいたけ,相対,3770
青果,豊洲,Sei_K1,2024-04-01,野菜,その他野菜,せり・入札,1253
青果,豊洲,Sei_K1,2024-04-01,野菜,その他野菜,相対,115924
青果,豊洲,Sei_K1,2024-04-01,野菜,その他野菜,第三者販売,10
青果,豊洲,Sei_K1,2024-04-01,果実,あまなつかん,相対,4260
青果,豊洲,Sei_K1,2024-04-01,果実,不知火,相対,25005
青果,豊洲,Sei_K1,2024-04-01,果実,清見,相対,8784
青果,豊洲,Sei_K1,2024-04-01,果実,りんご,相対,13970
