四半期,製造工業,鉄鋼業,非鉄金属工業,金属製品工業,汎用・生産用・業務用機械工業,汎用機械工業,生産用機械工業,業務用機械工業,電子部品・デバイス工業,電気機械工業,情報通信機械工業,輸送機械工業,窯業・土石製品工業,化学工業,プラスチック製品工業,紙・紙加工品工業,繊維工業,食料品工業,印刷業,その他工業,ゴム製品工業,皮革製品工業,家具工業,木材・木製品工業,その他製品工業
ウェイト,10000,136.7,90.2,392.2,1526.9,283.6,665.4,577.9,270,1373.4,688.9,1140.1,266.7,1070.9,189.2,172.5,117,778.3,1301.1,485.9,35.4,35.8,162.3,36.5,215.9
2013-Q1,101.9,95.3,101.6,145.3,82.9,98.5,66.2,94.5,81.1,109.7,117.1,96.2,84.9,98.9,118.5,89.4,99.6,96.0,110.9,110.8,103.7,141.0,128.1,117.6,92.7
2013-Q2,98.0,107.3,102.8,149.3,89.7,99.3,86.2,89.0,90.0,80.3,89.8,91.8,91.9,101.7,112.3,110.6,97.7,104.3,113.3,95.1,107.8,144.2,80.0,103.3,94.8
2013-Q3,103.2,107.6,93.6,146.2,102.1,120.6,96.3,99.7,87.2,97.6,116.4,98.7,93.3,99.7,116.0,93.7,95.8,102.3,104.7,101.0,101.2,139.9,97.2,129.2,92.5
2013-Q4,105.9,105.0,95.4,137.6,99.1,133.1,79.4,105.0,88.7,97.5,113.0,103.2,100.8,107.1,130.2,115.7,128.0,104.5,111.1,103.4,111.9,137.9,95.0,112.5,101.0
2014-Q1,109.4,107.0,97.2,137.9,102.5,112.5,87.6,114.6,90.7,118.2,152.5,104.3,85.6,102.1,142.8,88.3,105.4,91.2,103.3,116.9,103.7,134.5,160.4,112.0,84.3
2014-Q2,98.1,105.1,96.3,125.4,94.9,112.1,90.7,91.3,94.0,76.4,96.7,90.2,94.0,112.4,137.9,109.3,109.1,105.7,101.8,94.2,105.1,133.6,84.2,96.2,93.2
2014-Q3,100.7,103.8,95.2,121.1,107.0,118.6,110.4,97.4,87.6,97.5,89.2,102.8,94.6,95.0,132.8,91.3,105.7,98.1,100.8,102.5,95.5,114.4,86.9,112.7,111.7
2014-Q4,100.0,106.3,102.2,109.7,101.8,127.3,91.4,101.3,89.5,91.0,91.0,99.1,102.5,99.0,129.5,114.3,119.5,97.4,105.9,98.5,96.9,101.7,81.5,96.3,111.4
2015-Q1,107.5,101.6,101.7,114.9,106.1,107.1,100.4,112.1,92.4,119.1,128.4,100.3,99.5,111.1,132.5,88.6,84.8,91.8,99.9,116.5,97.7,101.9,146.2,98.2,102.9
2015-Q2,96.8,98.7,98.8,94.6,101.9,90.4,114.2,93.5,95.0,84.8,87.9,91.9,103.8,101.4,110.7,116.6,100.1,102.6,102.5,88.1,103.7,98.7,65.6,108.0,97.3
2015-Q3,98.3,97.3,96.5,94.9,100.1,100.5,101.4,98.4,104.5,98.7,96.1,101.5,96.9,99.3,76.3,82.9,98.0,102.5,95.5,101.1,95.5,99.8,105.9,101.7,98.5
2015-Q4,97.4,102.4,103.1,95.6,91.9,102.1,84.0,96.0,108.1,97.3,87.5,106.2,99.7,88.2,80.5,111.9,117.1,103.1,102.1,94.3,103.1,99.6,82.3,92.2,101.3
2016-Q1,100.6,93.8,104.7,106.9,103.3,98.2,106.1,102.6,106.3,112.3,113.4,96.4,94.7,92.5,89.5,89.6,90.8,95.1,94.6,99.0,101.9,103.0,113.3,89.4,88.7
2016-Q2,90.4,99.8,101.1,98.1,89.1,88.4,95.8,81.5,101.9,70.5,86.1,88.4,95.9,94.3,89.6,110.0,100.9,102.9,97.6,85.4,103.2,101.8,77.0,81.2,86.9
2016-Q3,94.9,98.3,91.6,97.7,99.3,99.2,115.5,80.8,106.0,90.7,96.3,98.8,92.2,91.9,81.1,89.9,104.3,100.1,92.6,84.2,105.1,93.2,78.1,99.7,81.3
