年月,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他生産財
ウェイト,10000,5938.2,3796.8,3470.2,326.6,2141.4,666.4,1475,4061.8,2451.4,1610.4
2013-01,91.1,85.3,76.7,75.4,90.2,100.5,114.2,94.3,99.7,90.6,113.4
2013-02,99,96.2,91.3,90.7,97.7,104.9,119.8,98.2,103.2,95.2,115.5
2013-03,115.7,119.6,126.1,128.4,101.7,108,127.9,99,109.9,100.5,124.2
2013-04,96.3,89,78.3,76.8,93.8,107.9,119.7,102.6,107.1,101.9,115.1
2013-05,97.3,90.8,83,82.1,91.7,104.6,115.3,99.7,106.8,98.9,118.9
2013-06,100.5,92.8,86.7,85.4,100.3,103.7,114,99.1,111.7,102.4,125.8
2013-07,104,99.7,93.5,92.6,102.5,110.6,129.3,102.2,110.4,105.8,117.4
2013-08,95.6,93.8,86.3,86.2,86.9,107.1,117.5,102.4,98.3,92.6,107
2013-09,110.1,109.4,111.8,112.5,103.5,105.1,129.7,94.1,111.1,107.7,116.3
2013-10,106.6,99.1,87.9,85.9,108.5,119.1,141.5,108.9,117.4,114.8,121.5
2013-11,105.9,101.4,95.8,94.6,109.4,111.2,135.6,100.2,112.5,110.8,115.1
2013-12,105.2,104,100.7,100.2,105.9,109.9,125.2,103,106.9,105.2,109.6
2014-01,99.5,97.4,91.3,90.4,100.8,108.3,127.4,99.6,102.6,102,103.4
2014-02,104.5,104.8,107.9,109,95.9,99.2,122,89,104.1,102.9,105.9
2014-03,124.1,132.6,143.4,146.9,105.7,113.4,138.6,102,111.7,108.3,116.9
2014-04,94.7,89.3,78.6,77.3,91.9,108.4,115.7,105.1,102.5,102.5,102.3
2014-05,93.8,87.3,77,75.7,90.7,105.4,104.6,105.8,103.4,104.4,101.8
2014-06,105.7,102.6,94.9,94.4,99.9,116.4,111.2,118.8,110.2,107.5,114.4
2014-07,104.2,101.8,95.3,94.5,104.2,113.3,124.5,108.2,107.8,110.5,103.8
2014-08,88.1,83.4,80.8,80,88.4,88,100.2,82.5,95.1,93.4,97.6
2014-09,109.8,110.1,115.6,116.5,106.1,100.4,114.6,93.9,109.4,110.3,108.1
2014-10,103.6,97.3,93.4,92.1,106.6,104.2,114,99.7,112.8,113.6,111.6
2014-11,97.7,92,89.6,88.2,105,96.2,105.4,92,106.1,107.3,104.3
2014-12,98.7,94.9,94.5,92.9,111.2,95.7,102.7,92.6,104.3,105.5,102.5
2015-01,98.4,97.6,92.5,92.4,93.1,106.7,98.7,110.4,99.5,99.2,100
2015-02,100.7,102.4,104,104,103.8,99.6,99.3,99.7,98.4,100.3,95.3
2015-03,123.5,132.6,147.9,151.9,105.3,105.5,116.1,100.7,110.2,110.3,110
2015-04,95.4,91.5,86.3,84.4,107.3,100.8,94.6,103.6,101.1,105,95.2
2015-05,89.6,85.3,81.5,80,98.1,91.9,82.5,96.1,95.8,94.7,97.6
2015-06,105.4,106,107.1,107.6,101.3,104.1,105.1,103.7,104.4,99.7,111.6
2015-07,98.9,96.8,92.9,91.4,109,103.6,106.1,102.5,102,104.8,97.7
2015-08,87.6,86.7,83.5,82.8,90.9,92.5,87,95,88.9,87.2,91.5
2015-09,108.5,116.4,124.6,127.2,96.8,101.8,100.1,102.6,96.9,96.6,97.4
2015-10,97,91.9,89.6,88.4,101.8,96.1,103.3,92.9,104.5,104.6,104.2
