年月,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他生産財
ウェイト,10000,6633.3,3084.1,2101.7,982.4,3549.2,2267.8,1281.4,3366.7,3162.4,204.3
2013-01,105.9,101.5,71,60.6,93.3,128,127.4,129.1,114.5,117.8,64
2013-02,104.9,100.8,61.6,47,92.9,134.8,135.9,132.8,113,115.2,79.3
2013-03,99.7,95.2,58.3,44.9,87,127.2,132.8,117.2,108.6,110.8,74.5
2013-04,102.4,98.7,62.5,51,87.1,130.1,138.9,114.4,109.8,112,74.9
2013-05,101.9,96.5,63.3,51.9,87.6,125.4,128.3,120.2,112.7,114.9,79.3
2013-06,101.1,96.1,68.5,57.7,91.7,120,117.9,123.8,110.8,112.4,86.9
2013-07,100.7,95.1,71.9,63.8,89,115.3,111.1,122.7,111.8,111.3,119.6
2013-08,99.5,94.4,67.1,59.6,83.3,118.1,115.4,122.9,109.7,109,120.5
2013-09,100.5,95.5,68.7,61.6,83.8,118.8,116.8,122.3,110.3,108.9,133.2
2013-10,106.5,102.6,72,64.1,89.1,129.1,131.8,124.4,114.3,112.6,140.6
2013-11,107.2,103.9,77.7,72.1,89.7,126.7,124.8,130,113.7,112.3,135.1
2013-12,99.8,95.4,78.5,74.7,86.8,110,107,115.2,108.4,109.5,92.6
2014-01,109.2,110.7,87.5,74.7,114.9,130.8,138.3,117.6,106.2,107.6,85.3
2014-02,103.7,103.9,85.7,71.4,116.2,119.7,123.1,113.7,103.5,104.7,84.7
2014-03,95.6,92.5,81.5,70.6,104.9,102,104,98.6,101.8,104.2,66
2014-04,97.5,93.2,83.4,71.3,109.3,101.7,100.3,104.2,105.8,107,88.3
2014-05,102.1,99.3,92.1,83.1,111.3,105.6,103.8,108.8,107.5,108.7,89
2014-06,100.2,96.8,95.9,85.1,119.1,97.7,88.8,113.3,106.7,107.6,92.1
2014-07,104.7,103.3,102.6,92.1,125,103.8,98.3,113.6,107.7,107.3,113.3
2014-08,101.5,101.4,100.9,92.4,118.9,101.8,99.8,105.4,101.8,101,114
2014-09,97.8,94.2,96.7,87.7,115.9,91.9,87.4,100,105,103.4,130.2
2014-10,100.9,97.5,94.2,86.5,110.6,100.3,99.4,102,107.7,105.8,137.1
2014-11,102.2,101.3,98.9,94.1,109.3,103.4,99.4,110.5,104,102.1,132
2014-12,98.2,96.9,99.5,94.5,110.3,94.6,91.4,100.2,100.9,100.5,107.3
2015-01,99.9,100.7,92.3,84.6,108.8,108.1,105.9,111.8,98.1,97.8,103.5
2015-02,98.1,96.9,88.5,79.5,107.6,104.2,102.3,107.5,100.5,101.3,88
2015-03,95.2,92.4,91.6,89,97.3,93,91.5,95.7,100.7,102.3,76.6
2015-04,97.7,95.2,90.9,88.1,96.8,99,97.4,101.9,102.4,104,78.7
2015-05,100.3,99.5,99.6,100.7,97.2,99.4,99.5,99.3,101.9,102.8,88.5
2015-06,103.8,104.1,109.9,116.3,96.3,99,96.1,104,103.4,103.7,99.2
2015-07,104.4,104.4,107.9,113.4,96.1,101.4,101.7,100.9,104.3,103.8,112.3
2015-08,101.2,100.5,102.5,105.1,96.9,98.9,100.3,96.3,102.5,101.9,111.6
2015-09,99.1,98.7,102.2,105.1,96.1,95.7,96.1,94.8,99.9,98.6,120.5
2015-10,99.9,102,101,101.7,99.7,102.9,107.6,94.6,95.8,94.1,123.2
2015-11,100.7,103,102.7,103.6,100.9,103.3,104.2,101.8,96,94.4,119.6
2015-12,99.7,102.5,110.9,113,106.2,95.2,97.4,91.3,94.3,95.4,78.3
2016-01,98.3,100.8,110.6,109.7,112.5,92.2,90.6,94.9,93.6,95.3,67.1
2016-02,96.3,97.7,99.1,91.1,116.1,96.4,95.7,97.7,93.7,95.5,66.3
2016-03,93.4,93.6,94.5,86.2,112.2,92.9,93,92.6,93,95,61.5
2016-04,92.2,90.4,86.4,71.4,118.5,93.9,89.8,101.4,95.7,98.2,57.4
2016-05,95.4,96.6,95.1,84.4,117.9,97.9,93.5,105.5,93.1,95.4,58.4
2016-06,100.2,102.9,107.5,102.1,119,99,89.9,115.1,94.9,96.5,69.2
2016-07,101.1,104.7,111.7,108.7,118.3,98.5,87.5,118,94.1,95.6,70.8
2016-08,99.1,101.8,106.4,100.7,118.8,97.7,86.4,117.8,93.9,95,76.9
2016-09,97.7,99.6,99.6,91.5,117,99.6,95.6,106.7,94,93.6,99.7
2016-10,98.4,100.6,102.1,93.4,120.8,99.2,93.3,109.7,94,93.5,102.8
2016-11,99.5,102.8,100.4,91.6,119.2,105,96.6,119.7,92.9,93.2,88.1
