年月,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他生産財
ウェイト,10000,5938.2,3796.8,3470.2,326.6,2141.4,666.4,1475,4061.8,2451.4,1610.4
2013-01,97.5,92.4,84.8,83.9,93.6,104.7,114.8,100.3,105,95.8,120.1
2013-02,99.1,93.9,86.5,85.4,99.3,106,119.1,101,107.3,98.6,121.1
2013-03,98.9,94.6,88.6,87.7,99.2,104.5,116.6,99.5,106.6,98.3,118.1
2013-04,103.3,99,94.4,94,99.2,107.5,124,99.2,108,100.5,119.7
2013-05,104.1,101.6,98.8,98.6,99.2,107.4,123.8,101.2,108.2,100.1,120.5
2013-06,99.1,92.3,88.1,87.1,100.2,101.8,119.5,96.9,108.6,101.2,117.7
2013-07,103.3,99.8,96.4,96.1,98.5,105.5,125.3,96.6,107.5,101.9,117.2
2013-08,104.1,103.8,97,97,97.2,114.9,127.7,106.4,105.9,102.3,111.2
2013-09,102.8,98.9,94.2,93.4,101.4,106.7,126.8,97.6,109.3,106.5,114.6
2013-10,104.3,100.7,95.6,94.9,102.6,111.5,128.9,102.4,109.3,106.3,113.9
2013-11,106,104,99,98.8,102,112.7,129.8,103.3,108.9,105.3,114.7
2013-12,105.4,102.8,99.2,99.1,100.1,110.2,128.6,102.8,108.6,106.8,111.5
2014-01,106.2,104.9,99.8,99.4,104,112.3,128.1,105,108.1,107.6,109.5
2014-02,105.1,102.8,102.6,103,97.4,101.2,122.4,91.8,108.5,106.5,111.5
2014-03,105.5,104.1,100.6,100.2,102.7,110,126.6,101.8,107.6,105.6,110.3
2014-04,101.2,99.1,94.7,94.8,96.8,106.8,119.2,100.5,103.4,100.8,107
2014-05,102.3,99.5,93.5,92.8,98.6,109.8,115.4,108.3,106.4,107.5,104.6
2014-06,102.6,100.2,94.7,94.4,99.7,112.6,113.2,114.9,105.6,104.8,105.1
2014-07,103.7,102.1,97.5,97.3,100.1,108.6,120.8,103.2,105.2,106.3,104.3
2014-08,98.2,94.7,93.9,93.2,99.1,95.4,112.3,86.4,104.5,105.6,103
2014-09,100.6,97.8,96.1,95.4,103.2,99.7,109.4,95.2,105.9,107.3,104.9
2014-10,101.8,99.5,100.8,100.9,101,98.7,104.7,95.5,105.2,105.4,104.4
2014-11,100.1,96.3,94.6,93.9,101,99.3,106.4,95.8,105.6,106.7,104.8
2014-12,97.1,92.2,92,90.8,104.5,94,101.7,91.1,104.5,105.1,103.5
2015-01,106.4,106.3,101.8,102.3,96.4,112.3,102.2,117.4,106.2,106.2,106.7
2015-02,101.6,100.8,99,98.4,105.5,102.7,100.5,103.6,102.9,103.7,100.8
2015-03,101.6,100.6,100.8,100.8,99.4,100.2,99.1,99.6,102.4,102.2,102.3
2015-04,102,101.7,104.6,104.2,112.5,98.6,97.4,98.3,102,103.2,100.1
2015-05,100.9,100.4,102.5,101.6,109.5,97.7,97.1,98.7,101.7,102.1,101.5
2015-06,100.8,102.1,105.4,105.9,100.9,99,103.8,98.7,98.4,95.9,100.5
2015-07,98.4,97.2,94.8,93.8,104.9,99.4,103.4,97.7,99.7,100.8,98.7
2015-08,98.2,98.9,98,97.6,101.2,99.7,97.9,99.2,98.1,98.9,97
2015-09,100.1,104,104.5,105,95.9,101,99.5,101.7,95.1,96.8,93.9
2015-10,97,95.6,97.3,97.3,97.5,93.5,97.9,91.7,99,99,98.3
2015-11,98.4,97.9,97.3,98,89.3,99.3,104.1,97.1,99.3,97.8,102.6
2015-12,95.5,94.4,93.9,93.9,93.2,97.1,98.5,96.8,97.4,96.9,98
2016-01,97.1,97.1,95.3,95.3,95.6,97.4,95.7,98.5,96.9,95.8,98.5
2016-02,95.4,94.6,94.2,94.2,95.1,95.1,92.9,96.5,96.9,97,96.2
