年月,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他生産財
ウェイト,10000,6633.3,3084.1,2101.7,982.4,3549.2,2267.8,1281.4,3366.7,3162.4,204.3
2013-01,104.3,98,65.6,55.9,91.6,125.4,123.6,123.4,117.6,119.8,72.1
2013-02,103.3,97.6,61,48.3,90.2,130,131.3,128.4,114.6,116.6,85.7
2013-03,104.1,100.4,62.2,48.7,90.2,133.4,136.5,127.9,111.9,112.7,82.4
2013-04,106.8,105.4,68.4,57.9,88.4,132.2,141.4,118.5,109.8,111.2,89.4
2013-05,101.9,97.5,65.1,54.6,85.9,126.6,128.4,123.3,110.8,112.3,93.2
2013-06,100.6,96.5,67.8,58.6,87.9,122.4,123.6,120.9,108.8,110.2,89.8
2013-07,97.6,91.7,68.6,60.5,86.2,113.8,111.2,120.6,109.4,109.5,105.1
2013-08,99,94.9,68.1,60.7,84.2,118.9,116.5,122.5,108.4,108.3,110.4
2013-09,101.2,97,70.4,62.4,86.7,119,117.1,125.4,109.5,109.1,115.5
2013-10,106.4,102.2,73.5,65,91.5,125.5,124.9,123.5,113.3,113,114.2
2013-11,103.8,99.3,74.2,65.6,91.8,120.6,119.7,122.3,112.8,112.7,115.1
2013-12,100.6,94.9,75.1,67.4,87.3,114.3,112.5,117.9,110.6,111.5,101.1
2014-01,107.9,107.5,81.4,70.1,112.3,128.4,132.9,113.3,109.1,109.4,97.5
2014-02,102.9,101.7,86.1,75.2,112.3,115.8,118.9,111.1,105.3,106.1,93.6
2014-03,99.9,97.7,87,76.7,107.9,107.6,107.7,107.6,104.6,105.7,78.2
2014-04,101.5,99.2,91.4,80.7,110.4,104,103.2,107.8,105.9,106.1,109.7
2014-05,102.3,100.4,94.6,86.9,109.6,106.7,104.4,111.1,106.1,106.5,105.7
2014-06,99.3,96.6,93.5,83.5,115.5,99.9,93.6,109.9,104.8,105.4,96.8
2014-07,101.5,99.6,97.3,86.6,122.3,102.5,99.1,110.7,105.4,105.5,101
2014-08,101.2,101.9,101.6,92.6,120.1,102.3,100.8,105.2,100.7,100.5,102.6
2014-09,98.6,95.9,98.9,88.7,119.8,92.3,88.2,102.2,104.2,103.9,106.7
2014-10,100.3,96.6,96.4,88.1,113.4,96.6,93.1,101.4,106.6,106.2,106.1
