"年齢[歳]","芝 男[人]","芝 女[人]","芝 計[人]","麻布 男[人]","麻布 女[人]","麻布 計[人]","赤坂 男[人]","赤坂 女[人]","赤坂 計[人]","高輪 男[人]","高輪 女[人]","高輪 計[人]","芝浦港南 男[人]","芝浦港南 女[人]","芝浦港南 計[人]"
"0～ 4","920","956","1876","1441","1369","2810","880","801","1681","1475","1416","2891","1783","1718","3501"
"5～ 9","794","795","1589","1544","1518","3062","833","885","1718","1423","1500","2923","1754","1609","3363"
"10～14","535","517","1052","1272","1148","2420","689","647","1336","1246","1229","2475","1431","1253","2684"
"15～19","499","450","949","918","816","1734","538","567","1105","943","1001","1944","1007","1005","2012"
"20～24","863","1028","1891","1202","1288","2490","669","698","1367","1200","1227","2427","1027","982","2009"
"25～29","1855","1814","3669","2105","2084","4189","1124","1086","2210","1639","1864","3503","1457","1623","3080"
"30～34","1904","2016","3920","2213","2449","4662","1231","1389","2620","1798","2225","4023","1989","2299","4288"
"35～39","1883","2063","3946","2545","3006","5551","1430","1543","2973","2075","2712","4787","2371","2710","5081"
"40～44","1826","1870","3696","2723","3131","5854","1562","1718","3280","2417","3017","5434","2710","2849","5559"
"45～49","1799","1831","3630","2633","3161","5794","1609","1792","3401","2517","3149","5666","2985","3028","6013"
"50～54","1633","1649","3282","2460","2758","5218","1613","1683","3296","2330","3112","5442","2819","2727","5546"
"55～59","1295","1315","2610","1884","2040","3924","1336","1399","2735","1920","2256","4176","2111","1845","3956"
"60～64","995","978","1973","1386","1367","2753","1000","1100","2100","1454","1721","3175","1307","1217","2524"
"65～69","727","769","1496","979","1135","2114","761","900","1661","1202","1420","2622","842","938","1780"
"70～74","865","1044","1909","1106","1397","2503","844","1105","1949","1441","1830","3271","1004","1090","2094"
"75～79","601","821","1422","744","1046","1790","584","845","1429","942","1295","2237","561","826","1387"
"80～84","439","657","1096","552","820","1372","425","708","1133","693","1167","1860","438","749","1187"
"85～89","276","586","862","352","651","1003","274","594","868","431","870","1301","243","509","752"
"90～94","104","247","351","140","379","519","120","338","458","174","490","664","90","226","316"
"95～99","21","96","117","35","170","205","24","120","144","48","212","260","15","59","74"
"100～","3","18","21","5","33","38","3","19","22","7","29","36","3","9","12"
"合計","19837","21520","41357","28239","31766","60005","17549","19937","37486","27375","33742","61117","27947","29271","57218"

"令和4年度港区行政資料集　年齢（５歳階級）別・総合支所別人口","Ver202201",,,,,,,,,,,,,,
