"運行ルート","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31","時刻32","時刻33","時刻34","時刻35","時刻36","時刻37","時刻38","時刻39","時刻40","時刻41","時刻42","時刻43","時刻44","時刻45","時刻46","時刻47","時刻48","時刻49","時刻50","時刻51","時刻52","時刻53","時刻54","時刻55","時刻56","時刻57","時刻58","時刻59","時刻60","時刻61","時刻62","時刻63","時刻64","時刻65","時刻66"
"品川・台場循環","品川駅港南口",,,,"7:00","7:12","7:24","7:33","7:48","8:00","8:11","8:22","8:33","8:45","9:00","9:15","9:30","9:45","10:00","10:15","10:30","10:45","11:00","11:15","11:30","11:40","12:00","12:15","12:30","12:40","13:00","13:15","13:30","13:40","14:00","14:15","14:30","14:40","15:00","15:15","15:30","15:40","16:00","16:15","16:30","16:38","16:56","17:05","17:23","17:38","17:51","18:04","18:12","18:30","18:45","19:00","19:10","19:30","19:45","20:00","20:20","20:40","21:00","21:20","21:40","22:05","22:30"
"品川・台場循環","芝浦三丁目（田町駅入口）",,,,"7:08","7:20","7:32",,"7:56","8:08","8:19","8:30","8:41",,"9:08","9:23","9:38",,"10:08","10:23","10:38",,"11:08","11:23","11:38",,"12:08","12:23","12:38",,"13:08","13:23","13:38",,"14:08","14:23","14:38",,"15:08","15:23","15:38",,"16:08","16:23","16:38",,"17:04",,"17:31","17:46","17:59","18:12",,"18:38","18:53","19:08",,"19:38","19:53","20:08","20:28","20:48","21:08","21:28","21:48","22:12","22:37"
"品川・台場循環","田町駅東口",,,,,,,"7:43",,,,,,"8:55",,,,"9:55",,,,"10:55",,,,"11:50",,,,"12:50",,,,"13:50",,,,"14:50",,,,"15:50",,,,"16:48",,"17:15",,,,,"18:22",,,,"19:20",,,,,,,,,,
"品川・台場循環","お台場海浜公園駅前",,,,"7:16","7:28","7:40","7:56","8:04","8:17","8:28","8:39","8:50","9:09","9:17","9:32","9:47","10:09","10:17","10:32","10:47","11:09","11:17","11:32","11:47","12:04","12:17","12:32","12:47","13:04","13:17","13:32","13:47","14:04","14:17","14:32","14:47","15:04","15:17","15:32","15:47","16:04","16:17","16:32","16:47","17:02","17:13","17:29","17:40","17:55","18:08","18:21","18:36","18:47","19:02","19:17","19:34","19:47","20:02","20:16","20:36","20:56","21:16","21:36","21:56",,
"品川・台場循環","台場二丁目（ﾄﾚｰﾄﾞﾋﾟｱお台場前）",,,,"7:16","7:28","7:40","7:56","8:04","8:17","8:28","8:39","8:50","9:09","9:17","9:32","9:47","10:09","10:17","10:32","10:47","11:09","11:17","11:32","11:47","12:04","12:17","12:32","12:47","13:04","13:17","13:32","13:47","14:04","14:17","14:32","14:47","15:04","15:17","15:32","15:47","16:04","16:17","16:32","16:47","17:02","17:13","17:29","17:40","17:55","18:08","18:21","18:36","18:47","19:02","19:17","19:34","19:47","20:02","20:16","20:36","20:56","21:16","21:36","21:56",,
"品川・台場循環","フジテレビ前（ｱｸｱｼﾃｨお台場前）",,,,"7:17","7:29","7:41","7:57","8:05","8:18","8:29","8:40","8:51","9:10","9:18","9:33","9:48","10:10","10:18","10:33","10:48","11:10","11:18","11:33","11:48","12:05","12:18","12:33","12:48","13:05","13:18","13:33","13:48","14:05","14:18","14:33","14:48","15:05","15:18","15:33","15:48","16:05","16:18","16:33","16:48","17:03","17:14","17:30","17:41","17:56","18:09","18:22","18:37","18:48","19:03","19:18","19:35","19:48","20:03","20:17","20:37","20:57","21:17","21:37","21:57",,
"品川・台場循環","グランドニッコー東京 台場",,,,"7:20","7:32","7:44","8:00","8:08","8:21","8:32","8:43","8:54","9:13","9:21","9:36","9:51","10:13","10:21","10:36","10:51","11:13","11:21","11:36","11:51","12:08","12:21","12:36","12:51","13:08","13:21","13:36","13:51","14:08","14:21","14:36","14:51","15:08","15:21","15:36","15:51","16:08","16:21","16:36","16:51","17:06","17:17","17:33","17:44","17:59","18:12","18:25","18:40","18:51","19:06","19:21","19:38","19:51","20:06","20:20","20:40","21:00","21:20","21:40","22:00",,
"品川・台場循環","ヒルトン東京お台場",,,,"7:26","7:38","7:50","8:06","8:14","8:27","8:38","8:49","9:00","9:19","9:27","9:42","9:57","10:19","10:27","10:42","10:57","11:19","11:27","11:42","11:57","12:14","12:27","12:42","12:57","13:14","13:27","13:42","13:57","14:14","14:27","14:42","14:57","15:14","15:27","15:42","15:57","16:14","16:27","16:42","16:57","17:12","17:23","17:39","17:50","18:05","18:18","18:31","18:46","18:57","19:12","19:27","19:44","19:57","20:12","20:26","20:46","21:06","21:26","21:46","22:06",,
"品川・台場循環","フジテレビ前（ｱｸｱｼﾃｨお台場前）",,,,"7:28","7:40","7:52","8:08","8:16","8:29","8:40","8:51","9:02","9:21","9:29","9:44","9:59","10:21","10:29","10:44","10:59","11:21","11:29","11:44","11:59","12:16","12:29","12:44","12:59","13:16","13:29","13:44","13:59","14:16","14:29","14:44","14:59","15:16","15:29","15:44","15:59","16:16","16:29","16:44","16:59","17:14","17:25","17:41","17:52","18:07","18:20","18:33","18:48","18:59","19:14","19:29","19:46","19:59","20:14","20:28","20:48","21:08","21:28","21:48","22:08",,
"品川・台場循環","台場二丁目（東京ｼﾞｮｲﾎﾟﾘｽ前）",,,,"7:29","7:41","7:53","8:09","8:17","8:30","8:41","8:52","9:03","9:22","9:30","9:45","10:00","10:22","10:30","10:45","11:00","11:22","11:30","11:45","12:00","12:17","12:30","12:45","13:00","13:17","13:30","13:45","14:00","14:17","14:30","14:45","15:00","15:17","15:30","15:45","16:00","16:17","16:30","16:45","17:00","17:15","17:26","17:42","17:53","18:08","18:21","18:34","18:49","19:00","19:15","19:30","19:47","20:00","20:15","20:29","20:49","21:09","21:29","21:49","22:09",,
