"年度","麻布運動場 野球場[件]","麻布運動場 庭球場[件]","青山運動場 野球場[件]","青山運動場 庭球場[件]","芝浦中央公園運動場 庭球場[件]","芝浦中央公園運動場 運動広場[人]","芝浦中央公園運動場 フットサル場[件]","芝給水所公園運動場[件]","埠頭少年野球場[件]","氷川武道場[人]","愛宕弓道場[人]","江戸川河川敷グランド[件]","芝公園多目的運動場 フットサル場[件]","芝公園多目的運動場 プール[人]","芝浦南ふ頭公園運動広場[件]"
"2015","859","7836","110","3785","7999","9325","1216","563","709","7229","6632","498","2288","44383","221"
"2016","764","6290","1126","3691","8104","9114","1175","532","839","6702","5330","487","2129","48053","279"
"2017","735","7978","831","3751","8065","9543","1158","344","844","6314","4925","508","2210","40976","267"
"2018","780","8084","866","3980","8074","11273","1148","515","904","6926","5547","558","2126","46960","327"
"2019","665","7624","854","3843","7673","11804","1011","1135","877","6304",,"392","1772","38610","251"

"令和2年度港区行政資料集　施設利用状況一覧 スポーツ施設利用状況","Ver202003",,,,,,,,,,,,,,
